AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Baglan, H; Lazzari, CR; Guerrieri, FJ",Glyphosate impairs learning in Aedes aegypti mosquito larvae a field-realistic doses,JOURNAL OF EXPERIMENTAL BIOLOGY,"Glyphosate is the most widely used herbicide in the world. Over the past few years, the number of studies revealing deleterious effects of glyphosate on non-target species has been increasing. Here, we studied the impact of glyphosate at field-realistic doses on learning in mosquito larvae (Aedes aegypti). Larvae of A. aegypti live in small bodies of water and perform a stereotyped escape response when a moving object projects its shadow on the water surface. Repeated presentations of an innocuous visual stimulus induce a decrease in response due to habituation, a non-associative form of leaming. In this study, different groups of larvae were reared in water containing different concentrations of glyphosate that are commonly found in the field (50 mu g l(-1),100 mu g l(-1), 210 mu g l(-1) and 2 mu g l(-1)). Larvae reared in a glyphosate solution of 2 mg l(-1) (application dose) could complete their development. However, glyphosate at a concentration of 100 mu g l(-1) impaired habituation. A dose-dependent deleterious effect on leaming ability was observed. This protocol opens new avenues to further studies aimed at understanding how glyphosate affects non-target organisms, such as insects. Habituation in mosquito larvae could serve as a parameter for testing the impact of pollutants in the water.",2018,221,,,10.1242/jeb.187518
"Banks, ML; Kennedy, AC; Krerner, RJ; Eivazi, F",Soil microbial community response to surfactants and herbicides in two soils,APPLIED SOIL ECOLOGY,"The environmental impacts of herbicides on desirable plants and the soil biota. are of public concern. The surfactants that are often used with herbicides are also under scrutiny as potentially harmful to soil biological systems. TO address these concerns, we used two soils, a silt loam and a silty, clay loam from south central Missouri, to investigate the impacts of herbicides and surfactants on soil microbial communities using phospholipid fatty acid (PLFA) analysis. The surfactants used in this study were alkylphenol ethoxylate plus alcohol ethoxylate (Activator 90), polyethoxylate (Agri-Dex), and a blend of ammonium sulfate, drift reduction/deposition polymers and anti-foam agent (Thrust). The herbicides were glyphosate, atrazine and bentazon. Surfactants and herbicides were applied to soils at label rate, either alone or combined, to 4000g soil per pot. The two soils differed in history, texture, some chemical characteristics and several microbial community characteristics. A few of the chemicals altered some of the components of the microbial community after only one application of the chemical at field-rate. The Cole County, MO silt loam showed larger changes in the microbial community with application of treatments. For the Boone County, MO silty clay loam, Activator 90, Agri-Dex and bentazon treatments increased microbial biomass determined by PLFA; Thrust decreased PLFA markers, bacteria to fungi ratio; and Agri-Dex at both rates decreased monounsaturated fatty acids. Changes in the microbial community due to herbicides or surfactants were minimal in this study of a single application of these chemicals, but could be indicators of potential long-term effects. Long-term studies are needed to determine the changes in the microbial community after several years of annual applications of herbicides and surfactants on a wide array of soil types and management practices. Published by Elsevier B.V.",2014,74,12,20,10.1016/j.apsoil.2013.08.018
"Bart, S; Amossé, J; Lowe, CN; Mougin, C; Péry, ARR; Pelosi, C","Aporrectodea caliginosa, a relevant earthworm species for a posteriori pesticide risk assessment: current knowledge and recommendations for culture and experimental design",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Ecotoxicological tests with earthworms are widely used and are mandatory for the risk assessment of pesticides prior to registration and commercial use. The current model species for standardized tests is Eisenia fetida or Eisenia andrei. However, these species are absent from agricultural soils and often less sensitive to pesticides than other earthworm species found in mineral soils. To move towards a better assessment of pesticide effects on non-target organisms, there is a need to perform a posteriori tests using relevant species. The endogeic species Aporrectodea caliginosa (Savigny, 1826) is representative of cultivated fields in temperate regions and is suggested as a relevant model test species. After providing information on its taxonomy, biology, and ecology, we reviewed current knowledge concerning its sensitivity towards pesticides. Moreover, we highlighted research gaps and promising perspectives. Finally, advice and recommendations are given for the establishment of laboratory cultures and experiments using this soil-dwelling earthworm species.",2018,25,33867,33881,10.1007/s11356-018-2579-9
"Battisti, L; Potrich, M; Sampaio, AR; Ghisi, ND; Costa-Maia, FM; Abati, R; Martinez, CBD; Sofia, SH",Is glyphosate toxic to bees? A meta-analytical review,SCIENCE OF THE TOTAL ENVIRONMENT,"Glyphosate (GLY) is an herbicide widely used in agriculture. First considered as non-toxic or slightly toxic to bees, GLY and its different formulations have shown, more recently, to affect negatively the survival, development and behavior of these insects, even when used in doses and concentrations recommended by the manufacturer. Thus, the results of research on the toxicity of GLY to bees are often conflicting, which makes a meta-analysis interesting for data integration, generating a statistically reliable result. Therefore, this study aimed to evaluate the GLY effects on mortality of bees through a meta-analysis. For this, a search was carried out in the databases Web of Science, CAPES (Coordination for the Improvement of Higher Education Personnel - Brazil), Scopus, and PubMed. Papers that evaluated the effect of GLY on bee mortality published between 1945 and October 2020, were considered. After obtaining the data, R software was used to perform the meta-analytical tests. Sixteen papers on mortality were selected with 34 data sets. Most of the sets demonstrated differences between the control and experimental groups, showing that the treatments with GLY caused higher mortality of bees. The results considering the methodology used (ingestion or contact), the phase of the biological cycle (adults or larvae), and the dose (ecologically relevant dose and recommended by the manufacturer) were different when compared with their respective control groups. Therefore, GLY can be considered toxic to bees. It is important to emphasize that this meta-analysis identified that papers assessing the toxicity of GLY to bees are still scarce, for both lethal and sublethal effects, mainly for stingless and solitary bee species. (C) 2021 Elsevier B.V. All rights reserved.",2021,767,,,10.1016/j.scitotenv.2021.145397
"Baurand, PE; Capelli, N; de Vaufleury, A",Genotoxicity assessment of pesticides on terrestrial snail embryos by analysis of random amplified polymorphic DNA profiles,JOURNAL OF HAZARDOUS MATERIALS,"The study explores the relevance of coupling Random Amplified Polymorphic DNA (RAFD) and a High-Resolution capillary electrophoresis System (HRS) method for assessing the genotoxic potential of the wide variety commercial formulations of pesticides. Using this technique, the genotoxic potential of a glyphosate-based herbicide (Roundup Flash (R) (RU)) and two fungicide formulations based on tebuconazole and copper (Corail (R) and Bordeaux mixture (BM), respectively) was evaluated on terrestrial snail embryos. Clutches of Cantareus aspersus were exposed during their entire embryonic development to a range of concentration around the EC50 values (based on hatching success) for each compound tested. Three primers were used for the RAPD amplifications of pesticides samples. RAPD-HRS revealed concentration-dependent modifications in profiles generated with the three primers in RU (R)-exposed embryos from 30 mg/L glyphosate. For Corair (R)-exposed embryos, only two of the three primers were able to show alterations in profiles from 0.05 mg/L tebuconazole. For BM-exposed embryos, no signs of genotoxicity were observed. All changes observed in amplification profiles have been detected at concentrations lower than the recommended doses for vineyard field applications. Our study demonstrates the efficiency of coupling RAPD and HRS to efficiently screen the effect of pesticide formulations on DNA. (C) 2015 Elsevier B.V. All rights reserved.",2015,298,320,327,10.1016/j.jhazmat.2015.05.051
"Beier, F; Jedinger, M; Gruber, E; Zeller, JG",Temperature-Dependence of Glyphosate-Based Herbicide's Effects on Egg and Tadpole Growth of Common Toads,FRONTIERS IN ENVIRONMENTAL SCIENCE,"Glyphosate-based herbicide formulations are broadly used in agriculture, silviculture, horticulture as well as in private gardens all over the world, thus posing the risk of potential contamination of nearby aquatic bodies inhabited by amphibians. Concurrently, climate change can be expected to alter the temperature of amphibian breeding sites. However, while either glyphosate-based herbicides or temperature have been shown to separately affect the development of amphibians, very little is known on possible interactive effects. We studied the impact of herbicide concentrations and temperature on growth and development of eggs and tadpoles of the Common toad (Bufo bufo L.). We hypothesized that (i) eggs would be better protected against herbicides than tadpoles because of their jelly coating, (ii) that higher temperatures would reduce potential herbicide effects because of an accelerated growth and a lower sensitivity of larger specimens. We conducted one experiment starting with eggs (Gosner stage, GS 8) and another experiment starting with tadpoles (GS 21-24) using a full factorial design with 5 concentrations of the herbicide formulation Roundup (R) LB Plus (0.0 mg acid equivalent L-1, 0.5, 1.0, or 1.5 mg a.e. L-1 and a pulse treatment with 3 times (egg experiment) or 5 times (tadpole experiment) addition of 0.5 a.e. mg L-1 over the course of several weeks) and two temperature levels (15 and 20 degrees C). Contrary to our expectation, our results showed that toad eggs are more sensitive to herbicides than tadpoles leading to an averaged 3196 increase in total length, tail length, and body length compared to the herbicide-free control. Tadpole morphology, development, or mortality was not influenced by herbicides. There was no correlation between herbicide concentration and the effect strength on eggs or tadpoles. Higher temperature accelerated growth of both eggs and tadpoles. As one of the first we also observed interactive effects between herbicide concentrations and temperature especially for egg development resulting in more pronounced herbicide effects at lower temperatures than at higher temperatures. This is quite remarkable as ecotoxicologial risk assessment studies are usually conducted at a constant temperature, thereby perhaps not adequately examining non-target effects at natural conditions.",2016,4,,,10.3389/fenvs.2016.00051
"Vázquez, MB; Moreno, MV; Amodeo, MR; Bianchinotti, MV",Effects of glyphosate on soil fungal communities: A field study,REVISTA ARGENTINA DE MICROBIOLOGIA,"The driving forces behind many soil processes are microorganisms and they are able to respond immediately to environmental changes. The soil microbial community impacts on many soil properties. More than one-third of the terrestrial ecosystems are semiarid. However, a limited number of studies have been conducted to characterize soil fungal communities in semiarid grasslands, in particular those of agricultural fields. The aim of this study was to explore changes in the diversity and structure of soil fungal communities in semiarid grasslands, after different doses of glyphosate were applied under field conditions. Changes in soil fungal communities were examined using different approaches including culturing, calcofluor white stain and denaturing gradient gel electrophoresis (DGGE). The different approaches complement each other, revealing different aspects of the effect of glyphosate on soil fungal communities. We demonstrated a negative effect of glyphosate on soil fungal biomass at high doses and an early and transitory stimulatory effect on soil fungal biomass. We also found a negative effect of glyphosate on the species richness of cultivable fungi and changes in the molecular structure of soil fungal communities after double doses or long-term glyphosate application. In summary, our findings demonstrate an overall negative effect of glyphosate on soil fungal communities. (c) 2020 Asociacion Argentina de Microbiologi ' a. Published by Elsevier Espan similar to a, S.L.U. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/bync-nd/4.0/).",2021,53,349,358,10.1016/j.ram.2020.10.005
"Benbrook, CM",Trends in glyphosate herbicide use in the United States and globally,ENVIRONMENTAL SCIENCES EUROPE,"Background: Accurate pesticide use data are essential when studying the environmental and public health impacts of pesticide use. Since the mid-1990s, significant changes have occurred in when and how glyphosate herbicides are applied, and there has been a dramatic increase in the total volume applied. Methods: Data on glyphosate applications were collected from multiple sources and integrated into a dataset spanning agricultural, non-agricultural, and total glyphosate use from 1974-2014 in the United States, and from 1994-2014 globally. Results: Since 1974 in the U.S., over 1.6 billion kilograms of glyphosate active ingredient have been applied, or 19 % of estimated global use of glyphosate (8.6 billion kilograms). Globally, glyphosate use has risen almost 15-fold since so-called Roundup Ready, genetically engineered glyphosate-tolerant crops were introduced in 1996. Two-thirds of the total volume of glyphosate applied in the U.S. from 1974 to 2014 has been sprayed in just the last 10 years. The corresponding share globally is 72 %. In 2014, farmers sprayed enough glyphosate to apply similar to 1.0 kg/ha (0.8 pound/acre) on every hectare of U.S.-cultivated cropland and nearly 0.53 kg/ha (0.47 pounds/acre) on all cropland worldwide. Conclusions: Genetically engineered herbicide-tolerant crops now account for about 56 % of global glyphosate use. In the U.S., no pesticide has come remotely close to such intensive and widespread use. This is likely the case globally, but published global pesticide use data are sparse. Glyphosate will likely remain the most widely applied pesticide worldwide for years to come, and interest will grow in quantifying ecological and human health impacts. Accurate, accessible time-series data on glyphosate use will accelerate research progress.",2016,28,,,10.1186/s12302-016-0070-0
"Bergé, A; Wiest, L; Baudot, R; Giroud, B; Vulliet, E",Occurrence of multi-class surfactants in urban wastewater: contribution of a healthcare facility to the pollution transported into the sewerage system,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Healthcare facility discharges, by their nature, are often considered as non-domestic effluent, which can provide significant pollution comparatively to other domestic sources. In this context, a total of 12 monthly sampling campaigns were collected from a healthcare facility as well as the output of a sewerage system of Site Pilote de Bellecombe (SIPIBEL) observatory. This study focuses more specifically on 12 surfactants and biocides: four anionics, four cationic, two non-ionic, one zwitterionic, and one dispersive agent, among the most commonly used commercial surfactants. Particular attention was also provided to routine wastewater quality parameters. Both effluents were heavily contaminated by most anionic surfactants; they displayed median concentrations up to 1 to 2 mg/L for linear alkylbenzene sulfonates and between 10 and 100 mu g/L for other sodium sulfate congeners (lauryl and laureth). Overall, for the majority of surfactants, the healthcare facility contribution to the total flux reaching the wastewater treatment plant ranges between 5 and 9%.",2018,25,9219,9229,10.1007/s11356-017-0470-8
"Blot, N; Veillat, L; Rouzé, R; Delatte, H","Glyphosate, but not its metabolite AMPA, alters the honeybee gut microbiota",PLOS ONE,"The honeybee (Apis mellifera) has to cope with multiple environmental stressors, especially pesticides. Among those, the herbicide glyphosate and its main metabolite, the amino-methylphosphonic acid (AMPA), are among the most abundant and ubiquitous contaminant in the environment. Through the foraging and storing of contaminated resources, honeybees are exposed to these xenobiotics. As ingested glyphosate and AMPA are directly in contact with the honeybee gut microbiota, we used quantitative PCR to test whether they could induce significant changes in the relative abundance of the major gut bacterial taxa. Glyphosate induced a strong decrease in Snodgrassella alvi, a partial decrease of a Gilliamella apicola and an increase in Lactobacillus spp. abundances. In vitro, glyphosate reduced the growth of S. alviand G. apicola but not Lactobacillus kunkeei. Although being no bee killer, we confirmed that glyphosate can have sublethal effects on the honeybee microbiota. To test whether such imbalanced microbiota could favor pathogen development, honeybees were exposed to glyphosate and to spores of the intestinal parasite Nosema ceranae. Glyphosate did not significantly enhance the effect of the parasite infection. Concerning AMPA, while it could reduce the growth of G. apicola in vitro, it did not induce any significant change in the honeybee microbiota, suggesting that glyphosate is the active component modifying the gut communities.",2019,14,,,10.1371/journal.pone.0215466
