AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
Chwoyka C.; Linhard D.; Durstberger T.; Zaller J.G.,Ornamental plants as vectors of pesticide exposure and potential threat to biodiversity and human health,2024,Environmental Science and Pollution Research,31,49079,49099,10.1007/s11356-024-34363-x,"The production of conventional ornamental plants is pesticide-intensive. We investigated whether pesticide active ingredients (AIs) are still present in ornamentals at the time of purchase and assessed their potential ecotoxicity to non-target organisms. We purchased 1000 pot plants and 237 cut flowers of different species from garden centers in Austria and Germany between 2011 and 2021 and analyzed them for up to 646 AIs. Ecotoxicological risks of AIs were assessed by calculating toxic loads for honeybees (Apis mellifera), earthworms (Eisenia fetida), birds (Passer domesticus), and mammals (Rattus norvegicus) based on the LD50 values of the detected AIs. Human health risks of AIs were assessed on the basis of the hazard statements of the Globally Harmonized System. Over the years, a total of 202 AIs were detected in pot plants and 128 AIs in cut flowers. Pesticide residues were found in 94% of pot plants and 97% of cut flowers, with cut flowers containing about twice as many AIs (11.0 ± 6.2 AIs) as pot plants (5.8 ± 4.0 AIs). Fungicides and insecticides were found most frequently. The ecotoxicity assessment showed that 47% of the AIs in pot plants and 63% of the AIs in cut flowers were moderately toxic to the considered non-target organisms. AIs found were mainly toxic to honeybees; their toxicity to earthworms, birds, and mammals was about 105 times lower. Remarkably, 39% of the plants labeled as “bee-friendly” contained AIs that were toxic to bees. More than 40% of pot plants and 72% of cut flowers contained AIs classified as harmful to human health. These results suggest that ornamental plants are vectors for potential pesticide exposure of consumers and non-target organisms in home gardens. © The Author(s) 2024."
Laber L.; Donath T.W.; Junck J.; Düring R.-A.; Eichberg C.,Competition moderates impact of anthelmintic-contaminated soil on growth and fitness of temperate grassland species,2025,Science of the Total Environment,968,,,10.1016/j.scitotenv.2025.178786,"In animal husbandry, the macrocyclic lactone anthelmintic moxidectin is commonly used and may accumulate in pasture soils, potentially impacting plant growth and fitness. To investigate these effects while considering plant competition, we conducted a completely randomised pot experiment. We grew four temperate grassland species – Achillea ptarmica, Agrostis capillaris, Dianthus deltoides, and Plantago lanceolata – separately in pots, with soil treated with formulated moxidectin at three concentration levels (0.1, 1, 5 μg g−1) or left untreated (control). In half of the pots, we added the dominant grass species Poa pratensis as a competitor. Over a full growth period in a greenhouse, we measured three morphological traits: above-ground plant biomass (APB), specific leaf area (SLA), and intact leaf area (ILA). Moxidectin concentrations in the above-ground plant parts and soil were analysed using HPLC. Results showed that moxidectin was absorbed by the roots and transported to the above-ground plant parts. At the highest concentration (5 μg g−1), APB and ILA were reduced by 14.4 % and 19.8 %, respectively, compared to controls, while SLA increased by 12.2 %. Anthelmintic effects varied with competition; for APB, significant effects were noted only in the absence of competition for three out of four species. The highest increases in SLA and reductions in ILA at 5 μg g−1 occurred without competition in one and three species, respectively. These findings suggest that soil contamination by anthelmintic residues can negatively affect the growth and fitness of grassland plants, particularly in low-competition areas, such as open soil patches, which serve as protective microsites for plant recruitment. © 2025 The Authors"
Martín-García B.; Romero-González R.; Egea González F.J.; Garrido Frenich A.,Degradation of co-formulants and metabolites from plant protection products in courgette and tangerine using LC-HRMS: Laboratory tests,2024,Microchemical Journal,200,,,10.1016/j.microc.2024.110442,"Plant protection products contain co-formulants that could end up in vegetables, and they can generate transformation products that can be more toxic than their original molecule, which are a potential risk to food safety. Therefore, this study evaluated the dissipation of two co-formulants, dodecylbenzenesulfonic acid and 1-ethyl-2-pyrrolidone, in courgette and tangerine samples to determine possible harmful metabolites under laboratory conditions. The analyses of these substances were performed by liquid chromatography coupled to quadrupole-Orbitrap high-resolution mass spectrometry (LC-Q-Orbitrap-HRMS). For the degradation of both compounds, a single-phase kinetic model was fitted, with R2 values greater than 0.99. In courgette and tangerine, half-lives (DT50) for dodecylbenzene sulfonic acid were 1.83 and 1.42 days, while DT50 was 6.26 and 5.04 days for 1-ethyl-2-pyrrolidone, respectively. Three metabolites of dodecylbenzenesulfonic acid and five metabolites of 1-ethyl-2-pyrrolidone were found in courgette, while the same metabolites were detected in tangerine samples, except benzoic acid and 4-aminobutanoic acid. These metabolites were identified for the first time from these compounds except for benzoic acid, observing that 5-hydroxy-N-ethylpyrrolidone was the most concentrated metabolite in tangerine 14 days after application, reaching a maximum concentration of 149 µg/kg. Furthermore, some of the detected metabolites possessed a value of LD50 lower than their original molecules. In consequence, such metabolites, derived from these co-formulants, should be controlled to prevent negative health effects, and ensure food safety. © 2024 The Authors"
Grünberger O.; Hamdi R.; Lagacherie M.; Chaabane H.,"Pesticide contamination pattern of surface water in an urban–agricultural mediterranean watershed (Wadi Guenniche, Bizerte Lagoon, Northern Tunisia)",2024,"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",59,521,539,10.1080/03601234.2024.2375905,"Two years of monthly sampling and hydrological monitoring were performed at the outlet of a Mediterranean watershed in northern Tunisia to determine the contents of 469 pesticide active ingredients and metabolites in water and evaluate their behavior. Wadi Guenniche is a tributary of the Bizerte coastal lagoon, with a watershed area of 86 km2, which exhibits pluvial cereal, legume, and orchid cultivation and irrigated market gardening. Twenty-nine pesticide active ingredients and 2 metabolites were detected in water. Twenty-four pesticide active ingredients were authorized for use in Tunisia. Among them, 14 had never been mentioned in previous farmer surveys. Five herbicides and their metabolites were the most frequently detected: aminomethylphosphonic acid (AMPA) (100%), glyphosate (94%), simazine (94%), 2,4-D (70%), and deisopropylatrazine (DIA) (47%). The detection frequency and concentration range suggested that the phytosanitary pressure and resulting water contamination are close to those on the northern Mediterranean shore. These results, in addition to characterizing the pollution state, emphasized the need for additional studies on the use and fate of pesticides on the southern shore of the Mediterranean Sea, particularly in Tunisia. © 2024 Taylor & Francis Group, LLC."
Nagarajan K.; Thamarai R.; Kamaraj C.; Al-Ghanim K.A.; Subramaniam K.; Malafaia G.,Green synthesis and evaluation of dual herb-extracted DHM-AgNPs: Antimicrobial efficacy and low ecotoxicity in agricultural and aquatic systems,2024,Journal of Environmental Management,370,,,10.1016/j.jenvman.2024.122849,"Uncontrolled applications of weedicide and fertilizer can harm the soil ecology, and most significantly, earthworms are hazardous soil engineers. Thus, we aimed at the toxicity and histopathological alterations in the earthworm Eudrilus euginae following exposure to glyphosate (weedicide), urea (fertilizer), and environmentally friendly dual herb-mixed silver nanoparticles (DHM-AgNPs). The DHM-AgNPs were synthesized using a blend of Alfinia officinarum and Curcuma longa aqueous leaf extracts with 1 mM silver nitrate. The color change from yellow to brown after an hour of incubation was a significant indicator of successful DHM-AgNP synthesis. Characterization of the DHM-AgNPs using UV–Vis spectra indicated a surface plasmon resonance (SPR) peak at 430 nm. In addition to FT-IR spectroscopy and XRD analysis, SEM, TEM, and SEM investigations were performed to identify the DHM-AgNPs. The XPS analysis revealed the oxidation state and surface chemical composition, and Ag NP's specific surface area and degree of porosity were measured using BET. Furthermore, different concentrations of urea and glyphosate were administered to Artemia nauplii and E. euginae to assess their toxicity. The mortality rate for E. euginae exposed to a higher urea concentration (10 g/kg of soil) was 100%. In contrast, a % mortality rate of 83% was noted at 0.5 g/kg of soil. The maximum mortality (90 ± 0.64%) was observed at a 10 mL/kg/L concentration for glyphosate. In contrast, low mortality was noted in E. euginae and A. nauplii exposed with gradient concentrations of DHM-AgNPs compared to glyphosate and urea. As aquaculture and foodborne diseases are widespread, DHM-AgNPs showed significant anti-Vibrio activity against pathogenic Vibrio-related bacteria, inhibiting 80% at 100,100 μg/L, which is of great concern. This study suggests the potential use of DHM-AgNPs in field aqua and crops culture for eco-friendly pest control and anti-Vibrio activity without causing soil and environmental pollution. Further research is warranted to determine the efficacy, safety, and cost-effectiveness of DHM-AgNPs in aqua and agricultural practices. © 2024 Elsevier Ltd"
Esimbekova E.N.; Satir D.V.; Kratasyuk V.A.,Types of Pesticides Interaction in Mixtures: Results of Inhibitory Assay,2025,Doklady Biochemistry and Biophysics,,,,10.1134/S1607672924601422,"Abstract: Enzymatic inhibitory assay based on the coupled enzyme system NAD(P)·H:FMN oxidoreductase and luciferase (Red + Luc), originally developed for environmental monitoring of soils, water, and air, is proposed as a method for evaluating changes in the properties of active ingredients of pesticide preparations depending on the additional components (formulants), as well as when pesticides are combined in mixtures. Using the commercial pesticide preparations containing glyphosate, it was shown that the degree of inhibition of the coupled enzyme system Red + Luc largely depends on the formulants rather than on the active ingredient in their composition. Moreover, the combined inhibitory effect of the pesticides mixture on the coupled enzyme system Red + Luc was not additive. According to the results of the inhibitory assay, the type of interaction of pesticide preparations in mixtures depends on both the formulants used and the ratio of pesticides in the mixture. © Pleiades Publishing, Ltd. 2025."
Klátyik S.; Simon G.; Oláh M.; Takács E.; Mesnage R.; Antoniou M.N.; Zaller J.G.; Székács A.,"Aquatic ecotoxicity of glyphosate, its formulations, and co-formulants: evidence from 2010 to 2023",2024,Environmental Sciences Europe,36,,,10.1186/s12302-024-00849-1,"Glyphosate (GLY), the most widely used herbicide active ingredient (AI) in the world, is frequently detected in aquatic environments where it can affect non-target organisms. Globally, more than 2000 commercial GLY-based herbicides (GBHs) are used to control weeds. Non-target organisms are exposed to complex pesticide formulations under real environmental conditions, but the co-formulants contained in GBHs are classified as so-called inert and inactive ingredients in terms of their biological effects. The main objective of this comprehensive review is to compile the results of aquatic ecotoxicological studies on the side-effects of GLY, GBHs, and their formulating agents. Based on the results demonstrated for a variety of plant and animal aquatic organisms, oxidative stress appears to be a major trigger for these adverse effects, affecting the integrity of DNA and other biochemical functions. Furthermore, there is evidence of impairment of various physiological and behavioral functions. Adverse effects of GLY and GBHs have been observed even at very low concentrations. There are also differences in the sensitivity of the aquatic organisms tested, even with similar lifestyles, habitats or identical taxa. The studies typically investigate the short-term effects of a single exposure to GLY/GBH on a single species, whilst in reality multiple applications of GBHs together with other pesticides are common during a cropping cycle. Moreover, the interactions between GLY/GBHs and other aquatic contaminants are rarely studied. Higher toxicity of GBHs compared to GLY alone has often been observed, demonstrating that co-formulants can be highly toxic on their own and markedly increase the toxicity of the GBH formulation. The possible impurities in GBHs, such as heavy metals, can cause additional problems for the environment and food safety. The widespread and massive use of GBHs leads to increased exposure and environmental hazards. In addition, the need for a revision of the risk assessment system is emphasized. According to the results of aquatic ecotoxicological studies, the current use and pollution of the aquatic environment by GLY/GBHs is highly problematic and cannot be considered environmentally sustainable. It is, therefore, necessary to at least tighten the permitted forms of use. © The Author(s) 2024."
Altmanninger A.; Brandmaier V.; Spangl B.; Gruber E.; Takács E.; Mörtl M.; Klátyik S.; Székács A.; Zaller J.G.,Glyphosate-Based Herbicide Formulations and Their Relevant Active Ingredients Affect Soil Springtails Even Five Months after Application,2023,Agriculture (Switzerland),13,,,10.3390/agriculture13122260,"Glyphosate is the most widely used active ingredient (AI) in glyphosate-based herbicides (GBHs) worldwide and is also known to affect a variety of soil organisms. However, we know little about how the effects of glyphosate AIs differ from those of GBHs that also contain so-called inert co-formulants. We conducted a greenhouse experiment using the model cover crop white mustard (Sinapis alba) to investigate the effects of three GBHs (Roundup PowerFlex, Roundup LB Plus, and Touchdown Quattro) and their respective glyphosate AIs (glyphosate potassium, isopropylamine, and diammonium salt) on epedaphic springtails (Sminthurinus niger; Collembola) activity in soils with low (3.0%) or high (4.1%) organic matter content (SOM). Springtail activity was assessed using pitfall traps. Most GBHs and AIs reduced springtail activity compared to mechanical removal of mustard in the short-term and even up to 5 months after application. GBHs and AIs differed considerably in their effects on springtail activity, and effects were modified by SOM content. Our results highlight the need to (i) distinguish between the effects of glyphosate AIs and commercial GBH formulations, (ii) disclose all ingredients of GBHs, as co-formulants also affect non-target organisms, and (iii) include soil properties in ecotoxicological risk assessments for soil organisms to better characterize the situation in the field. © 2023 by the authors."
Bartling M.-T.; Brandt A.; Hollert H.; Vilcinskas A.,Current Insights into Sublethal Effects of Pesticides on Insects,2024,International Journal of Molecular Sciences,25,,,10.3390/ijms25116007,"The effect of pesticides on insects is often discussed in terms of acute and chronic toxicity, but an important and often overlooked aspect is the impact of sublethal doses on insect physiology and behavior. Pesticides can influence various physiological parameters of insects, including the innate immune system, development, and reproduction, through a combination of direct effects on specific exposed tissues and the modification of behaviors that contribute to health and reproductive success. Such behaviors include mobility, feeding, oviposition, navigation, and the ability to detect pheromones. Pesticides also have a profound effect on insect learning and memory. The precise effects depend on many different factors, including the insect species, age, sex, caste, physiological condition, as well as the type and concentration of the active ingredients and the exposure route. More studies are needed to assess the effects of different active ingredients (and combinations thereof) on a wider range of species to understand how sublethal doses of pesticides can contribute to insect decline. This review reflects our current knowledge about sublethal effects of pesticides on insects and advancements in the development of innovative methods to detect them. © 2024 by the authors."
Chianese T.; Cominale R.; Scudiero R.; Rosati L.,Could Exposure to Glyphosate Pose a Risk to the Survival of Wild Animals? A Case Study on the Field Lizard Podarcis siculus,2023,Veterinary Sciences,10,,,10.3390/vetsci10090583,"Soil contaminants (herbicides, pesticides, and heavy metals) are among the main causes of change in terrestrial ecosystems. These substances lead to a general loss of biodiversity, both of flora and fauna and being able to biomagnify and pass through the food chain, they can endanger the survival of terrestrial vertebrates at the top of this chain. This review analyzes the risks associated with exposure to glyphosate, the active principle of many herbicide products, for the reproductive health of the field lizard (Podarcis siculus) potentially exposed to the substance in its natural habitat; therefore, introducing it as a possible model organism. Data demonstrate that glyphosate is toxic for this animal, affecting the health of the reproductive organs, both in males and females, and of the liver, the main detoxifying organ and closely involved in the female reproductive process. Sharing structural and functional characteristics of these organs with many other vertebrates, the information obtained with this reptile represents a wake-up call to consider when analyzing the cost/benefit ratio of glyphosate-based substances. The data clearly demonstrate that the P. siculus lizard can be considered a good target organism to study the reproductive risk assessment and hazards of exposure to soil contaminants on wild terrestrial vertebrates. © 2023 by the authors."
