AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Antunes, AM; Rocha, TL; Pires, FS; de Freitas, MA; Leite, VRMC; Arana, S; Moreira, PC; Sabóia-Morais, SMT",Gender-specific histopathological response in guppies Poecilia reticulata exposed to glyphosate or its metabolite aminomethylphosphonic acid,JOURNAL OF APPLIED TOXICOLOGY,"Ecotoxicity of glyphosate (GLY) and itsmetabolite aminomethylphosphonic acid (AMPA) was investigated in guppies, Poecilia reticulata. We tested the effects of these chemicals on the gills and liver of bothmale and female guppies using qualitative and quantitative histopathological analyses associated with histopathological condition indexes. Both genders showed similar median lethal concentration (LC50) at 96 h for GLY (68.78 and 70.87mg l(-1)) and AMPA (180 and 164.32mg l(-1)). However, the histopathological assessment of both fish organs exposed to sublethal concentrations of GLY (35mg l(-1)) and AMPA ( 82mg l(-1)) for 96h showed a tissue-and gender-specific histopathological response. In both exposure assays, fish presented mainly progressive changes, such as proliferation of the interlamellar epithelium, partial and total fusion of secondary lamellae. The liver showed mainly regressive changes, such as steatosis, pyknotic nuclei and high distribution of collagen fibers. Unusually large hepatocytes as degenerated cells were also detected. Histopathological changes in gills were similar for the males and females, but the liver response was different between the genders. The hepatic inflammatory changes were more common in males. The increase in the area of hepatocyte vacuoles is gender dependent with higher values in the male compared to the female guppies exposed to GLY and AMPA. Multiparametric analysis indicated that the male guppies are-more sensitive than females, particularly in the presence of AMPA. Our study shows that the histopathological assessment associated with gender-specific response can be successfully used in ecotoxicological assessment of GLY and the metabolite AMPA. Copyright (C) 2017 JohnWiley & Sons, Ltd.",2017,37,1098,1107,10.1002/jat.3461
"Aparicio, VC; De Gerónimo, E; Marino, D; Primost, J; Carriquiriborde, P; Costa, JL",Environmental fate of glyphosate and aminomethylphosphonic acid in surface waters and soil of agricultural basins,CHEMOSPHERE,"Argentinian agricultural production is fundamentally based on a technological package that combines no-till and glyphosate in the cultivation of transgenic crops. Transgenic crops (soybean, maize and cotton) occupy 23 million hectares. This means that glyphosate is the most employed herbicide in the country, where 180-200 million liters are applied every year. The aim of this work is to study the environmental fate of glyphosate and its major degradation product, aminomethylphosphonic acid (AMPA), in surface water and soil of agricultural basins. Sixteen agricultural sites and forty-four streams in the agricultural basins were sampled three times during 2012. The samples were analyzed by UPLC-MS/MS ESI(+/-). In cultivated soils, glyphosate was detected in concentrations between 35 and 1502 mu g kg(-1), while AMPA concentration ranged from 299 to 2256 mu g kg(-1). In the surface water studied, the presence of glyphosate and AMPA was detected in about 15% and 12% of the samples analyzed, respectively. In suspended particulate matter, glyphosate was found in 67% while AMPA was present in 20% of the samples. In streams sediment glyphosate and AMPA were also detected in 66% and 88.5% of the samples respectively. This study is, to our knowledge, the first dealing with glyphosate fate in agricultural soils in Argentina. In the present study, it was demonstrated that glyphosate and AMPA are present in soils under agricultural activity. It was also found that in stream samples the presence of glyphosate and AMPA is relatively more frequent in suspended particulate matter and sediment than in water. (C) 2013 Elsevier Ltd. All rights reserved.",2013,93,1866,1873,10.1016/j.chemosphere.2013.06.041
"Armiliato, N; Ammar, D; Nezzi, L; Straliotto, M; Muller, YMR; Nazari, EM",Changes in Ultrastructure and Expression of Steroidogenic Factor-1 in Ovaries of Zebrafish Danio rerio Exposed to Glyphosate,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,"Glyphosate is a broad-spectrum organophosphate (OP) herbicide, highly soluble in water, and when applied in terrestrial systems it penetrates into soil, eventually reaching the aquatic community and affecting nontarget organisms. The aim of this study was to evaluate the toxicity of glyphosate on ovaries of zebrafish (Danio rerio). Ovaries (n = 18 per triplicate) were exposed to 65 mu g/L of glyphosate [N-(phosphonomethyl) glycine] for 15 d. This concentration was determined according to Resolution 357/2005/CONAMA/Brazil, which establishes the permissible concentration of glyphosate in Brazilian inland waters. Nonexposed ovaries (n = 18 per triplicate) were used as control. Subsequently, morphology and expression of steroidogenic factor-1 (SF-1) of exposed and nonexposed ovaries was determined. No apparent changes were noted in general morphology of exposed and nonexposed ovaries. However, a significant increase in diameter of oocytes was observed after exposure to glyphosate. When ovarian ultrastructure was examined the presence of concentric membranes, appearing as myelin-like structures, associated with the external membranes of mitochondria and with yolk granules was found. After glyphosate exposure, immunohistochemistry and immunoblotting revealed greater expression of SF-1 in the oocytes, which suggests a relationship between oocyte growth and SF-1 expression. These subtle adverse effects of glyphosate on oocytes raised a potential concern for fish reproduction. These results contribute to understanding glyphosate-induced toxicity to nontarget organisms, showing subcellular and molecular impairments that may affect reproduction in +female fish.",2014,77,405,414,10.1080/15287394.2014.880393
"Arreguin-Rebolledo, U; Páez-Osuna, F; Betancourt-Lozano, M; Rico-Martínez, R",Multi-and transgenerational synergistic effects of glyphosate and chlorpyrifos at environmentally relevant concentrations in the estuarine rotifer Proales similis,ENVIRONMENTAL POLLUTION,"We evaluated the multi-and transgenerational effects of single and combined environmentally relevant concentrations of glyphosate (GLY) and chlorpyrifos (CPF) in the estuarine rotifer Proales similis. The acute and chronic toxicities of GLY and CPF were determined as individual compounds and as a mixture. Rotifers were exposed to environmental concentrations of GLY (1, 10, 100, and 1000 mu g/L) and CPF (0.1, 1, 5, and 10 mu g/L). The main findings were as follows: (i) the LC50 values were 33.91 mg/L (GLY) and 280 mu g/L (CPF); (ii) the toxic unit (TU50) of the mixture was 0.30, corresponding to 10.17 mg/L GLY and 83 mu g/L CPF; (iii) the multigenerational study indicated that the tested concentrations of GLY and CPF, both single and combined, significantly and consistently decreased the growth rates of P. similis from the F0 to F6 generations; (iv) in most cases, GLY and CPF mixtures induced a strong synergistic effect; and (v) transgenerational effects were detected in the F4 generation, especially GLY and CPF in higher equitoxic proportions. These effects seem to dissipate in F5. Across multigeneration, a slight recovery could indicate population resilience to pollution. Our findings suggest that a mixture of GLY and CPF at environmental concentrations is likely to occur under real field conditions, increasing the risk to marine and estuarine invertebrates such as rotifers.",2023,318,,,10.1016/j.envpol.2022.120708
"Asnicar, D; Cappelli, C; Sallehuddin, AS; Maznan, NA; Marin, MG",Effects of Glyphosate-Based and Derived Products on Sea Urchin Larval Development,JOURNAL OF MARINE SCIENCE AND ENGINEERING,"Despite the widespread use of herbicide glyphosate in cultivation, its extensive runoff into rivers and to coastal areas, and the persistence of this chemical and its main degradation product (aminomethylphosphonic acid, AMPA) in the environment, there is still little information on the potential negative effects of glyphosate, its commercial formulation Roundup(R) and AMPA on marine species. This study was conducted with the aim of providing a comparative evaluation of the effects of glyphosate-based and its derived chemicals on the larval development of the sea urchin Paracentrotus lividus, thus providing new data to describe the potential ecotoxicity of these contaminants. In particular, the effects on larval development, growth and metabolism were assessed during 48 h of exposure from the time of egg fertilization. The results confirm that AMPA and its parent compound, glyphosate have similar toxicity, as observed in other marine invertebrates. However, interestingly, the Roundup(R) formulation seemed to be less toxic than the glyphosate alone.",2020,8,,,10.3390/jmse8090661
"Avigliano, L; Canosa, IS; Medesani, DA; Rodríguez, EM","Effects of Glyphosate on Somatic and Ovarian Growth in the Estuarine Crab Neohelice granulata, During the Pre-Reproductive Period",WATER AIR AND SOIL POLLUTION,"Adult females of the estuarine crab Neohelice granulata were exposed during the 3-month pre-reproductive period (winter) to the herbicide glyphosate, the most used pesticide in Argentina, at three different concentrations (0.02, 0.2, and 1 mg/L, as active ingredient). At the end of the in vivo assay, the body weight gain and the ovarian growth were estimated, the last one in terms of the gonadosomatic index (GSI), the relative proportion of the different kind of oocytes, and their relative size. A decrease in the body weight gain was observed by effect of pure glyphosate, at all concentrations assayed. Although no differences in either the GSI or vitellogenic protein content of the ovary were noted between any glyphosate concentration and control, a higher proportion of reabsorbed vitellogenic oocytes was observed in the ovaries of crabs exposed to glyphosate at 1 mg/L, together with an increased area of previtellogenic oocytes. These effects were confirmed in vitro, at a glyphosate concentration of 0.2 mg/L. In fact, a higher area of previtellogenic oocytes was seen when glyphosate was added to the culture medium containing ovarian tissue, but a significant higher incidence of reabsorbed vitellogenic oocytes was seen only when eyestalk tissue was also added to the vials, suggesting that the secretion of some neurohormone involved in reabsorption is enhanced. The obtained results indicate that glyphosate is able to harm, in the studied species, both somatic and the ovarian growth.",2018,229,,,10.1007/s11270-018-3698-0
"Babalola, OO; Van Wyk, JH","Comparative Early Life Stage Toxicity of the African Clawed Frog, Xenopus laevis Following Exposure to Selected Herbicide Formulations Applied to Eradicate Alien Plants in South Africa",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"The rise in pesticides application has increased the need for better understanding of their ecological impacts. The global amphibian declines, for example, have been positively correlated with pesticides use. The differential susceptibility in the developmental stages of amphibians to chemical substances are still largely unknown. We examined the 96-h differential toxicity responses of embryos, premetamorphic and transitional larval stage of Xenopus laevis, to six formulated aquatic herbicide products containing the active ingredients of diquat dibromide (Midstream), glufosinate ammonium (Basta), imazapyr (Arsenal), and three glyphosate formulations (Roundup, Kilo Max, and Environ Glyphosate). The results showed the premetamorphic stage as the most sensitive to the herbicides toxicity. This study confirmed that the developmental stage at which amphibian are exposed to contaminants is critical to their survival and that the chemical contamination hypothesis of the global decline of amphibians should continue to be considered. This establishment of the premetamorphic larval as sensitive toxicity representative for all developmental stages of X. laevis means that this stage could be used more extensively in pesticides toxicity assessments.",2018,75,8,16,10.1007/s00244-017-0463-0
"Bach, NC; Marino, DJG; Natale, GS; Somoza, GM","Effects of glyphosate and its commercial formulation, Roundup® Ultramax, on liver histology of tadpoles of the neotropical frog, Leptodactylus latrans (amphibia: Anura)",CHEMOSPHERE,"In the last years, the agricultural expansion has led to an increased use of pesticides, with glyphosate as the most widely used worldwide. This is also the situation in Argentina, where glyphosate formulations are the most commercialized herbicides. It is known that glyphosate formulations are much more toxic than the active ingredient, and this difference in toxicity can be attributed to the adjuvants present in the formula. In this context, the aim of the present study was to evaluate and compare sub-lethal histological effects of the glyphosate formulation Roundup Ultramax and glyphosate active ingredient on Leptodactylus latrans tadpoles at Gosner-stage 36. Semi-static bioassays were performed using 96 h of exposure with Roundup Ultramax formulation (RU; 0.37-5.25 mg a.e./L.), glyphosate (GLY; 3-300 mg/L), and a control group. RU exposure showed an increment in the melanomacrophagic cells (MMc) and melanomacrophagic centers (MMCs) from 0.37 mg a.e./L. GLY exposure showed a significant increment in the number of MMc from 15 mg/L, and of MMCs from 3 mg/L. Also, histopathological lesions were observed in the liver of tadpoles exposed to both, GLY and RU. These lesions included: lipidosis and hepatic congestion, but only RU showed significant differences respect to control, with a LOEC value of 2.22 mg a.e./L for both effects. In sum, this study represents the first evidence of adverse effects of glyphosate and RU formulation on the liver of anuran larvae at concentrations frequently found in the environment. (C) 2018 Elsevier Ltd. All rights reserved.",2018,202,289,297,10.1016/j.chemosphere.2018.03.110
"Baglan, H; Lazzari, CR; Guerrieri, FJ",Glyphosate impairs learning in Aedes aegypti mosquito larvae a field-realistic doses,JOURNAL OF EXPERIMENTAL BIOLOGY,"Glyphosate is the most widely used herbicide in the world. Over the past few years, the number of studies revealing deleterious effects of glyphosate on non-target species has been increasing. Here, we studied the impact of glyphosate at field-realistic doses on learning in mosquito larvae (Aedes aegypti). Larvae of A. aegypti live in small bodies of water and perform a stereotyped escape response when a moving object projects its shadow on the water surface. Repeated presentations of an innocuous visual stimulus induce a decrease in response due to habituation, a non-associative form of leaming. In this study, different groups of larvae were reared in water containing different concentrations of glyphosate that are commonly found in the field (50 mu g l(-1),100 mu g l(-1), 210 mu g l(-1) and 2 mu g l(-1)). Larvae reared in a glyphosate solution of 2 mg l(-1) (application dose) could complete their development. However, glyphosate at a concentration of 100 mu g l(-1) impaired habituation. A dose-dependent deleterious effect on leaming ability was observed. This protocol opens new avenues to further studies aimed at understanding how glyphosate affects non-target organisms, such as insects. Habituation in mosquito larvae could serve as a parameter for testing the impact of pollutants in the water.",2018,221,,,10.1242/jeb.187518
"Baier, F; Gruber, E; Hein, T; Bondar-Kunze, E; Ivankovic, M; Mentler, A; Brühl, CA; Spangl, B; Zaller, JG","Non-target effects of a glyphosate-based herbicide on Common toad larvae (Bufo bufo, Amphibia) and associated algae are altered by temperature",PEERJ,"Background: Glyphosate-based herbicides are the most widely used pesticides in agriculture, horticulture, municipalities and private gardens that can potentially contaminate nearby water bodies inhabited by amphibians and algae. Moreover, the development and diversity of these aquatic organisms could also be affected by human-induced climate change that might lead to more periods with extreme temperatures. However, to what extent non-target effects of these herbicides on amphibians or algae are altered by varying temperature is not well known. Methods: We studied effects of five concentrations of the glyphosate-based herbicide formulation Roundup PowerFlex (0, 1.5, 3, 4 mg acid equivalent glyphosate L-1 as a one time addition and a pulse treatment of totally 4 mg a.e. glyphosate L-1) on larval development of Common toads (Bufo bufo, L.; Amphibia: Anura) and associated algae communities under two temperature regimes (15 vs. 20 degrees C). Results: Herbicide contamination reduced tail growth (-8%), induced the occurrence of tail deformations (i.e. lacerated or crooked tails) and reduced algae diversity (-6%). Higher water temperature increased tadpole growth (tail and body length (tl/bl) +66%, length-to-width ratio +4%) and decreased algae diversity (-21%). No clear relation between herbicide concentrations and tadpole growth or algae density or diversity was observed. Interactive effects of herbicides and temperature affected growth parameters, tail deformation and tadpole mortality indicating that the herbicide effects are temperature-dependent. Remarkably, herbicide-temperature interactions resulted in deformed tails in 34% of all herbicide treated tadpoles at 15 degrees C whereas no tail deformations were observed for the herbicide-free control at 15 degrees C or any tadpole at 20 degrees C; herbicide-induced mortality was higher at 15 degrees C but lower at 20 degrees C. Discussion: These herbicide-and temperature-induced changes may have decided effects on ecological interactions in freshwater ecosystems. Although no clear dose-response effect was seen, the presence of glyphosate was decisive for an effect, suggesting that the lowest observed effect concentration (LOEC) in our study was 1.5 mg a.e. glyphosate L-1 water. Overall, our findings also question the relevance of pesticide risk assessments conducted at standard temperatures.",2016,4,,,10.7717/peerj.2641
