DOI,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,ABSTRACT,TYPE,STUDY_ID,FULL_TEXT,GUY,Notes 
10.17582/JOURNAL.AAVS/2022/10.6.1255.1263,Khalifa A.G.; Moselhy W.A.; Mohammed H.M.; Abdou K.,Rats Subchronically Exposed to Deltamethrin Nanoformulations Exhibited Less Genotoxicity Compared with those Exposed to Deltamethrin,2022,Advances in Animal and Veterinary Sciences,10,1255,1263,"The genotoxicological investigation of nanopesticides against a non-target model organism, the rat, will be a great way to learn more about how nanopesticides interact with the environmental and biological systems. Few studies on the genotoxicity of subchronic oral exposure to nano pesticides have been published. Male albino rats have been randomly divided into 4 identical groups. Group (I) had received only corn oil and acted as a control group. Group (II) had been given 3.855 mg/kg BW deltamethrin. Group (III) obtained deltamethrin loaded silica Nps at a dose of 8.795 mg/kg BW. The group (IV) obtained deltamethrin loaded chitosan Nps at a dose of 30.44 mg/kg BW. All remedies were administered by oral gavage 5 days a week for one month. The deltamethrin group showed a highly significant elevation in chromosome aberrations. Also, the ratio of polychromatic erythrocytes to normochromatic erythrocytes proved that deltamethrin had a stronger cytotoxic effect on the bone marrow cells than the CS/DM Nps and S/DM Nps groups. It was concluded that these innovative nanoformulations of DM were less toxic, which would lower health risks and boost application safety. Â© 2022. by the authors. Licensee ResearchersLinks Ltd, England, UK. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).",Normal/Nano,1695,YES,NO,
10.3390/toxics10110711,Ferguson S.; Mesnage R.; Antoniou M.N.,Cytotoxicity Mechanisms of Eight Major Herbicide Active Ingredients in Comparison to Their Commercial Formulations,2022,Toxics,10,NA,NA,"Commercial pesticide formulations contain co-formulants, which are generally considered as having no toxic effects in mammals. This study aims to compare the toxicity of 8 major herbicide active ingredientsâ€“namely glyphosate, dicamba, 2,4-D, fluroxypyr, quizalofop-p-ethyl, pendimethalin, propyzamide and metazachlorâ€“with a typical commercial formulation of each active ingredient. Cytotoxicity and oxidative stress capability was assessed in human hepatoma HepG2 cells. Using an MTT assay, formulations of glyphosate (Roundup Probio), fluroxypyr (Hurler), quizalofop-p-ethyl (Targa Super) and dicamba (Hunter) were more toxic than the active ingredient alone. Metazachlor and its formulation Sultan had similar cytotoxicity profiles. Cytotoxicity profiles were comparable in immortalised human fibroblasts. Toxilight necrosis assays showed the formulation of metazachlor (Sultan50C) resulted in significant membrane disruption compared to the active ingredient. Generation of reactive oxygen species was detected for glyphosate, fluroxypyr, pendimethalin, quizalofop-p-ethyl, the formulation of 2,4-D (Anti-Liserons), and dicamba and its formulation Hunter. Further testing of quizalofop-p-ethyl and its formulation Targa Super in the ToxTracker assay system revealed that both products induced oxidative stress and an unfolded protein response. In conclusion, these results show that most herbicide formulations tested in this study are more toxic than their active ingredients in human tissue culture cell model systems. The results add to a growing body of evidence, which implies that commercial herbicide formulations and not just their active ingredients should be evaluated in regulatory risk assessment of pesticides. Â© 2022 by the authors.",Normal,1215,YES,YES,
10.4314/ijbcs.v15i6.33,Agbohessi P.; Imorou Toko I.,Toxic effects of glyphosate-based herbicides on fish and other aquatic animals: bibliographic approach; [Effets toxiques des herbicides Ã  base du glyphosate sur les poissons et autres animaux aquatiques: approche bibliographique],2021,International Journal of Biological and Chemical Sciences,15,2685,2700,"Glyphosate is a total foliar systemic herbicide, whose active ingredient is rarely used alone but more often mixed with formulants. In order to shed light on its toxicological effects on aquatic ecosystems, documentary synthesis has enabled us to establish its toxicity on fish, aquatic invertebrates and amphibians. Thus, LC50-96 h (Median Lethal Concentrations over 96 h) on fish vary from 0.03 mg / L (Ictalurus punctatus) to 975 mg / L (Phalloceros caudimaculatus). Recurrent chronic effects in fish include impaired memory, reduced mobility, damage to haematological parameters and several histopathological lesions on the gills, digestive tract, liver and kidney. In invertebrates, LC50s vary from 3-100 mg ai / L (Daphnia magna) to 147 mg ai / L (Ceriodaphnia dubia) with, among other chronic effects, disturbances of reproduction and development, disturbances of cardiac functions and parameters of oxidative stress. LC50s vary in amphibians from 78 mg a.i / L (Crinia insignifera) to 138.9 mg a.i / L (Rana clamitans). In conclusion, the toxic effects are induced by high concentrations of the pollutant, consequently, glyphosate is considered by the majority of authors to be of low toxicity to aquatic fauna. Â© 2021 International Formulae Group. All rights reserved.",Review,1234,,,
10.7524/AJE.1673-5897.20210625002,Gao Jin; Xiong Liufeng; Ruan Jiming; Zeng Xianliang; Liang Ximei,Advances of Aquatic Environmental Behaviors and Toxicity of Glyphosate to Aquatic Organisms,2022,Asian Journal of Ecotoxicology,17,422,433,"Glyphosate is the most widely used herbicide in the world, and it is widespread in the aquatic environment. Glyphosate residues may harm the non-target aquatic organisms and pose serious threat to the health of aquatic ecosystem, which has been received extensive attention. In this paper, the sources, pollution status and water environmental behaviors of glyphosate are reviewed, their toxic effects to aquatic organisms are discussed and the prospects of future research are also proposed. This review would provide scientific basis for aquatic ecotoxicity and environmental risk assessment of glyphosate, which will be helpful to guide the rational use of this herbicide.",Review,1686,,,
http://dx.doi.org/10.1002/etc.5620040413,"BRADBURY, SP; COATS, JR; MCKIM, JM",DIFFERENTIAL TOXICITY AND UPTAKE OF 2 FENVALERATE FORMULATIONS IN FATHEAD MINNOWS (PIMEPHALES-PROMELAS),1985,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,4,533,541,"The influence of the commercial emulsifier on the acute toxicity and uptake of fenvalerate [(R,S)-.alpha.-cyano-3-phenoxybenzyl(R,S)-2-(4-chlorophenyl)-3-methylbutyrate], a synthetic pyrethroid insecticide, by fathead minnows (P. promelas) was examined. Flow-through acute toxicity testing with measured concentrations of technical-grade fenvalerate and a 30% active ingredient emulsifiable concentrate (EC) of the insecticide was conducted. Steady-state LC50 values were reached by 72 and 120 to 168 h, respectively, in tests with technical-grade and EC formulations of this insecticide. Initially, technical-grade fenvalerate was more toxic; the 96-h LC50 for technical-grade fenvalerate and the EC were 0.69 and 0.99 .mu.g/l, respectively. By 168 h, an LC50 of 0.75 .mu.g/l was determined for the EC, indicating that the incipient lethalities of the 2 formulations were similar. Fenvalerate concentration factors and residue levels in fish showed no significant differences between formulations. Residue levels associated with mortality decreased slightly with increasing fenvalerate water concentrations and ranged (mean) from .apprx. 1000 to 1500 ng/g. Levels in fish that survived testing increased with increasing exposure concentrations and ranged from .apprx. 600 to 900 ng/g. Concentration factors of 187 to 1860 were calculated, with a mean of 1670, as determined from fish that survived testing. The time required to accumulate residues was greater with the EC and contributed to a significantly slower uptake rate. Slower fenvalerate uptake in the presence of emulsifiers seemingly resulted in the initially lower toxicity of the EC formulation.",Normal,1392,NO,YES,
http://dx.doi.org/10.1002/tera.1420290212,"MERKLE, J; SCHULZ, V; GELBKE, HP",AN EMBRYOTOXICITY STUDY OF THE FUNGICIDE TRIDEMORPH AND ITS COMMERCIAL FORMULATION CALIXIN,1984,TERATOLOGY,29,259,269,"Tridemorph (N-tridecyl-2,6-dimethylmorpholine), the active ingredient of the commercially formulated fungicide Calixin, is a teratogen in rats and mice. The no-effect level for embryotoxic effects was 27.5 mg/kg for mice and 20.6 mg/kg for rats. When Calixin, which contains 83% tridemorph, was administered orally at dose levels of 0.156, 0.722 and 3.909 mg/kg, no embryotoxic effects were observed in 2 strains of rats. These extensive investigations, carried out under exposure conditions resembling as closely as possible those previously reported, did not reproduce the previous findings of teratogenicity of Calixin.",Normal,1384,YES,YES,
http://dx.doi.org/10.1002/tox.2540050402,"STRATTON, GW",EFFECTS OF THE INSECTICIDE ENDOSULFAN ON NITRIFICATION IN LOW PH AGRICULTURAL SOILS,1990,TOXICITY ASSESSMENT,5,319,336,"Two methods of measuring nitrification in soil bioassays were compared for their sensitivity in estimating toxic effects of endosulfan, a cyclodiene insecticide. Both technical grade endosulfan (95% pure) and endosulfan formulated as a commerical preparation (Thiodan 4EC) were tested in a sandy loam (pH 5.7), a silt loam (pH 5.0), and a clay loam (pH 4.9) soil. Nitrification was assayed using both soil perfusion and batch incubation techniques. There was a significant difference in the nitrification pattern evidenced by the three soils. In the sandy loam soil up to 90% of the added ammonium ion was converted into nitrate within 30 days, while the silt loam required 40 days to achieve similar nitrate levels. Activity in the clay loam was very slow and only 5% of the added ammonium ion was converted into nitrate within 70 days. The nitrification pattern for any given soil was similar when measured by both test methods. At insecticide levels of 10, 50, and 100 ppm of active ingredient, there was no significant difference in toxicity between the commercial preparation and technical endosulfan in 50% of the systems tested. In the remainder, the commercial formulation was usually more toxic. For concentrations of 500 and 1000 ppm of active ingredient, endosulfan supplied as the commercial preparation was consistently more toxic than the technical material when tested toward nitrification. There was also a significant difference betweeen the two incubations methods in their sensitivity to endosulfan. The exact level of toxicity was dependent upon both the soil type and the incubation method used. Generally, endosulfan was more toxic with the batch incubation system and in the silt loam soil. The importance of these results in nitrification bioassays are discussed.",Normal,1435,YES,YES,
http://dx.doi.org/10.1007/BF01055019,"BUHL, KJ; FAERBER, NL",ACUTE TOXICITY OF SELECTED HERBICIDES AND SURFACTANTS TO LARVAE OF THE MIDGE CHIRONOMUS-RIPARIUS,1989,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,18,530,536,"The acute toxicities of eight commercial herbicides and two surfactants to early fourth instar larvae of the midge Chironomus riparius were determined under static conditions. The formulated herbicides tested were Eradicane (EPTC), Fargo (triallate), Lasso (alachlor), ME4 Brominal (bromoxynil), Ramrod (propachlor), Rodeo (glyphosate), Sencor (metribuzin), and Sutan (+) (butylate); the two surfactants were Activator N.F. and Ortho X-77. In addition, technical grade alachlor, metribuzin, propachlor, and triallate were tested for comparison with the formulated herbicides. The relative toxicity of the commercial formulations, based on percent active ingredient, varied considerably. The EC50 values ranged from 1.23 mg/L for Fargo to 5,600 mg/L for Rodeo. Fargo, ME4 Brominal, and Ramrod were moderately toxic to midge larvae; Lasso, Sutan (+), and Eradicane were slightly toxic; and Sencor and Rodeo were practically non-toxic. The 48-hr EC50 values of the two surfactants were nearly identical and were considered moderately toxic to midges. For two of the herbicides in which the technical grade material was tested, the inert ingredients in the formulations had a significant effect on the toxicity of the active ingredients. Fargo was twice as toxic as technical grade triallate, whereas Sencor was considerably less toxic than technical grade metribuzin. A comparison of the slope function values indicated that the toxic action of all the compounds occurred within a relatively narrow range. Published acute toxicity data on these compounds for other freshwater biota were tabulated and compared with our results. In general, the relative order of toxicity to C. riparius was similar to those for other freshwater invertebrates and fish. Maximum concentrations of each herbicide in bulk runoff during a projected ""critical"" runoff event were calculated as a percentage of the application rate lost in a given volume of runoff. A comparison between estimated maximum herbicide concentrations in runoff and results of acute tests indicated that Ramrod, ME4 Brominal, and Lasso post the greatest direct risk to midge larvae during a storm event.",Normal,1424,YES,YES,
http://dx.doi.org/10.1007/BF01193435,"MOTHESWAGNER, U; REITZE, HK; SEITZ, KA","ENVIRONMENTAL ACTIONS OF AGROCHEMICALS .2. HISTOLOGICAL EFFECTS OF THE HERBICIDE INSECTICIDE DINOSEB-ACETATE (2-SEC-BUTYL-4,6-DINITROPHENYL ACETATE) ON THE SPIDER-MITE TETRANYCHUS-URTICAE (ACARI, TETRANYCHIDAE) REARED ON HERBICIDE-TREATED PHASEOLUS-VULGARIS",1990,EXPERIMENTAL AND APPLIED ACAROLOGY,9,289,310,"The pure herbicidal compound dinoseb-acetate (2-sec-butyl-4,6-dinitrophenyl acetate) and its commercial formulation Aretit were tested for their efects on the spider mite Tetranychus urticae L. (Acari. Tetranychidae) following post-emergence application to the host plant Phaseolus vulgaris L. under laboratory and semi-field conditions. Mites which fed on beans treated with the pure compound produced a lower number than those feeding on untreated control plants. Mite quantity on Aretit-treated plants remained behind the control 6 days post-treatment but did not differ significantly from the control 21 days post-treatment. There were no indications for a specific sensitivity of single developmental stages. External as well as internal changes in mite morphology were not obvious independent of the kind of treatment. Effects of herbicide application became undoubtedly obvious at the electron-microscopy level, although the pattern of cellular alterations was very unspecific. Tissue changes exceeding normal variance can be demonstrated in more than 50% of the investigated individuals of each short-term test variant. They are manifest in mitochondrial swelling and disruption, especially in cells of the midgut caeca and prosomal glands, and a disarrangement of the RER, especially in the pure-compound treatment. Cellular changes are more pronounced and polymorphological in the pure-compound test variant than in the commercial formulation variant. At 21 days post-treatment, frequency of tissue alterations exceeding normal variance was reduced, with the exception of the diluted Aretit treatment where it remained at high level. Consequences of cellular changes on individual and population development and dynamics of T. urticae are estimated on the basis of dinoseb-acetate risk in agricultural practices. Results are discussed with respect to the use of electron microscopy in elucidating herbicide action, to the influence of formulation, and the need for a test system enabling a prediction of ecotoxicological actions of biocides prior to their admission for use in the field.",Normal,1433,YES,YES,
http://dx.doi.org/10.1016/0045-6535(87)90067-1,"BAHADIR, M; LORENZ, W; KORTE, F",INFLUENCE OF VARIOUS FORMULATIONS ON STABILITY AND INSECTICIDAL ACTIVITY OF PYRETHROIDS IN THE SOIL,1987,CHEMOSPHERE,16,1311,1317,"Persistence of four pyrethroid insecticides cypermethrin, deltamethrin, fenvalerate and permethrin was investigated in a standardized soil test under laboratory conditions before and after formulation. Degradation of unformulated active ingredients (a.i.) took place within t1/2 = 21 d (cypermethrin), 88 d (fenvalerate), 110 d (deltamethrin) and 126 d (permethrin), respectively. Formulation of cypermethrin with the aid of inorganic adsorbents like fractosil, silica gel and sea-sand had no influence on degradation rates. In comparison with its persistence of cypermethrin increased considerably after formulating with sawdust of different origin (t1/2: pine-wood 30 d, beech 52 d and oak 110 d). Formulation by oak dust significantly increased persistence of all a.i. tested (t1/2 = 110-475 d). Adsortpion of pentachlorophenol or 4-hydroxybenzoic acid onto pine-wood formulations showed stabilizing effects on cypermethrin indicating that unprotected (unformulated) a.i. were decomposed primarily by soil microorganisms. Sawdust formulations of deltamethrin and cypermethrin significantly inhibited the hatching rate of Phorbia brassicae Bouche at C .ltoreq. 500 .mu.g a.i./plant compared with 50,000 .mu.g chlorfenvinfos/plant.",Normal,1402,YES,YES,Allemand
