AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
Peluso J.; Martínez Chehda A.; Olivelli M.S.; Aronzon C.M.,Ecotoxicological effects of the emerging contaminant ivermectin on Rhinella arenarum: A comparative study of active ingredient and commercial formulation,2024,Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,283,,,10.1016/j.cbpc.2024.109965,"Ivermectin (IVM) is a broad-spectrum veterinary antiparasitic used worldwide in cattle breeding. The aim of this study was to evaluate the lethal effects of the active ingredient and a commercial formulation of IVM (1 % active ingredient) in the embryonic stage (S. 4–6) and larval stage (S. 25) of the South American amphibian Rhinella arenarum through chronic standardized bioassays. Also, behavior analysis and oxidative stress and cholinergic effects biomarkers were analyzed at 1, 10 and 100 μg IVM/L concentrations. For the embryonic stage, the active ingredient (96 h- LC50: 15900 μg/L) was more toxic than the commercial formulation (96 h-LC50: 51230 μg/L) during the acute period, while at chronic exposure the commercial formulation was more toxic (504 h-LC50: 10.25 μg/L), compared to the active ingredient (504 h-LC50: 312.80 μg/L). For the larval stage, in acute exposure, the active ingredient (96 h-LC50: 800 μg/L) was more toxic than the commercial formulation (96 h-LC50: 1550 μg/L). In the chronic exposure, the commercial formulation (504 h-LC50: 77.33 μg/L) was more toxic than the active ingredient (504 h-LC50: 195.25 μg/L). Overall, larvae exhibited greater sensitivity to both the active ingredient and the commercial formulation. However, during chronic exposure, embryos were more sensitive to the commercial formulation than larvae. The commercial formulation primarily induced oxidative stress, and both forms of the compound affected behavior and cholinergic effect biomarkers, even at low environmentally relevant concentrations (1 μg/L). These results highlight the potential impact of IVM on aquatic ecosystems. © 2024 Elsevier Inc."
Scully-Engelmeyer K.; Granek E.F.; Nielsen-Pincus M.; Lanier A.; Rumrill S.S.; Moran P.; Nilsen E.; Hladik M.L.; Pillsbury L.,Exploring biophysical linkages between coastal forestry management practices and aquatic bivalve contaminant exposure,2021,Toxics,9,1,25,10.3390/toxics9030046,"Terrestrial land use activities present cross-ecosystem threats to riverine and marine species and processes. Specifically, pesticide runoff can disrupt hormonal, reproductive, and developmental processes in aquatic organisms, yet non-point source pollution is difficult to trace and quantify. In Oregon, U.S.A., state and federal forestry pesticide regulations, designed to meet regulatory water quality requirements, differ in buffer size and pesticide applications. We deployed passive water samplers and collected riverine and estuarine bivalves Margaritifera falcata, Mya arenaria, and Cras-sostrea gigas from Oregon Coast watersheds to examine forestry-specific pesticide contamination. We used non-metric multidimensional scaling and regression to relate concentrations and types of pesticide contamination across watersheds to ownership and management metrics. In bivalve samples collected from eight coastal watersheds, we measured twelve unique pesticides (two herbicides; three fungicides; and seven insecticides). Pesticides were detected in 38% of bivalve samples; and frequency and maximum concentrations varied by season, species, and watershed with indaziflam (herbicide) the only current-use forestry pesticide detected. Using passive water samplers, we measured four current-use herbicides corresponding with planned herbicide applications; hexazinone and atrazine were most frequently detected. Details about types and levels of exposure provide insight into effectiveness of current forest management practices in controlling transport of forest-use pesticides. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
Mach B.M.; Glynn S.E.; Daniels J.C.; Dale A.G.,Target and non-target effects of insecticide use during ornamental milkweed production,2024,Environmental Entomology,53,648,658,10.1093/ee/nvae056,"There are widespread public efforts to conserve wildlife in urbanized landscapes via the installation of nursery-grown plants that support Lepidoptera taxa. Insecticides are commonly used during nursery production to suppress key plant pests, and many products have extended periods of toxicity and affect a wide range of herbivore taxa. While there are plentiful toxicological data on bee species, predominantly the Western honey bee (Apis mellifera L.), little is known about how insecticides affect nonpest lepidopterans. Lepidoptera has different modes of exposure (e.g., leaf-feeding) and differences in susceptibility to insecticide target sites compared to bees. Consequently, many products compatible with bee conservation pose an uncertain risk to nonpest lepidopterans and thus may represent an under-recognized conflict with conservation efforts. Using the monarch butterfly (Danaus plexippus, L.), tropical milkweed (Asclepias curassavica, L.), and oleander aphid (Aphis nerii, Fonscolombe, 1841) system, we conducted leaf and whole-plant feeding assays to evaluate effects of acute and chronic monarch exposure to industry standard and alternative reduced-risk insecticides used during nursery production. We also evaluated the efficacy of these insecticides against their target pest, the oleander aphid. Our results indicate that insecticides used to control pests on ornamental milkweed can cause monarch larval mortality up to 4 wk after treatment application. Furthermore, the duration of aphid suppression is often shorter than the duration of adverse effects on monarchs. This study demonstrates a conflict between insect pest management and Lepidoptera conservation during ornamental plant production and has implications for the conservation value of ornamentals after retail sale.  © The Author(s) 2024. Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved."
Cortez A.O.; Yoshinaga N.; Mori N.; Hwang S.-Y.,Plant growth-promoting rhizobacteria modulate induced corn defense against Spodoptera litura (Lepidoptera: Noctuidae),2024,"Bioscience, Biotechnology and Biochemistry",88,872,884,10.1093/bbb/zbae073,"Common cutworm, Spodoptera litura is an important pest of corn causing significant crop yield loss. Synthetic insecticides have mostly been used to combat this pest, raising human and environmental health concerns. Plant growth-promoting rhizobacteria (PGPR) could compensate for or augment the harmful effects of agrochemicals. Herein, we aimed to assess whether PGPR-induced defenses in corn plants impact the host-plant selection behavior of S. litura. Headspace volatile organic compounds were analyzed using gas chromatography-mass spectrometry. Larvae fed inoculated corn exhibited lower weights and relative growth rate than noninoculated plants. Under choice experiments, PGPR-treated plants significantly reduced percentage leaf damage area and oviposition rate compared to untreated plants. Volatile organic compound ratio emission varied significantly between control and PGPR treatments, which, in part, explains feeding and oviposition deterrence in PGPR-treated plants. The results demonstrate that PGPR inoculation can enhance corn resistance to S. litura, making it a promising candidate for crop protection strategies.  © 2024 The Author(s)."
Fine J.D.; Cox-Foster D.L.; Moor K.J.; Chen R.; Avalos A.,Trisiloxane Surfactants Negatively Affect Reproductive Behaviors and Enhance Viral Replication in Honey Bees,2024,Environmental Toxicology and Chemistry,43,222,233,10.1002/etc.5771,"Trisiloxane surfactants are often applied in formulated adjuvant products to blooming crops, including almonds, exposing the managed honey bees (Apis mellifera) used for pollination of these crops and persisting in colony matrices, such as bee bread. Despite this, little is known regarding the effects of trisiloxane surfactants on important aspects of colony health, such as reproduction. In the present study, we use laboratory assays to examine how exposure to field-relevant concentrations of three trisiloxane surfactants found in commonly used adjuvant formulations affect queen oviposition rates, worker interactions with the queen, and worker susceptibility to endogenous viral pathogens. Trisiloxane surfactants were administered at 5 mg/kg in pollen supplement diet for 14 days. No effects on worker behavior or physiology could be detected, but our results demonstrate that hydroxy-capped trisiloxane surfactants can negatively affect queen oviposition and methyl-capped trisiloxane surfactants cause increased replication of Deformed Wing Virus in workers, suggesting that trisiloxane surfactant use while honey bees are foraging may negatively impact colony longevity and growth. Environ Toxicol Chem 2024;43:222–233. © 2023 SETAC. This article has been contributed to by U.S. Government employees and their work is in the public domain in the USA. © 2023 SETAC. This article has been contributed to by U.S. Government employees and their work is in the public domain in the USA."
Magna E.K.; Koranteng S.S.; Donkor A.; Gordon C.,Levels of Persistent Organochlorine Compounds in Nile Tilapia (Oreochromis niloticus) from Three Cage Aquaculture Farms on the Volta Basin of Ghana: Implications for Human Health,2022,Environmental Processes,9,,,10.1007/s40710-022-00600-z,"Increased agrochemical-based agricultural activities along the Volta basin and cage aquaculture practices from the cage farms have raised concerns about the potential ecological risk to the aquatic ecosystem. To assess this, caged tilapia samples were analysed for polychlorinated biphenyls (PCBs) and organochlorine pesticides (OCP). Fish samples in acetone/hexane (2:1v/v) solvent medium were sonicated in an ultrasonic bath, shaken electronically, cleaned by solid-phase extraction, and analysed using GC/ECD for OCPs and GC/MS for PCBs. The levels of OCPs reported in the fish ranged; ND – 2.31 µg/kg (fish farm A), <LOD – 4.3 µg/kg (fish farm B), <LOD – 6.11 µg/kg (fish farm C) and ND – 0.88 µg/kg (control). The highest concentration of 6.11 µg/kg was encountered for δ-HCH in tilapia from fish farm C, while p,p’-DDE recorded the lowest in fish from Farm A. The levels of the OCPs detected in cage tilapia were below the maximum residue limits (MRL) proposed by the EU. Six PCBs congeners, i.e., PCB 18, PCB 28, PCB 52, PCB 101, PCB153 and PCB 180 were detected and concentrations ranged from 0.288 to 0.931 µg/kg dw, 0.042–1.321 µg/kg dw, 0.260-10.657 µg/kg dw, and ND − 0.298 µg/kg dw in fish Farms A, B, C and control, respectively. Risk assessment of POPs indicated that ∑PCBs in Farm C fish may pose health risk to consumers. Further analysis revealed that Farms B and C fish polluted with endrin may pose cancer risk to children consumers. Frequent monitoring of PCBs, OCPs and other contaminants is needed to mitigate the impacts on human health. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG."
Simonsen D.; Heffelfinger J.; Cwiertny D.M.; Lehmler H.-J.,Benoxacor is enantioselectively metabolized by microsomes and cytosol from the human liver,2023,Emerging Contaminants,9,,,10.1016/j.emcon.2022.100198,"Benoxacor is a safener added to current-use herbicide formulations to protect the target crop from herbicidal toxicity. It is an emerging environmental contaminant that has been detected in surface waters, raising the possibility of human exposure via drinking water. Because it is not subject to the same regulations as active pesticide ingredients, its metabolism and toxicity in humans have not been studied. Here we investigate the enantioselective metabolism of benoxacor in human subcellular fractions. Pooled human liver microsomes (pHLM) and cytosol (pHLC) were incubated with racemic benoxacor for up to 30-min. Gas chromatographic analyses were used to measure the enantioselective depletion of benoxacor. pHLMs with and without nicotinamide adenine dinucleotide phosphate (NADPH, co-factor for cytochrome P450 enzymes [CYPs]) and pHLC with glutathione (GSH, co-factor for glutathione S-transferases [GSTs]) metabolized benoxacor. These results demonstrate that microsomal CYPs, microsomal carboxylesterase (CESs), and cytosolic GSTs metabolize benoxacor. Females were predicted to have a higher clearance of benoxacor by GSTs than males. Male and female pHLM incubations with NADPH showed enrichment of the first eluting benoxacor enantiomer (E1-benoxacor). pHLM incubations without NADPH and pHLC incubations with GSH showed an enrichment of the second eluting enantiomer of benoxacor (E2-benoxacor). Our results indicate that human hepatic microsomal and cytosolic enzymes enantioselectively metabolize benoxacor, a fact that needs to be considered when investigating human exposures and toxicities of benoxacor. © 2022 The Authors"
Jarrell Z.R.; Ahammad M.U.; Benson A.P.,Glyphosate-based herbicide formulations and reproductive toxicity in animals,2020,Veterinary and Animal Science,10,,,10.1016/j.vas.2020.100126,"The adoption of genetically engineered (GE) crops in agriculture has increased dramatically over the last few decades. Among the transgenic plants, those tolerant to the herbicide glyphosate are among the most common. Weed resistance to glyphosate-based herbicides (GBHs) has been on the rise, leading to increased herbicide applications. This, in turn, has led to increased glyphosate residues in feed. Although glyphosate has been considered to be generally safe to animal health, recent studies have shown that GBHs have potential to cause adverse effects in animal reproduction, including disruption of key regulatory enzymes in androgen synthesis, alteration of serum levels of estrogen and testosterone, damage to reproductive tissues and impairment of gametogenesis. This review emphasizes known effects of GBHs on reproductive health as well as the potential risk GBH residues pose to animal agriculture. © 2020 The Author(s)"
Makame K.R.; Masese S.N.; Ádám B.; Nagy K.,Oxidative Stress and Cytotoxicity Induced by Co-Formulants of Glyphosate-Based Herbicides in Human Mononuclear White Blood Cells,2023,Toxics,11,,,10.3390/toxics11120976,"The use of genetically modified, glyphosate-resistant crops has led to the widespread application of glyphosate-based herbicides (GBHs), making them one of the most widely used herbicide formulations on the market. To enhance the efficacy of the active ingredient, GBHs used in practice often contain other ingredients marked as inert “adjuvants” or “co-formulants”, the toxic properties of which are poorly understood. The objective of this study was to compare the cytotoxic effects of pure glyphosate, three GBHs (Roundup Mega, Fozat 480 and Glyfos) and two co-formulants commonly used in GBHs as assessed via CCK-8 assay, and the extent of their potential oxidative damage as assessed via superoxide dismutase (SOD) assay, in order to reveal the role of adjuvants in the toxicity of the formulations. Our results showed that glyphosate alone did not significantly affect cell viability. In contrast, GBHs and adjuvants induced a pronounced cytotoxic effect from a concentration of 100 μM. SOD activity of cells treated with GBHs or adjuvants was significantly lower compared to cells treated with glyphosate alone. This suggests that the adjuvants in GBHs are responsible for the cytotoxic effects of the formulations through the induction of oxidative stress. © 2023 by the authors."
Reiß F.; Schuhmann A.; Sohl L.; Thamm M.; Scheiner R.; Noll M.,Fungicides and insecticides can alter the microbial community on the cuticle of honey bees,2023,Frontiers in Microbiology,14,,,10.3389/fmicb.2023.1271498,"Honey bees are crucial for our ecosystems as pollinators, but the intensive use of plant protection products (PPPs) in agriculture poses a risk for them. PPPs do not only affect target organisms but also affect non-targets, such as the honey bee Apis mellifera and their microbiome. This study is the first of its kind, aiming to characterize the effect of PPPs on the microbiome of the cuticle of honey bees. We chose PPPs, which have frequently been detected in bee bread, and studied their effects on the cuticular microbial community and function of the bees. The effects of the fungicide Difcor® (difenoconazole), the insecticide Steward® (indoxacarb), the combination of both (mix A) and the fungicide Cantus® Gold (boscalid and dimoxystrobin), the insecticide Mospilan® (acetamiprid), and the combination of both (mix B) were tested. Bacterial 16S rRNA gene and fungal transcribed spacer region gene-based amplicon sequencing and quantification of gene copy numbers were carried out after nucleic acid extraction from the cuticle of honey bees. The treatment with Steward® significantly affected fungal community composition and function. The fungal gene copy numbers were lower on the cuticle of bees treated with Difcor®, Steward®, and PPP mix A in comparison with the controls. However, bacterial and fungal gene copy numbers were increased in bees treated with Cantus® Gold, Mospilan®, or PPP mix B compared to the controls. The bacterial cuticular community composition of bees treated with Cantus® Gold, Mospilan®, and PPP mix B differed significantly from the control. In addition, Mospilan® on its own significantly changed the bacterial functional community composition. Cantus® Gold significantly affected fungal gene copy numbers, community, and functional composition. Our results demonstrate that PPPs show adverse effects on the cuticular microbiome of honey bees and suggest that PPP mixtures can cause stronger effects on the cuticular community than a PPP alone. The cuticular community composition was more diverse after the PPP mix treatments. This may have far-reaching consequences for the health of honey bees. Copyright © 2023 Reiß, Schuhmann, Sohl, Thamm, Scheiner and Noll."
