AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
Huang X.; Luo J.; Cao H.; Wang A.; Zhou F.; Liu F.; Li B.; Mu W.; Zhang Y.,A multidimensional optimization strategy of pyraclostrobin-loaded microcapsules to improve the selectivity between toxicological risk in zebrafish and efficacy in controlling rice blast,2023,Science of the Total Environment,904,,,10.1016/j.scitotenv.2023.166587,"Developing microcapsules (MCs) delivery systems can effectively mitigate toxicological risk of highly active/toxic pesticides; whereas the controlled release functions also limiting their practical effectiveness. Therefore, designing a precise regulating strategy to balance the toxicity and bioactivity of MCs is urgently needed. Here, we prepared a series of pyraclostrobin-loaded MCs with different wall materials, particle sizes, core density and shell compactness using interfacial polymerization. The results showed that the MCs released more slowly in water with increasing particle sizes and capsule compactness, and they sunk more quickly with the increasing particle sizes and core density. Additionally, MCs with slower release speed was always accompanied with lower acute toxicity levels to zebrafish. When the release dynamics slowed down to the threshold dose on demand for disease control, facilitating settlement of MCs can further reduce toxicity within spatial and temporal dimensions. The poor accumulation of MCs with larger particle sizes or dense shell in gills was closely related to their efficient detoxification. Importantly, seven of the MCs samples possessed superior selectivity between bio-performance in controlling rice blast and toxicological hazard to fish compared to commercial formulations. The results provide a comprehensive guidance for developing an efficient and safe pesticide delivery system. © 2023"
James D.G.,"Monarch Butterflies in Western North America: A Holistic Review of Population Trends, Ecology, Stressors, Resilience and Adaptation",2024,Insects,15,,,10.3390/insects15010040,"Monarch butterfly populations in western North America suffered a substantial decline, from millions of butterflies overwintering in California in the 1980s to less than 400,000 at the beginning of the 21st century. The introduction of neonicotinoid insecticides in the mid–1990s and their subsequent widespread use appears to be the most likely major factor behind this sudden decline. Habitat loss and unfavorable climates (high temperatures, aridity, and winter storms) have also played important and ongoing roles. These factors kept overwintering populations stable but below 300,000 during 2001–2017. Late winter storm mortality and consequent poor spring reproduction drove winter populations to less than 30,000 butterflies during 2018–2019. Record high temperatures in California during the fall of 2020 appeared to prematurely terminate monarch migration, resulting in the lowest overwintering population (1899) ever recorded. Many migrants formed winter-breeding populations in urban areas. Normal seasonal temperatures in the autumns of 2021 and 2022 enabled overwintering populations to return to around the 300,000 level, characteristic of the previous two decades. Natural enemies (predators, parasitoids, parasites, and pathogens) may be important regional or local drivers at times but they are a consistent and fundamental part of monarch ecology. Human interference (capture, rearing) likely has the least impact on monarch populations. The rearing of monarch caterpillars, particularly by children, is an important human link to nature that has positive ramifications for insect conservation beyond monarch butterflies and should be encouraged. © 2024 by the author."
Gunawan A.P.; Utama D.N.,Decision support model to assess pesticide safeness toward environment,2024,Environmental Analysis Health and Toxicology,39,,,10.5620/eaht.2024003,"For farmers around the world to protect crops from disturbing pests, it is common to use pesticides to ward off the growth of pests or even eliminate them. Even though pesticides are seen as a good thing for protecting crops, there is one thing that mustn’t be forgotten the origin of the pesticide itself is a toxin compound that is dangerous if used irresponsibly. The main concern of this study is excessive use of pesticides may cause serious consequences to the ecosystem and environment through the accumulation of pesticide residue by irresponsible farmers. To minimize the effects of pesticide residues, the selection of the type of pesticide needs to be considered which type may not be harmful to the environment's health even though accumulation happens. Therefore, in this study, a fuzzy-based computational model assessor was built to measure the safety level of pesticides toward the environment. The fuzzy model was created with consideration of several parameters related to pesticide behaviors, its effects on beneficial organisms, and its persistence in the environment. The method used for this study includes literature reviewing, fuzzification, statistical approach, expert knowledge sharing, and quantitative analysis. The model created in this study can assist in a more accurate and realistic method of selecting better pesticide options that will be used by farmers. To ensure the validity of the model, verifying and validating the formula and pesticide result assessment were done with related literature articles. In this study, from 10 types of pesticides used as a sample, dodine, and iprodione pesticides are the best option for protecting crops with a safety level of 7.36, and abamectin, dimethoate, chorpyrifos, and methidathion are not safe options for farming use because of its potential of harming the environment. © 2024 The Korean Society of Environmental Health and Toxicology/Korea Society for Environmental Analysis."
Han R.; Wang Z.; Zhuansun X.; Gao Y.; Li Y.; Liu Q.,"Preparation of tea tree oil nanoemulsion: Characterisation, antibacterial mechanism and evaluation of apoptosis",2023,Flavour and Fragrance Journal,38,135,143,10.1002/ffj.3731,"Tea tree oil (TTO) is a natural plant essential oil that has strong bactericidal properties and low toxicity. However, owing to its irritability, volatility, instability under light/oxygen and hydrophobicity, the application of TTO in pharmaceutical production technology and the food industry is limited. To overcome these problems, TTO nanoemulsions (TTONs) were prepared using a high-speed shearing method. The mean droplets size of TTON was measured. TTON droplets were observed using confocal laser scanning microscopy and analysed using a Turbiscan scanning spectrum. The most suitable nanoemulsion formula was obtained as follows: TTO content, 10% (w/w); Tw-40 content, 8% (w/w); deionised water content, 82% (w/w); shearing time, 5 minutes. The antibacterial effect of TTON was studied, and it was found that its antibacterial activity against Escherichia coli was more potent than that against Staphylococcus aureus. The antibacterial mechanism of TTON was also investigated by observing bacterial morphology using scanning electron microscopy and testing the levels of bacterial reactive oxygen species. The effect of TTON on L-02 cells was evaluated. The results showed that the cell survival rates of L-02 cells treated with TTON at 0.05-0.25 μg/μL were all >90%. At each concentration, the total apoptosis rate of L-02 cells was <10%. These results indicated the high biocompatibility and biological safety of TTON. Therefore, the preparation of TTO into a nanoemulsion can improve its bioavailability, which has positive implications for further applications of TTO. © 2023 John Wiley & Sons Ltd."
Gallardo-Valle E.D.; Carbajal-Nogueda D.; Moreno-Godínez M.E.; Flores-Alfaro E.; Parra-Rojas I.; Huerta-Beristain G.; Domínguez-Reyes T.; Ramírez-Vargas M.A.,Evaluation of the cytotoxicity and genotoxicity of glufosinate-ammonium at technical and commercial grades in HepG2 cells,2023,"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",58,577,582,10.1080/03601234.2023.2241322,"Exposure to genotoxic agents is associated with the development of cancer and related diseases. For this reason, assessing the genotoxicity of chemical compounds is necessary. In this line, information about the genotoxic effect of glufosinate-ammonium (GLA) has been reported only for the technical grade. However, humans are frequently exposed to commercial formulations of pesticides. Commercial formulations are characterized by using inner agents that increase toxicity compared to pesticides in technical grade. This study aimed to determine the cytotoxic and genotoxic effects of GLA on HepG2 cells. MTT and comet assays were performed to evaluate cell viability and DNA damage, respectively. HepG2 cells were exposed for 24 h to different concentrations of GLA (at 0.01 µg/mL; 0.04 µg/mL; 0.1 µg/mL; 0.24 µg/mL; 0.52 µg/mL; 1.25 µg/mL; 2.62 µg/mL and 13.12 µg/mL) in commercial- (Finale Ultra®) or technical-grade (GLAT). The results indicated that only Finale Ultra® induced a reduction in cell viability at 13.12 µg/mL. Furthermore, exposure to Finale Ultra® or GLAT was associated with increased DNA damage at concentrations from 0.52–13.12- µg/mL. This study shows the genotoxic effect of GLA on HepG2 cells. © 2023 Taylor & Francis Group, LLC."
Ndikuryayo F.; Gong X.-Y.; Yang W.-C.,Advances in Understanding the Toxicity of 4-Hydroxyphenylpyruvate Dioxygenase-Inhibiting Herbicides,2024,Journal of Agricultural and Food Chemistry,72,17762,17770,10.1021/acs.jafc.4c04624,"4-Hydroxyphenylpyruvate dioxygenase inhibiting herbicides (HIHs) represent a recent class (HRAC group 27) of herbicides that offer many advantages, such as broad-spectrum activity, crop selectivity, and low resistance rates. However, emerging studies have highlighted the potential toxicity of HIHs in the environment. This review aims to provide a comprehensive summary of the toxicity of HIHs toward nontarget organisms, including plants, microorganisms, animals, and humans. Furthermore, the present work discusses the ecological roles of these organisms in the environment and their significance in agriculture. By shedding light on the toxicity of HIHs, this study seeks to raise awareness among end users, including environmentalists, researchers, and farmers, regarding the potential ecological implications of these herbicides. Hopefully, this knowledge can contribute to informed decision-making and sustainable practices in green agriculture and environmental management. © 2024 American Chemical Society."
Battisti L.; Potrich M.; Abati R.; Sampaio A.R.; Libardoni G.; Costa-Maia F.M.; Berté E.A.; dos Reis Martinez C.B.; Sofia S.H.,"Toxicity of glyphosate herbicides formulated for Africanized Apis mellifera Linnaeus, 1758 (Hymenoptera: Apidae)",2024,Ecotoxicology and Environmental Safety,287,,,10.1016/j.ecoenv.2024.117247,"Initially, products based on glyphosate (GLY) were considered non-toxic or slightly toxic to bees. Still, recent research has shown that these products can cause mortality or trigger sublethal effects in these insects. Roundup Transorb R® (RT) is one of the GLY-based formulations sold in Brazil. It is used in several crops, and studies are required on its toxicity to honey bees. Thus, the objective of this work was to evaluate, under laboratory conditions, the lethal and sublethal effects of RT for adult workers (foragers) of Africanized A. mellifera. For this, two bioassays were carried out with Africanized honey bees. The experimental design was completely randomized, consisting of five treatments (T0 - control, T25 – 25 % GLY, T50 – 50 % GLY, T75 – 75 % GLY, and T100 GLY – 100 % recommended dose). The bioassays were carried out as follows: (1) Acute oral and topical exposure, evaluating mortality, effects on flight capacity, vertical displacement, and locomotion (in the latter only for oral contamination), consisting of five repetitions and 10 honey bees per repetition; (2) Chronic exposure via the oral route and spraying, assessing mortality, for both contamination routes and damage to the midgut epithelium thickness when contaminated via the oral route, composed of five replicates and 20 honey bees per replicate. The results showed that chronic oral exposure to RT can increase honeybee mortality and damage the thickness of their midgut epithelium. In addition, when acutely exposed orally, the honey bees had reduced walking ability. RT did not affect the other evaluated parameters. Thus, it is concluded that the RT-formulated GLY can affect the survival, midgut morphology, and behavior of A. mellifera. © 2024 The Authors"
Shi L.; Yan W.; Sun L.; Hou C.; Wei N.; Chen Z.; Feng J.,Preparation and characterization of emamectin benzoate nanocapsules based on the dual role of polydopamine,2022,Pest Management Science,78,4407,4416,10.1002/ps.7061,"Background: Developing pesticide-controlled release formulations with foliage adhesion has become the focus of current research in the field of crop protection. In this study, an excellent adhesive nanocapsule loaded with emamectin benzoate (Eb@PDA) was prepared via emulsion interfacial polymerization based on the self-polymerization ability and adhesion properties of polydopamine (PDA). Results: The physicochemical properties of the Eb@PDA were characterized by scanning electron microscopy, transmission electron microscopy, particle size statistics, Fourier transform infrared spectroscopy and X-ray diffraction. The Eb@PDA presented a regular spherical shape, with an average particle size of 163.8 nm. Compared with conventional formulations, it had higher pesticide-loading content (34%) and excellent adhesion onto corn leaf. In addition, Eb@PDA showed sustained-release characteristics, facilitating the release of Eb at low pH and high temperature. Eb@PDA could effectively protect Eb against photodegradation and had a longer effective period for controlling Spodoptera frugiperda and Spodoptera exigua. Furthermore, acute toxicity tests showed that the 50% lethal concentration (LC50) was 80.91 and 57.91 mg kg−1 at 7 and 14 days, respectively, indicating a lower toxicity of the Eb@PDA to earthworms. The cells (L02) treated with Eb@PDA showed a higher cell viability but a lower apoptosis rate (only 5.75%), demonstrating the lower cytotoxicity of the Eb@PDA. Conclusion: The self-prepared Eb@PDA could be used as a formulation with the advantages of slow release, UV shielding, strong leaf adhesion, superior insecticidal properties, sustained effectiveness and biosafety. It will also facilitate the development of an efficient and safe pesticide delivery system. © 2022 Society of Chemical Industry. © 2022 Society of Chemical Industry."
Straw E.A.,The active ingredient is not always to blame: in response to Serra et al. (2023),2024,Ecotoxicology,33,235,237,10.1007/s10646-024-02733-3,[No abstract available]
Barreto E.; Villanova J.; Parra C.; Flores M.; Salgado Costa C.; Lascano C.; Natale G.; Venturino A.,"Biomarkers at the Individual and Biochemical Level: Effects of Pure and Formulated Lambda-Cyhalothrin in Boana pulchella Tadpoles (Duméril and Bibron, 1841)",2024,Environmental Toxicology and Chemistry,43,2134,2144,10.1002/etc.5961,"We compared the effects of lambda-cyhalothrin as the pure active ingredient and as a formulated product (Zero®), on the larval stage of the autochthonous species Boana pulchella. We evaluated ecotoxicological endpoints, behavioral and developmental alterations, and the biochemical detoxifying, neurotoxic, and oxidative stress responses, covering a wide concentration range from environmental to high application levels. Both pyrethroid preparations displayed similar ecotoxicity (median lethal concentration of ~0.5 mg/L), with the lethal effect of Zero® being more pronounced than that of the active ingredient. Sublethal behavioral alterations in natatory activity were observed at 1000 times lower concentrations, indicating the ecological hazard of tadpole exposure to this pyrethroid at environmentally relevant concentrations. Biochemical endpoints in B. pulchella larvae showed significant responses to lambda-cyhalothrin in the ng/L range; these responses were different for the pure or the formulated product, and they were variable at higher concentrations. Principal components analysis confirmed the prevalence of biochemical responses as early endpoints at the lowest lambda-cyhalothrin concentrations; the Integrated Biomarker Response Index proportionally increased with pyrethroid concentration in a similar way for the pure and the formulated products. We conclude that lambda-cyhalothrin is of concern from an environmental perspective, with particular emphasis on autochthonous anuran development. The battery of biochemical biomarkers included in our study showed a consistent integrated biomarker response, indicating that this is a potent tool for monitoring impacts on amphibians. Environ Toxicol Chem 2024;43:2134–2144. © 2024 SETAC. © 2024 SETAC."
Chen D.; Huang H.; Huang Y.; Yang W.; Shan W.; Hao G.; Wu J.; Song B.,"Toxicity Tests for Chemical Pesticide Registration: Requirement Differences among the United States, the European Union, Japan, and China?",2023,Journal of Agricultural and Food Chemistry,71,7192,7200,10.1021/acs.jafc.3c00410,"Pesticide registration is a scientific, legal, and administrative process that checks if a pesticide is safe and effective for its intended use before it can be used. The toxicity test is a key part of pesticide registration, which includes human health and ecological effect testing. Different countries adopt their own toxicity test criteria for pesticide registration guidelines. However, these differences, which may help accelerate the progress of pesticide registration and reduce the number of animals used, are yet to be explored and compared. Herein, we outlined the details and compared the differences between the toxicity tests in the United States, the European Union, Japan, and China. Some differences lie in the types and waiver policy, while others are in new approach methodologies (NAMs). On the basis of these differences, there is great potential for the optimization of NAMs during the toxicity tests. It is expected that this perspective can contribute to developing and adopting NAMs. © 2023 American Chemical Society."
