STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
coxref11,Guy,YES,"Arias, E","Sister chromatid exchange induction by the herbicide 2,4-dichlorophenoxyacetic acid in chick embryos",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"As genetic damage may result from exposure to agricultural chemicals, it seemed appropriate to assess the genotoxic potential of 2,4-dichlorophenoxyacetic acid (2,4-D), a widely used broad-leaf herbicide, using a test system that may provide some indications on the genetic risk to animal species in the wild. In the present study, sister chromatid exchange (SCE) induction and cell cycle kinetics alterations by 2,4-D in 4-day old chick embryos were evaluated. Both a commercial herbicide formulation containing 37% 2,4-D isooctyl ester as active ingredient and pure 2,4-D were tested. Chick embryos were treated with 0, 0.5, 1, 2, or 4 mg 2,4-D. Test solutions were applied to the inner shell membrane on day 0 of incubation. Either commercial formulation or pure 2,4-D induced a dose-related increase in SCE frequency over the concentration range from 0 to 4 mg/embryo. Significantly higher SCE frequency was seen for the 4-mg group of embryos treated with the commercial product. A slightly higher SCE value was observed for the vehicle group (acetone-treated embryos) compared with the negative controls (untreated embryos). Significant inhibition of cell cycle progression was evident in both experimental groups and was generally dose related. The extent of changes in cell kinetics was similar in both groups, although somewhat more marked in the group treated with pure 2,4-D. The present findings corroborate the positive results from recent in vivo rodent studies. (C) 2003 Elsevier Science (USA). All rights reserved.",2003,55,338,343,10.1016/S0147-6513(02)00131-8
coxref12,Guy,YES,"Kiparissis, Y; Metcalfe, TL; Balch, GC; Metcalf, CD","Effects of the antiandrogens, vinclozolin and cyproterone acetate on gonadal development in the Japanese medaka (Oryzias latipes)",AQUATIC TOXICOLOGY,"This study was focused on determining the effects of exposure to antiandrogens on the gonadal development of Japanese medaka (Oryzias latipes). Test compounds included the fungicide, vinclozolin and the clinical antiandrogen, cyproterone acetate. Newly hatched medaka were exposed to aqueous solutions of vinclozolin (2500 mug/l) and the vinclozolin fungicide formulation, Ronilan(R) (1000 and 5000 mug/l) and cyproterone acetate (1 and 10 mug/l), for 3 months. Histological evaluation of the gonadal tissues of exposed fish indicated that the 5000 mug/l concentration of the vinclozolin formulation (Ronilan(R)) induced a low incidence of intersex. (i.e. testis-ova) and the 2500 mug/l concentration of vinclozolin-affected spermatogenesis in males. Also, the vinclozolin treatments induced moderate ovarian atresia. Cyproterone acetate also induced a low incidence of testis-ova, but in contrast to the vinclozolin treatment the amount of ovarian tissue in the testis-ova was equal to or greater than the amount of testicular tissue. In the cyproterone acetate treatments, both oogenesis and spermatogenesis were moderately inhibited at all test concentrations. The results of this study indicate that antiandrogens have the potential to alter testicular development and gametogenesis in fish. However, research is needed to determine the mechanisms by which antiandrogens affect fish. (C) 2003 Elsevier Science B.V. All rights reserved.",2003,63,391,403,10.1016/S0166-445X(02)00189-3
coxref13,Guy,YES,"Everett, KDE; Dickerson, HW",Ichthyophthirius multifiliis and Tetrahymena thermophila tolerate glyphosate but not a commercial herbicidal formulation,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,,2003,70,731,738,10.1007/s00128-003-0044-y
coxref14,Guy,NO,"Feron, VJ; Cassee, FR; Groten, JP; van Vliet, PW; van Zorge, JA",International issues on human health effects of exposure to chemical mixtures,ENVIRONMENTAL HEALTH PERSPECTIVES,"In this article, we highlight new developments and recent studies concerning adverse human health effects related to chemical mixtures. One group of activities comprises the development of a new computer program for analyzing mixture studies and a mathematical model as a basis for combination rules that predict the toxicity of mixtures. Other new activities in the area of experimental studies are the application of gene expression technologies in mixture research, and pattern recognition as a tool in safety evaluation of complex mixtures. A bottom-up approach for chemosensory detection of mixtures has recently been presented. Other topics include a method for the safety evaluation of natural flavoring complexes, and an evaluation of the possible health effects of the simultaneous intake of food additives. Examples of issues related to mixtures of airborne chemicals are potential interaction of fine particles and gaseous pollutants in ambient air, nasal cancer associated with inhaled chemical mixtures, and the recommendation of a limit value for volatile organic compounds. Topics of a more strategic nature include studies concerning the public health effects of large airports, and the development of criteria for a harmonized classification of chemical mixtures. This overview illustrates that strategies to tackle the safety evaluation of combined exposures and complex mixtures as well as models facilitating the interpretation of findings in the context of risk assessment of mixtures have become increasingly important. It is true that exposure of humans to chemical mixtures is the rule rather than the exception, and therefore health risk assessments should focus on mixtures and not on single chemicals. It is also true, however, that humans have learned to cope with exposure to huge numbers of chemicals simultaneously (food, water, air, soil, and consumer products). Therefore, in view of limited resources for toxicological research, the focus in toxicology should be on priority mixtures-priority being determined by (estimated) health risk (= toxicity and exposure). http://ehpnet1.niehs.nih.gov/docs/2002/suppl-6/893-899feron/abstract.html.",2002,110,893,899,10.1289/ehp.02110s6893
coxref15,Guy,NO,"Montemurro, N; Grieco, F; Lacertosa, G; Visconti, A",Chlorpyrifos decline curves and residue levels from different commercial formulations applied to oranges,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Residue levels and degradation rates of chlorpyrifos in orange fruits, orange leaves, and soil were investigated by using three different formulation types, that is, emulsifiable concentrate (EC), wettable granules (WG), and microencapsulates (ME). The pesticide degradation was studied for a period 131 days in orange fruits and for 161 days in orange leaves and soil. The experimental data were used to establish a mathematical model for the decline curves of chlorpyrifos residues as a function of time and to determine the relevant parameters describing such a process. Field trials showed a different degradation rate for EC and WG formulations as compared to ME formulation. For the first two formulations, the dissipation of chlorpyrifos in orange fruits was fast during the first phase and became much slower during the later period. Residue levels of chlorpyrifos from ME remained almost constant for similar to65 days and then began to decrease. A similar behavior was observed for the three chlorpyrifos formulations on orange leaves and soil. Although microencapsulation of pesticides leads to improved handling safety, additional risks for the consumers, the agriculture workers, and the environment should be taken into account due to prolonged persistence of high residue levels in fruits as well as in leaves and soil.",2002,50,5975,5980,10.1021/jf0256687
coxref16,Guy,NO,"Baynes, RE; Brooks, JD; Mumtaz, M; Riviere, JE",Effect of chemical interactions in pentachlorophenol mixtures on skin and membrane transport,TOXICOLOGICAL SCIENCES,"Pentachlorophenol (PCP) has been widely used as a pesticide, and topical exposure to a chemical mixture can alter its dermal absorption. The purpose of this study was to evaluate the influence of single and binary solvent systems (ethanol, EtOH, and water), a surfactant (6% sodium lauryl sulfate, SLS), and a rubifacient/vasodilator (1.28% methyl nicotinate, MNA) on PCP membrane transport, and to correlate these effects with physiochemical characteristics of the PCP mixtures. Partitioning, diffusion, and absorption parameters of C-14-PCP at low (4 mug/cm(2)) and high (40 mug/cm(2)) doses were assessed in porcine skin and silastic membranes in vitro. In these 8-h, flow-through diffusion studies, PCP was dosed with the following vehicles: 100% EtOH, 100% water, 40% EtOH + 60% water, 40% EtOH + 60% water + SLS, 40% EtOH + 60% water + MNA, and 40% EtOH + 60% water + SLS + MNA. PCP absorption ranged from 1.55-15.62% for the high dose and 0.43-7.20% for the low dose. PCP absorption, flux, and apparent permeability were influenced by PCP solubility, and PCP apparent permeability was correlated with log PC (r2 = 0.66). Although PCP was very soluble in pure ethanol (100%), this vehicle evaporated very rapidly, and PCP absorption in ethanol was the lowest with this vehicle when compared to pure water (100%) or aqueous ethanol mixtures in general. MNA had no significant effect on membrane absorption or relative permeability R(P) in aqueous ethanol solutions, but the presence of the surfactant, SLS, significantly reduced PCP absorption and R(P) in both membrane systems. In conclusion, these studies demonstrated that modification in mixture composition with either a solvent and/or a surfactant can influence PCP diffusion in skin. Physicochemical interactions between these mixture components on the skin surface and stratum corneum contributed significantly to PCP transport, and these interactions were identified by simultaneously assessing chemical diffusion in biological and inert membrane systems.",2002,69,295,305,10.1093/toxsci/69.2.295
coxref17,Guy,NO,"Armbrust, KL; Peeler, HB",Effects of formulation on the run-off of imidacloprid from turf,PEST MANAGEMENT SCIENCE,"Imidacloprid is a pesticide often used to control insect pests on residential lawns and golf courses. To investigate its potential to be transported into non-target aquatic systems by rainfall events, imidacloprid was applied as 5.0 g kg(-1) GR and 750 g kg(-1) WP to 12 plots planted with bermuda grass set on a 5% slope. The dimethylamine salt of the herbicide 2,4-D was applied simultaneously to the plots in order to normalize the results to prior trials conducted with other pesticides. At a rate of 2.5 cm h(-1), 5-cm rainfall events were simulated at 24 and 48h after application and 2.5-cm events were simulated at 96 and 192 h. After each event water was collected from each plot and analyzed by HPLC for residual insecticide or herbicide. Approximately 1.4% of the insecticide formulated as WP and 1.9% of that formulated as GR was lost from the plots after four run-off events. Of the total mass lost, 64% and 30% respectively occurred in the first and second run-off events for the WP formulation versus 75% and 20% for the GR formulation. These values compare with a total mass export of 2.6% for 2,4-D, of which 95% and 4% of the loss occurred respectively in the first and second run-off events. The maximum concentration of imidacloprid detected in run-off water was 0.49 mg litre(-1) and occurred during the first run-off event. (C) 2002 Society of Chemical Industry.",2002,58,702,706,10.1002/ps.518
coxref18,Guy,NO,"Brand, RM; Mueller, C","Transdermal penetration of atrazine, alachlor, and trifluralin: Effect of formulation",TOXICOLOGICAL SCIENCES,"Commercial formulations of herbicides contain surfactants and other compounds to increase absorption by targeted plants. These chemicals, however, are also potential penetration enhancers for mammalian skin, The effect of formulation on dermal absorption of the herbicides atrazine, alachlor, and trifluralin and their commercial formulations Aatrex, Lasso, and Treflan was determined. In vitro absorption studies were performed by placing hairless mouse skin in a Bronough flow-through diffusion system. Donor solution was spiked with C-14-labeled herbicide, and its penetration through the skin was monitored in 90-min fractions. Results demonstrate that dermal penetration of commercially formulated compound was significantly greater (p < 0.05) than that of the pure compound at the same concentration. The physical properties of a herbicide predicted penetration (r(2) = 0.97-0.99) for commercial formulations but were not as effective at predicting absorption for the pure compounds (r(2) = 0.51-0.71). The solvents associated with the hydrophobic herbicide Treflan altered dermal penetration of the more hydrophilic herbicides Lasso and Aatrex. Furthermore, although the most hydrophobic compound had the least penetration, it accumulated in the stratum corneum at the greatest rate. These studies can have important implications on future experiments performed to predict percutaneous penetration of herbicides.",2002,68,18,23,10.1093/toxsci/68.1.18
coxref19,Guy,NO,"Purdham, J T; Menard, B J; Bozek, P R; Sass-Kortsak, A M",MCPA permeation through protective gloves.,Applied occupational and environmental hygiene,"Permeation of 4-chloro-2-methylphenoxyacetic acid (MCPA) in commercial herbicide formulations through common protective glove types was evaluated to aid in the selection of appropriate skin protection. The ASTM test method F739-91 was used to measure the permeation of two undiluted formulations, one containing a salt, and the other an ester form of MCPA. The four glove types tested were natural rubber, neoprene 73, nitrile 37-145, and Viton-coated chloroprene. Triplicate tests of each combination of formulation and glove material were conducted. Permeation cells with a 0.01 M sodium hydroxide collection medium were used for the experiments. Aliquots of the collection medium were withdrawn at regular intervals and acidified, and quantification of the free acid was achieved using HPLC-UV (230 nm). There was no appreciable permeation of the salt formulation over a 24-hour test period. For the ester formulation, the following mean steady-state permeation rate (microg x cm(-2) min(-1)) and mean lag time (hours), respectively, were measured: Viton (0.06, 17.8), natural rubber (0.08, 15.4), neoprene 73 (0.21, 15.1), and nitrile (0.04, 24.2). Permeation was associated with significant swelling, averaging a nearly 30 percent increase from the pre-immersion thickness. All four glove types provide adequate protection against permeation by the salt formulation and at least eight-hour protection against the ester formulation. Given the greater permeation of the ester formulation, the salt formulation of MCPA herbicide should be used whenever possible.",2001,16,961,6,
coxref20,Guy,YES,"Oakes, DJ; Pollak, JK","The in vitro evaluation of the toxicities of three related herbicide formulations containing ester derivatives of 2,4,5-T and 2,4-D using sub-mitochondrial particles",TOXICOLOGY,"The aim of this investigation was to determine the contribution made by the different components of herbicide Formulations to the overall toxicity of the formulations. Three related herbicide formulations were chosen. The first, Agent Orange, consisted only of the butyl esters of 2,4,5-T and 2,4-D. The second was Agent Orange diluted with diesel fuel and the third formulation tested was a tree and blackberry killer, which consisted of the butyl ester of 2,4,5-T, the ethyl ester of 2,4-D, diesel fuel and two surfactants. The potential toxic effects of these three formulations were evaluated by determining their inhibitory effects on the oxidative functions of submitochondrial particles prepared from beef heart mitochondria. The effective concentration that caused a 50% inhibition of the activities of the submitochondrial particles was determined for all three formulations. When the toxicity of the individual components of these formulations was evaluated, it was established that the so-called 'inert' components i.e. diesel fuel and surfactants contributed approximately 50% of the overall toxicity of the complete formulations. Hence the results confirm the importance of evaluating the toxicity of complete formulations, rather than only focussing on the active components. While cellular and sub-cellular assays cannot account for pharmacokinetic and pharmacodynamic changes that may affect the toxicity of xenobiotics, the sub-mitochondrial particle test is useful as an initial screening assay. (C) 2000 Elsevier Science Ireland Ltd. All rights reserved.",2000,151,1,9,10.1016/S0300-483X(00)00244-4
