STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
nagycited11,Guy,NO,"Arman, Sezgi",Effects of acute and chronic bendiocarb exposure during early life stages of the pond snail (Lymnaea stagnalis),CHEMISTRY AND ECOLOGY,39,44,58,10.1080/02757540.2022.2134351,2023,"Environmental pollution is a global concern, and anthropogenic activities have contaminated natural water sources. Pesticides are one of the most recognised pollutants worldwide. Carbamates are a widely used pesticide family, and bendiocarb is a broad-spectrum carbamate insecticide detected in surface and groundwater. In the present work, acute lethal and chronic effects of bendiocarb on the early life stages of freshwater snail Lymnaea stagnalis were investigated. 24-h LC50 of bendiocarb on L. stagnalis embryos and juveniles was estimated at 20.39 (18.30-22.71) mg/L and 38.35 (29.58-52.89) mg/L, respectively. Chronic tests were conducted for 21-d to evaluate the potential effects of the environmentally realistic concentrations of bendiocarb (5 and 100 mu g/L) on the embryos. Mortality, development, growth (embryo: egg ratio and shell height), heart rate, and hatching success were investigated. The test results showed that mortality, developmental progression, embryo: egg ratio, shell height measurements and cumulative hatching rate were not significantly impaired by chronic bendiocarb exposure compared to the control. However, bendiocarb induced increased heart rate in the exposed snails."
nagycited12,Guy,NO,"Conte, Fernanda Mocellin; Cestonaro, Larissa, V; Piton, Yasmin, V; Guimaraes, Nicolas; Garcia, Solange C.; da Silva, Diana Dias; Arbo, Marcelo Dutra","Toxicity of pesticides widely applied on soybean cultivation: Synergistic effects of fipronil, glyphosate and imidacloprid in HepG2 cells",TOXICOLOGY IN VITRO,84,NA,NA,10.1016/j.tiv.2022.105446,2022,"The transgenic soy monoculture demands supplementation with pesticides. The aim of this study was to evaluate the individual and mixture effects of fipronil, glyphosate and imidacloprid in human HepG2 cells. Cytotoxicity was evaluated after 48-h incubations through MTT reduction and neutral red uptake assays. Free radicals production, mitochondrial membrane potential, DNA damage, and release of liver enzymes were also evaluated. Data obtained for individual agents were used to compute the additivity expectations for two mixtures of definite composition (one equipotent mixture, based in the EC50 values achieved in the MTT assay; the other one based in the acceptable daily intake of each pesticide), using the models of concentration addition and independent action. The EC50 values for fipronil, glyphosate and imidacloprid were 37.59, 41.13, and 663.66 mg/L, respectively. The mixtures of pesticides elicited significant synergistic effects (p < 0.05), which were greater than the expected by both addictive predictions. Decreased in mitochondrial membrane potential and increased in the transaminases enzymatic activities were observed. As they occur simultaneously, interactions between pesticides, even at non-effective single levels, can reverberate in significant deleterious effects, justifying the need for a more realistic approach in safety evaluations to better predict the effects to human health."
nagycited13,Guy,NO,"Caba, Ioana-Cezara; Streanga, Violeta; Dobrin, Mona-Elisabeta; Jitareanu, Cristina; Jitareanu, Alexandra; Profire, Bianca-Stefania; Apotrosoaei, Maria; Focsa, Alin-Viorel; Caba, Bogdan; Agoroaei, Luminita",Clinical Assessment of Acute Organophosphorus Pesticide Poisoning in Pediatric Patients Admitted to the Toxicology Emergency Department,TOXICS,10,NA,NA,10.3390/toxics10100582,2022,"Pesticide poisoning in pediatric patients is still an important reason for presenting to the emergency department in Romania. In this context, the present study aims to raise awareness of the toxicological impact of pesticides on human health in pediatrics. For this purpose, the demographic characteristics, clinical assessment, and outcome of pediatric patients with acute pesticide poisoning admitted to the toxicology department of Saint Mary Emergency Children's Hospital from Iasi, were analyzed. This retrospective study focused on the clinical and laboratory data of patients aged under 18 years diagnosed with acute pesticide poisoning between 2010-2020. The statistical analysis was performed using the Statistica 10 package. A total of 49 patients presented with manifestations of acute pesticide poisoning, and the most common pesticide involved was diazinon. The most frequent exposure route was accidentally ingesting pesticide products (95%). The primary clinical manifestations were toxic encephalopathy, coma, depressive disorder, gastric disorders, and respiratory failure. Changes in the glycemic status, liver, and kidney damage were also present. Treatment included decontamination, administration of antidote, supportive care, and recommendations to be closely monitored to avoid a new incident. These results highlight the toxic potential of pesticides on human health and their biological consequences, which require an increase in consciousness of the precautions imposed on their use, especially when children are nearby."
nagycited14,Guy,NO,"Jaffar, Saleem; Ahmad, Sajjad; Lu, Yongyue",Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides,FRONTIERS IN MICROBIOLOGY,13,NA,NA,10.3389/fmicb.2022.979383,2022,"Synthetic pesticides are extensively and injudiciously applied to control agriculture and household pests worldwide. Due to their high use, their toxic residues have enormously increased in the agroecosystem in the past several years. They have caused many severe threats to non-target organisms, including humans. Therefore, the complete removal of toxic compounds is gaining wide attention to protect the ecosystem and the diversity of living organisms. Several methods, such as physical, chemical and biological, are applied to degrade compounds, but as compared to other methods, biological methods are considered more efficient, fast, eco-friendly and less expensive. In particular, employing microbial species and their purified enzymes makes the degradation of toxic pollutants more accessible and converts them into non-toxic products by several metabolic pathways. The digestive tract of insects is usually known as a superior organ that provides a nutrient-rich environment to hundreds of microbial species that perform a pivotal role in various physiological and ecological functions. There is a direct relationship between pesticides and insect pests: pesticides reduce the growth of insect species and alter the phyla located in the gut microbiome. In comparison, the insect gut microbiota tries to degrade toxic compounds by changing their toxicity, increasing the production and regulation of a diverse range of enzymes. These enzymes breakdown into their derivatives, and microbial species utilize them as a sole source of carbon, sulfur and energy. The resistance of pesticides (carbamates, pyrethroids, organophosphates, organochlorines, and neonicotinoids) in insect species is developed by metabolic mechanisms, regulation of enzymes and the expression of various microbial detoxifying genes in insect guts. This review summarizes the toxic effects of agrochemicals on humans, animals, birds and beneficial arthropods. It explores the preferential role of insect gut microbial species in the degradation process and the resistance mechanism of several pesticides in insect species. Additionally, various metabolic pathways have been systematically discussed to better understand the degradation of xenobiotics by insect gut microbial species."
nagycited15,Guy,NO,"Nikbakhtzadeh, Mahmood R.; Fuentes, Yelissa",DETERRENT EFFECTS OF GLYPHOSATE ON OVIPOSITION AND LARVAL DEVELOPMENT OF CULEX QUINQUEFASCIATUS,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,38,198,207,,2022,"Glyphosate is one of the most common herbicides used to control weeds in the USA. This herbicide can impact the mosquito life cycle through being carried to mosquito habitats by runoff. This study investigates the effects of glyphosate on the larval development and oviposition of a laboratory colony of Culex quinquefasciatus. Our experiments indicated that a concentration of 1 g/liter glyphosate was lethal to larval instars or the larvae impacted were either unable to molt to pupae or never emerged as adults. Larval instars exposed to 0.5 g/liter glyphosate experienced a similar impact; however, the larval stage was extended and pupation was considerably delayed. Mosquitoes oviposited in 0.5 g/liter glyphosate laid the same number of egg rafts as in water, but a considerably lower number of eggs exposed to glyphosate hatched as first instars. If gravid females laid their eggs in 1 g/liter glyphosate versus water, the difference between the 2 groups would be statistically significant and a very low number of eggs exposed to glyphosate could ever hatch into larvae. In an oviposition assay carried out in a cage with 3 choices of water, 0.5 g/liter, and 1 g/liter glyphosate, a higher number of egg rafts were laid in water, followed by 0.5 g/liter and 1 g/liter glyphosate concentrations, respectively. Our study indicated such a severe effect of glyphosate on all immature stages of Cx. quinquefasciatus that no adult could ever emerge."
nagycited16,Guy,YES,"Jorge-Escudero, Gabriella; Polanco, Mariana Perez; Lagerlof, Jan Erland; Perez, Carlos Alberto; Miguez, Diana",Commercial Fungicide Toxic Effects on Terrestrial Non-Target Species Might Be Underestimated When Based Solely on Active Ingredient Toxicity and Standard Earthworm Tests,TOXICS,10,NA,NA,10.3390/toxics10090488,2022,"The ecosystem services provided by earthworms are lost when land management reduces their populations, hence, the importance of thorough assessments of management effects on this group. The present study aimed to: (1) review the possible influence of other ingredients within the formulations of two commercial fungicides; (2) assess the sublethal effects of these commercial fungicides on Eisenia fetida; and (3) assess the acute lethal effects of one commercial fungicide on both Glossoscolex none and E. fetida. Examining all components of the studied commercial formulations revealed that alongside the toxic active ingredients are other ingredients that are equally as or more toxic than the former and may even be in higher concentrations. The inhibition concentration of 10% of E. fetida's progeny (IC10) was estimated at 133 mg kg(-1) for PROSARO (R) and 1544 mg kg(-1) for SWING PLUS (R). Both fungicides showed an effect of hormesis on the progeny. In this first toxicity study with G. nione, it was found that this species is more sensitive to PROSARO (R) than E. fetida, with preliminary 14 day-lethal concentrations of 285 mg kg(-1) for the former and >1000 mg kg(-1) for the latter."
nagycited17,Guy,NO,"Carvalho, Rui P.; Vieira dos Santos, M. Clara; Almeida, M. Teresa M.; Costa, Sofia R.",Effects of commercial pesticides on the nematode biological control agent Pochonia chlamydosporia,BIOCONTROL SCIENCE AND TECHNOLOGY,32,1220,1231,10.1080/09583157.2022.2108759,2022,"Tomato Solanum lycopersicum plants are exposed to a wide range of pests and diseases in protected cultivation, including root-knot nematodes (RKN), Meloidogyne spp. As the application of chemical nematicides is progressively being restricted in the EU, biological control agents such as Pochonia chlamydosporia are being considered as sustainable alternatives. Nevertheless, success in the control of RKN depends on the compatibility of the fungus with pesticides used to manage other pests and diseases. We tested the in vitro acute and chronic effects of twelve different commercial pesticides used throughout a tomato cropping cycle on P. chlamydosporia. All pesticides significantly inhibited radial growth of the fungus at 22 days, with exception of methiocarb (Mesurol 200), spiromesifen (Oberon), copper-metalaxyl-M (Ridomil Gold R) and oxamyl (Vydate 10L). All fungicides produced significant acute and chronic negative effects on chlamydospore viability. Insecticides methiocarb, spinosad (Spintor) and indoxacarb (Steward) did not affect chlamydospore germination at the tested concentration of active substance (100 mg center dot L-1) of pesticide in the acute effects test, but all tested pesticides significantly reduced chlamydospore viability in the chronic 6-week-exposure test. Importantly, chlamydospore germination rates recorded were higher in the 12-week than in the 6-week-exposure chronic test, hinting at P. chlamydosporia acclimation or recovery. In view of differences in compatibility of commercial pesticides with P. chlamydosporia, acting on different fungal life stages in acute and chronic processes, these must be carefully selected and the timing of their application considered in the design of crop protection strategies against RKN to improve the biological control success."
nagycited18,Guy,NO,"Mosallanejad, Hadi; Broomand, Asghar","Effects of a multi-functional adjuvant on efficacy of methoxyfenozide (SC24%) and spinosad (SC24%) to control the European grapevine moth, Lobesia botrana",Bulletin OEPP,52,NA,NA,10.1111/epp.12860,2022,"The study was undertaken to evaluate the effects of a multi-functional adjuvant on the field efficacy of two insecticides, methoxyfenozide (SC24%) and spinosad (SC24%), against Lobesia botrana in Iran. The efficacy was evaluated from the experimental plots at 3, 7, 14 and 21 days after treatment. Our results indicated that the adjuvant was able to enhance the efficacy of both methoxyfenozide and spinosad against L. botrana at each interval. The increased efficacy was due to the lower values of surface tension and to the improved contact angle parameters of the spray solutions. By adding adjuvant in the spraying liquid, it was possible to have a control efficiency very similar to the treatment using the recommended rates, even when the application rate was reduced by 20%. Our results underline the importance of adjuvants in improving the field efficacy of insecticides against L. botrana."
nagycited19,Guy,NO,"Cox, Caroline; Zeiss, Michael","Health, Pesticide Adjuvants, and Inert Ingredients: California Case Study Illustrates Need for Data Access",ENVIRONMENTAL HEALTH PERSPECTIVES,130,NA,NA,10.1289/EHP10634,2022,"BACKGROUND: Many pesticide products are mixtures of multiple chemicals. These include active ingredients intended to kill pests, and so-called inert ingredients intended to improve the physical characteristics of the product. In addition, shortly before applying a pesticide product, applicators often mix adjuvants into the sprayer tank. Adjuvants are products designed to improve the performance or physical properties of a pesticide spray mixture. Manufacturers may use a particular chemical compound both as an inert ingredient within pesticide products and as a component of adjuvant products. Nonetheless, regulations dictate that data on use are publicly available only for the portion used in adjuvants. Adjuvants are exempt from federal registration, but are defined as pesticides in California. Based on that definition, California has identified a-(p-nonylphenyl)-x-hydroxypoly(oxyethylene) (APNOHO) as the most widely used pesticide in the state, applied to more than 10 million acres annually. That quantified use includes only agricultural acres treated with adjuvants containing APNOHO. Total APNOHO use is likely higher because manufacturers also use the chemical as an inert ingredient within pesticide products, although data on such use are shielded by regulation. OBJECTIVES: We use APNOHO as a case study to demonstrate that the use of adjuvants and inert ingredients is difficult to track because relevant information is not publicly available. We synthesize information that suggests widespread agricultural use of alkylphenol ethoxylates, such as APNOHO, may pose significant human and environmental health risks. We then make recommendations for future research and policy. METHODS: We used information from California???s pesticide use reporting system and the U.S. Environmental Protection Agency (EPA) to estimate use of APNOHO. We used U.S. EPA and European databases, as well as published research, to identify human and environmental health hazards of APNOHO. We focused on research showing that APNOHO is an endocrine-disrupting chemical. DISCUSSION: Within California, APNOHO is applied in more than 150 adjuvant products. Nationwide, it is used as an inert ingredient in at least 650 pesticide products. Exposure to APNOHO is associated with endocrine disruption, birth defects, and aquatic toxicity. We suggest that the case of APNOHO illustrates the larger problem of a lack of publicly available data on use and toxicity of many adjuvants and pesticide inert ingredients. We recommend that researchers and regulators include adjuvants and inert ingredients when evaluating pesticide hazards, including endocrine disruption. We also recommend regulatory requirements to identify all ingredients on product labels. https://doi.org/10.1289/EHP10634"
nagycited20,Guy,maybe,"Freeman, Laura E. Beane",Invited Perspective: Pesticide Adjuvants and Inert Ingredients - A Missing Piece of the Puzzle,ENVIRONMENTAL HEALTH PERSPECTIVES,130,NA,NA,10.1289/EHP11512,2022,
