STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10
11,Lisa,NO,Iddar A.; Mzibri M.E.; Assifaoui A.,Recent advances in pesticides formulations and their relationship to efficacy and toxicity,2023,"Pesticide Residues: Chemistry, Toxicology and Environmental Impact",NA,1,62,NA,"During the last century, crop yields have increased dramatically to cover the demographic growth of the world's population. Pesticides play an important role in agricultural production to reduce the gap between demand and supply of food, due to weeds, diseases and pest's damages in agricultural fields causing socio-economic losses. In 2018, the Food and Agriculture Organization (FAO) estimated that globally, about 4 million tons of pesticides were used in agriculture around the world. Generally, the pure chemical pesticide and active ingredients are not used alone for pest control because of their chemical instability, low miscibility with water or even the difficulty of their application in the raw state. For these reasons, it is of great interest to incorporate pesticides into a formulation, which may contain carrier substances, adjuvants, stabilizers and other chemicals to protect active substances and improve pesticides activities. These formulations exist in various states: liquids, fine powders, emulsions, baits, gels, granules and aerosols. For final application, these formulations can be diluted in a solvent according to the manufacturer's instructions. Depending on the method of application and climate conditions, some farmers apply pesticides in more than the recommended dosage to counteract their loss due to their degradation, photolysis, evaporation and surface runoff. Therefore, some pesticide residues can remain in soil, water and agricultural products and consequently can have a negative impact on the environment and human health. Since the appearance of pesticides, researchers and manufacturers have tried to improve their formulations to limit losses in the environment and to improve effectiveness, safety, application and storage. This chapter summarizes the evolution of formulations including the new generation of pesticide formulations, called ""eco-friendly formulations"". The relationship between formulations, efficacy and toxicity will be developed and discussed too. The chapter is organized into 9 sections. Section 1 (introduction) describes the history of pesticides. Section 2 discusses pesticides used in agriculture and their impact on environment and human health. Section 3 informs about the basic concept of pesticides formulation. Section 4 describes the conventional formulations used in farming practices and the relationship efficacy/toxicity of pesticides and formulations (section 5). Section 6 relates the recent trends in pesticides formulations followed by the efficacy of these new generations of formulations and their fate in the environment (section 7). Section 8 discusses the challenges with the use of the ""eco-friendly"" pesticide formulations used in agriculture and we finish with the section 9 to give the conclusion and outlook. © 2023 Nova Science Publishers, Inc. All rights reserved.",NA
12,Lisa,NO,Silva A.S.; Barbosa L.P.; Sendón R.,Releasing Active Food Packaging: Can Natural Extracts be a Safety Concern?,2022,"Conference Proceedings - 23rd IAPRI World Conference on Packaging, IAPRI Bangkok 2022",NA,84,90,NA,"Active food packaging has originated a revolution in the packaging world, allowing a positive interaction with food. Since this concept appeared, it has already suffered progresses and nowadays releasing active packaging tends to be more sustainable and associate with natural additives and biopolymers. In this paper, the advancements of releasing active packaging intended for food purposes will be addressed. Examples of releasing active systems developed using plants extracts (e.g. thyme, rosemary, tea) and industrial fruits’ by-products will be presented. Factors affecting the biological activity of natural extracts will be focused but also their potential contamination by plant toxins, mycotoxins, heavy metals or pesticides residues in order to draw conclusions about their safety and need of standardization. The release of active compounds from active food packaging to foods or food simulants and their effects in the oxidation status of packaged foods will be discussed. © Conference Proceedings - 23rd IAPRI World Conference on Packaging, IAPRI Bangkok 2022. All rights reserved.",NA
13,Lisa,NO,Santos A.L.D.S.; Rai M.; Santos F.P.D.S.; Nascimento A.S.; da Silva G.T.O.; Lima L.K.F.; Dias L.M.F.; de Oliveira Y.S.; Ayala A.P.; de Sousa S.A.A.; Feitosa C.M.,Chemical characterization and larvicidal properties of the essential oils of against Aedes aegypti (Diptera: Culicidae),2022,Revista Brasileira de Plantas Medicinais,24,22,28,NA,"The mosqui to of the genus Aedes i s the arthropod responsible for transmission of the dengue virus. Some procedures are proposed to prevent the proliferation of this vector, including the use of larvicides and insecticides. The present work has as the extraction of essential oils from the species Syzygium aromaticum and Ocimun grantissimun and the evaluation of their active components against Aedes aegypti larvae. The oils were subjected to GC-MS analysis to identify the majoritarys compounds. The EOs were subjected to turbidimetric tests to obtain the degree of solubility in 1% DMSO, acetone, alcohol and Tween 80. The analysis of EOs by GC–MS resulted in the identification of eugenol, 1-8-ci neol e and β-caryophyl l ene. Test s wi t h t he enzyme acetylcholinesterase were performed following the protocol of Ellman adapted by Rhee. The turbidity of the EOs in ethanol presented values from 30 to 102 NTU, implying the presence of a greater number of sol ubl e mol ecul es. Studi es of l arvi ci dal assays of S. aromaticum and O. gratissimun oils showed LC50 values of 39.5 and 54.6 mg/ml respectively. For anticholinesterase activity, O. gratissimun presented an IC50 of 6.2 mg/ml . The present work suggests the essential oils under study are promising in the formulation of larvicides and insecticides. © 2022 Revista Brasileira de Plantas Medicinais.",NA
14,Lisa,NO,"Goldsworthy, MC; Green, EL",The fungicidal activity of phenothiazine and some of its oxidation derivatives,1939,PHYTOPATHOLOGY,29,700,716,NA,"Phenothiazine, used at the rate of 2 lb. to 50 gal. of water, with or without adjuvants, is of value as an orchard spray against apple scab. Laboratory studies show that it is also toxic to conidia of Sclerotinia fructicola and apple bitter-rot organisms. Laboratory studies of the oxidation derivatives, phenothiazine-sulphoxide, phenothiazone, and thionol, indicate that the active principle of phenothiazine is phenothiazone, and that phenothiazone is toxic in dilutions as low as 2.5 p.p.m. by volume of water. Limited phytocidal studies show that the material may be safely applied to pear, apple, plum, cherry, grape, rose, lilac, and bean foliage. Peach foliage is slightly injured by the treatments.",NA
15,Lisa,YES,"ROWE, VK; HYMAS, TA","SUMMARY OF TOXICOLOGICAL INFORMATION ON 2,4-D AND 2,4,5-T TYPE HERBICIDES AND AN EVALUATION OF THE HAZARDS TO LIVESTOCK ASSOCIATED WITH THEIR USE",1954,AMERICAN JOURNAL OF VETERINARY RESEARCH,15,622,629,NA,"The acute oral ID50 values for 2,4-D; 2,4,5-T and their various derivatives commonly used as herbicides fall in the range of 300 to 1,000 mg/kg for mice, rats, guinea pigs, rabbits and cattle. Dogs are generally more susceptible and chicks are more tolerant of this type of material. The acute oral ID50 values for commercial formulations of 2,4-D and 2,4,5-T that were used in these experiments were proportional to their content of active ingredient. The ""inert ingredients"" do not appear to contribute materially to the oral toxicity of the formulations. MCP (2_methyl_4_chlorophenoxyacetic acid) and silvex (2-(2,4,5_trichlorophenoxy) propionic acid) and their herbicidal derivatives appear to be slightly less toxic than the corresponding 2,4-D and 2,4,5-T materials. The hazard to livestock and wildlife associated with the use as recommended of herbicides containing 2,4-D, 2,4,5-T, MCP, and silvex is negligible. Toxic amounts of these materials can be obtained if animals have access to spray tanks or other containers.",NA
16,Lisa,NO,"BOCK, KR",CONTROL OF COFFEE BERRY DISEASE IN KENYA,1963,EMPIRE JOURNAL OF EXPERIMENTAL AGRICULTURE,31,97,+,NA,"Coffee Berry Disease causes serious crop losses in Kenya. The pathogen may be active throughout the crop cycle, that is, for a period of 8 to 9 months, from flowering to ripening. East of the Rift Valley there tends to be a steady loss over this period, whereas in the west Rift and in some Mount Kenya districts the main epidemics occur during June-October. The degree of infection of berries is directly related to their position on the branch, the permanent reservoir of inoculum being the external tissues of the twigs. The effect of copper treatment at critical periods is to reduce the potential inoculum production of the branch tissues to a point below the numerical threshold necessary for infection. In districts east of the Rift there is only one critical period for control (February-April) but in the West Rift a second period of spraying (June-October) is advisable. The critical spraying periods are related primarily to periods of maximum growth, the wave of infection which moves to the freshly maturing stem tissues being retarded. Comparative fungicide trials using twenty-five formulations of different active principles have shown that copper is the most effective.",NA
17,Lisa,YES,"PALMER, JS",TOXICITY OF METHYLURACIL + SUBSTITUTED UREA + PHENOL COMPOUNDS TO SHEEP,1964,JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,145,787,+,NA,"As many as 11 daily oral doses of 6 different chemical formulations, representing 3 general categories (methyluracil and substituted urea and phenol) were given to sheep. Calculation of each dose was based on a milligram per kilogram of body weight of the active ingredient contained in commercial products. Five herbicides were given at the rate of 250 mg/kg. Following this, all compounds were given at lower dose rates to determine the relative toxicity of each formulation. Of the herbicides studied, 2 compounds, a liquid formulation of alkanolamine salts of dinitro-o-sec-butyl phenol and a wettable powder product with linuron (3[3,4-dichlorophenyl]-l-methoxy-1-methylurea) as the active ingredient, produced the most severe toxicosis to sheep. Use of these compounds in areas where sheep might be grazing should be avoided, especially where application to pastures equals or exceeds 1 qt. or 2 lb. of the active ingredient per acre, an approximate concentration of 25 mg/sq ft. In contrast, diuron (3[3,4-dichlorophenyl]-l, 1-dimethylurea) at 25 mg/kg appeared to have little toxic effect when compared with other substituted urea compounds as measured by weight changes in the sheep during the trial period.",NA
18,Lisa,NO,"VISSER, SA",MOLLUSCICIDAL PROPERTIES AND SELECTIVE TOXICITY OF SURFACE-ACTIVE AGENTS,1965,BULLETIN OF THE WORLD HEALTH ORGANIZATION,32,713,+,NA,"Of over 100 commercially produced surface-active agents tested against the bilharziasis vector snail Biomphalaria sudanica, 13 were found to possess considerable and highly selective molluscicidal properties at concentrations of less than 1 ppm for exposures of 48 hrs. Against Crustacea, fish, water plants, mosquito larvae, mice, and the eggs of B. sudanica, the toxicities of the 13 surfactants were slight. The chemicals did not appear to be absorbed by organic matter to any appreciable extent. It is thought that the toxicity to B. sudanica is of both a chemical and a physical nature.",NA
19,Lisa,YES,"HELTON, AW; ROHRBACH, KG",TRANSLOCATION OF 12 FUNGICIDAL COMPOUNDS INJECTED INTO TREES OF PRUNUS DOMESTICA,1966,PHYTOPATHOLOGY,56,933,+,NA,"A cycloheximide derivative, five 8-quinolinol compounds, one pyridinethione, one organic mercury, one organophosphate, a phenyl sydnone, four Phytoactin formulations, and an alcohol were branch injected at various concentrations into Italian prune trees. Translocation characteristics were determined by quantity absorbed, distribution of high-concentration injury symptoms, and bioassay of stem tissues from selected locations in treated trees. The results indicated that all compounds were translocated to some extent, and the performance of 8-quinolinol benzoate was outstanding. This compound was distributed throughout the tested parts of trees treated with 5000 ppm, and bioassays were successful for as long as 407 days after treatment. Structural differences among the 8-quinolinols accounted for slight differences in translocation and for prominent differences in bioassay results. The presence of methyl alcohol with 8-quinolinol benzoate accounted for similar differences for that compound. The severity of symptoms caused by the Phytoactin preparations varied inversely with the percentage of active ingredient contained in the undiluted product. This indicates that the observed phytotoxicity was not caused by the antibiotic. Bioassays of root, fruit, and leaf tissues were made from trees treated with cycloheximide thiosemicarbazone. Positive results were obtained only with leaf extracts.",NA
20,Lisa,NO,"KRISHNAIAH, K; TANDON, PL; MATHUR, AC; MOHAN, NJ",EVALUATION OF INSECTICIDES FOR CONTROL OF MAJOR INSECT PESTS OF OKRA,1976,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,46,178,186,NA,"Field trials were laid out in the summer and rainy seasons of 1972-1974 to evaluate 26 insecticides for the control of major insect pests of okra (Abelmoschus esculentus Moench.). Carbofuran seed treatment at 5% protected the crop from attacks of the leaf-hopper (Amrasca biguttula biguttula Ishida) and shoot-borer (Earias vittella Fab.) until the initiation of fruit set. The efficacy of seed treatment was not affected even when the treated seed was stored for 2 mo. The protection offered by soil application of granular formulation (at sowing) from jassids was fensulfothion and phorate (1.5 kg ai[active ingredient]/ha) for 7 wk; disulfoton (0.5 kg ai/ha) for 6 wk; carbofuran (1 kg ai/ha) and mephosfolan (1.5 kg ai/ha) for 5 wk. Monocrotophos, dimethoate (0.3 kg ai/ha) and endosulfan (0.7 kg ai/ha) suppressed jassid populations effectively for 3 wk. Other promising insecticides for jassid control were carbaryl (2 kg ai/ha), acephate, vamidothion, chlorfenvinphos, leptophos, demeton-methyl, dicrotophos and phosphamidon. Aphids (Aphis gossypii Gl.) were kept in check by monocrotophos, dimethoate, methomyl, acephate, chlorpyriphos, vamidothion, naled and fenthion. Weekly sprays were necessary for the control of fruit-borer damage. Monocrotophos, methomyl (0.5 kg/ha), endosulfan (0.7 kg/ha) and carbaryl (0.75 kg/ha) gave effective control of borers infesting the fruits. Chlorpyriphos, chlorfenvinphos, tetrachlorvinphos, phoxim, Dipel and pyrethrins were promising in reducing fruit-borer damage.",NA
21,Lisa,NO,"EBENEBE, C; FEHRMANN, H",EFFECT OF BENLATE AND OTHER SYSTEMIC FUNGICIDES ON MYCELIAL GROWTH AND SCLEROTIA PRODUCTION OF TYPHULA-INCARNATA LASCH EX FR,1976,PHYTOPATHOLOGISCHE ZEITSCHRIFT-JOURNAL OF PHYTOPATHOLOGY,85,163,169,NA,"On PDA [potato dextrose agar], benlate (Du Pont Benomyl) at 50 ppm a.i. [active ingredient] virtually prevented any sclerotia production of T. incarnata, the snow mold pathogen of winter barley. A combination of methylthiophanate and the inert ingredients of benlate displayed the same effect. Neither methylthiophanate nor the inert ingredients of benlate alone were able to suppress sclerotia production completely. Apparently, a pure MCB methyl benzimidazol-2-yl-carbamate fungicide and one of the inert ingredients of benlate exert a synergistic influence on sclerotia production and mycelial growth of the fungus.",NA
22,Lisa,NO,"HAMLEN, RA",EFFICACY OF NEMATICIDES FOR CONTROL OF MELOIDOGYNE-JAVANICA IN GROUNDBED AND CONTAINER PRODUCTION OF MARANTA,1976,PLANT DISEASE REPORTER,60,872,875,NA,"Soil drench applications of carbofuran 4F and oxamyl 2L at 22.4 kg a.i.[active ingredient]/ha to ground beds of native Florida [USA] sand plus peat planted to M. leuconeura kerchoveana, and infested with M. javanica, suppressed nematode levels and galling of squash seeded in treated soil 1 mo. after treatment. Applications to similar plants grown in pots on raised benches showed that drenches of carbofuran at 0.06 kg a.i./100 l, ethoprop 6EC at 0.04 kg a.i./100 l or oxamyl at 0.03 kg a.i./100 l were more effective than granular formulations at 22.4 kg a.i./ha 1 mo. after treatment. Roots of okra growing in soil treated with ethoprop, oxamyl or aldicarb 10G at 11.2 kg a.i./ha exhibited practically no galling. Significant galling occurred in soils treated with carbofuran or in soil obtained from Maranta which had received 4 foliar sprays of oxamyl at 0.12 kg a.i./100 l applied at 3 wk intervals. At 4 mo. after treatment, okra roots were free of visible galls only for the ethoprop drench and yielded low populations of M. javanica larvae. Carbofuran drenches produced necrotic flecking and marginal necrosis of Maranta foliage.",NA
