STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10,STUDY_ID.1
120,Lisa,YES,Barreto E.; Villanova J.; Parra C.; Flores M.; Salgado Costa C.; Lascano C.; Natale G.; Venturino A.,"Biomarkers at the Individual and Biochemical Level: Effects of Pure and Formulated Lambda-Cyhalothrin in Boana pulchella Tadpoles (Duméril and Bibron, 1841)",2024,Environmental Toxicology and Chemistry,43,2134,2144,10.1002/etc.5961,"We compared the effects of lambda-cyhalothrin as the pure active ingredient and as a formulated product (Zero®), on the larval stage of the autochthonous species Boana pulchella. We evaluated ecotoxicological endpoints, behavioral and developmental alterations, and the biochemical detoxifying, neurotoxic, and oxidative stress responses, covering a wide concentration range from environmental to high application levels. Both pyrethroid preparations displayed similar ecotoxicity (median lethal concentration of ~0.5 mg/L), with the lethal effect of Zero® being more pronounced than that of the active ingredient. Sublethal behavioral alterations in natatory activity were observed at 1000 times lower concentrations, indicating the ecological hazard of tadpole exposure to this pyrethroid at environmentally relevant concentrations. Biochemical endpoints in B. pulchella larvae showed significant responses to lambda-cyhalothrin in the ng/L range; these responses were different for the pure or the formulated product, and they were variable at higher concentrations. Principal components analysis confirmed the prevalence of biochemical responses as early endpoints at the lowest lambda-cyhalothrin concentrations; the Integrated Biomarker Response Index proportionally increased with pyrethroid concentration in a similar way for the pure and the formulated products. We conclude that lambda-cyhalothrin is of concern from an environmental perspective, with particular emphasis on autochthonous anuran development. The battery of biochemical biomarkers included in our study showed a consistent integrated biomarker response, indicating that this is a potent tool for monitoring impacts on amphibians. Environ Toxicol Chem 2024;43:2134–2144. © 2024 SETAC. © 2024 SETAC.",NA,120
121,Lisa,NO,Kannan N.; Martin D.; Srinivasan R.; Zhang W.,Adjuvants for Drone-Based Aerial Chemical Applications to Mitigate Off-Target Drift,2024,Drones,8,NA,NA,10.3390/drones8110667,"Off-target drift from aerial pesticide applications in croplands can be a major source of pesticide exposure to pollinators. Pesticide adjuvants (PAs) are added to pesticides but can be as toxic as pesticides’ active ingredients. Ongoing experiments have identified sodium alginate (SA) as a drift-reducing PA less toxic to honeybees. Hence, SA and fenugreek polymer (FP) have been tested as drift-reducing PAs for aerial applications using the Remotely Piloted Aerial Application System (RPAAS). Two spray experiments were carried out in the field: (i) water only (W) and (ii) water and adjuvant (WA). Droplet spectrum and on-target coverage were collected using a VisiSize P15 image analyzer and kromekote cards, respectively. The drift reduction potentials (DRPs) of the adjuvants were analyzed based on droplet size (diameters of 10%, 50%, and 90% volume) and the proportion of driftable volume with droplets < 200 µm. Compared to the W only, the W-A treatment produced larger droplets, suggesting the presence of DRP. There were 14.5%, 8.3% to 14.4%, and 2.3% to 7.7% driftable fines in the W, WA (SA), and WA (FP) treatments, respectively. The FP treatment improved the on-target coverage (3.0% to 3.1%) compared to water (2.7%). Our results indicate that SA and FP have the potential to mitigate off-target drift and protect pollinator health. © 2024 by the authors.",NA,121
122,Lisa,NO,Rys M.; Miastkowska M.; Łętocha A.; Wajs-Bonikowska A.; Lorenzo P.; Synowiec A.,The effect of caraway oil-loaded bio-nanoemulsions on the growth and performance of barnyard grass and maize,2024,Scientific Reports,14,NA,NA,10.1038/s41598-024-54721-6,"A proper formulation is crucial to improve the herbicidal effects of essential oils and their selectivity. In this study, we investigated the physicochemical properties of bio-based nanoemulsions (CNs) containing several concentrations of caraway (Carum carvi) essential oil stabilized with Eco Tween 80, as a surfactant, maintaining 1:1 proportions. Detailed physicochemical characteristics of the CNs revealed that their properties were most desired at 2% of the oil and surfactant, i.e., the smallest droplet size, polydispersity index, and viscosity. The CNs caused biochemical changes in maize and barnyard grass (Echinochloa crus-galli) seedlings, however, to a different extent. Barnyard grass has overall metabolism (measured as a thermal power) decreased by 39–82% when exposed to the CNs. The CNs triggered changes in the content and composition of carbohydrates in the endosperm of both species' seedlings in a dose–response manner. The foliar application of CNs caused significant damage to tissues of young maize and barnyard grass plants. The effective dose of the CN (ED50, causing a 50% damage) was 5% and 17.5% oil in CN for barnyard grass and maize tissues, respectively. Spraying CNs also decreased relative water content in leaves and affected the efficiency of photosynthesis by disturbing the electron transport chain. We found that barnyard grass was significantly more susceptible to the foliar application of CNs than maize, which could be used to selectively control this species in maize crops. However, further studies are needed to verify this hypothesis under field conditions. © The Author(s) 2024.",NA,122
123,Lisa,NO,Ivanova N.; Ermenlieva N.; Andonova V.,Alpha-Bisabolol-Loaded Cosmetic Micellar Solution with Cleansing and Antimicrobial Action for Facial Skin Hygiene,2024,Cosmetics,11,NA,NA,10.3390/cosmetics11050173,"The current research is focused on the discovery and optimization of an effective cosmetic carrier of alpha-bisabolol as a first step in the development of a cosmetic product with cleansing and antimicrobial action for facial skin hygiene. A micellar solution of Poloxamer 407 was selected as a cosmetic base because of the good washing ability, easy application, and high tolerability of this polymeric surfactant. The solubilization capacity of a 5% micellar solution with respect to α-bisabolol was investigated by applying varying solubilization techniques and increasing concentrations of the oily active substance. The test samples were subjected to an accelerated physical stability test, viscosimetry, dynamic light scattering (DLS), electrophoretic light scattering (ELS), foamability test, and antimicrobial screening. Over the course of this research, the advantage of the film-hydration method over direct solubilization was demonstrated by the narrower size distribution and smaller hydrodynamic size of the micellar nano-carriers (ranging from 29.02 to 116.5 nm) and the respective higher physical stability of the dispersions. The optimized composition was found to be suitable for application on large skin areas in terms of viscosity in the temperature range from 20 °C to 40 °C (3.4–2.3 mPa.s). Preservation of the washing capacity of the micellar solution in the presence of solubilized α-bisabolol was established. The active composition demonstrated inhibitory activity against Staphylococcus aureus and Escherichia coli and fungicidal activity against Candida albicans. This study concludes that the optimal concentration of α-bisabolol to be solubilized in a 5% Poloxamer 407 micellar solution by the film-hydration technique is 1%, considering the desirable physical endurance and antimicrobial activity. © 2024 by the authors.",NA,123
124,Lisa,NO,Ramos E.G.; Queiroz A.G.D.; Veleirinho M.B.D.R.; Felipini R.B.; Di Piero R.M.,Nanoformulations containing rosemary oil for gray mold control in strawberries,2024,Scientia Horticulturae,338,NA,NA,10.1016/j.scienta.2024.113678,"Gray mold, caused by Botrytis cinerea, affects strawberry crops (Fragaria x ananassa) and can cause major losses. Managing the disease with fungicides can harm health and the environment and can lead to the selection of pathogens resistant to their active ingredients. The use of essential oils (EOs) represents an alternative control method due to their richness in antimicrobial compounds, such as rosemary EO (Rosmarinus officinalis). However, the high volatility of several components of these oils makes commercial use difficult, and nanoencapsulation presents a technology to increase stability. In the present study, three formulations containing rosemary EO—nanoemulsion (NE), nanostructured lipid carrier (NLC), and nanocapsules with chitosan (NC)—were evaluated on strawberry fruits and against the fungus. The nanoformulations retained their characteristics (mean values: size 142 nm; polydispersity index 0.131; pH 4.99; zeta potential -20.2 mV for NE and NLC, and 19.1 mV for NC) when stored at 40 °C for 60 days. All nanoformulations had a direct effect on spore germination and mycelial growth of B. cinerea, possibly due to damage caused to the cell wall and plasma membrane, and changes in the pathogen's oxidative balance. NE containing 2 % EO, when applied by immersion, reduced the incidence and severity of the disease by around 40 % and 70 %, respectively, 6 days after treatment. The fruits treated with this formulation maintained their physicochemical characteristics for longer. Thus, the use of rosemary oil from NE can be an option for managing gray mold and increasing the shelf life of the fruits. © 2024 Elsevier B.V.",NA,124
125,Lisa,NO,Thiaré D.D.; Sarr D.; Delattre F.; Giamarchi P.; Coly A.,Direct and reverse micellar-enhanced photo-induced fluorescence determination of fenvalerate in senegalese surface and groundwater,2024,Journal of Photochemistry and Photobiology A: Chemistry,456,NA,NA,10.1016/j.jphotochem.2024.115841,"Direct micellar-enhanced photo-induced fluorescence (DME-PIF) and reverse micellar-enhanced photo-induced fluorescence (RME-PIF) methods were developed to determine fenvalerate in aqueous medium. The analytical parameters that affect the sensitivity of the DME and RME-PIF methods were optimized. Fenvalerate exhibited a primary excitation and emission band in the 278–317 nm and 325–365 nm regions, respectively. The optimum pH conditions for each medium are as follows: water and Brij-700 (pH = 12), CTAOH (pH = 10), CTAC (pH = 8), SDS (pH = 7). However, the optimal irradiation time varies between 2 and 14 min depending on the solvent. The micellar association constant (Km) of surfactants was determined at different temperatures (298 to 348 K). The Km values increase with temperature, indicating more favorable micellization at higher temperatures. In all cases, a negative value of ΔG° was obtained, indicating that the association reactions of fenvalerate with the surfactants used are spontaneous. Additionally, the RME-PIF method was used to establish the calibration curves of fenvalerate in all micellar media including CTAOH-CH3CN. The linearity of the calibration curves was evaluated by variance analysis (p-value ≤ 5 %), which indicates a significant regression. The RME-PIF method showed significantly enhanced sensitivity with LOD values ranging from 0.006 to 48 ng mL−1. The mixture CTAOH-CH3CN produced the lowest LOD value (0.006 ng mL−1). The SPE procedure yielded satisfactory recovery rates varying between 84.2 and 104.3 % in natural waters. The improved RME-PIF method is better suited for analyzing insecticide residues in environmental matrices due to its analytical interest. © 2024 Elsevier B.V.",NA,125
126,Lisa,NO,Essfeld F.; Luckner B.; Bruder A.; Marghany F.; Ayobahan S.U.; Alvincz J.; Eilebrecht S.,Gene biomarkers for the assessment of thyroid-disrupting activity in zebrafish embryos,2024,Chemosphere,365,NA,NA,10.1016/j.chemosphere.2024.143287,"Active ingredients of pesticides or biocides and industrial chemicals can negatively affect environmental organisms, potentially endangering populations and ecosystems. European legislation mandates that chemical manufacturers provide data for the environmental risk assessment of substances to obtain registration. Endocrine disruptors, substances that interfere with the hormone system, are not granted marketing authorization due to their adverse effects. Current methods for identifying disruptors targeting the thyroid hormone system are costly and require many amphibians. Consequently, alternative methods compliant with the 3R principle (replacement, reduction, refinement) are essential to prioritize risk assessment using reliable biomarkers at non-protected life stages. Our study focused on detecting robust biomarkers for thyroid-disrupting mechanisms of action (MoA) by analyzing molecular signatures in zebrafish embryos induced by deiodinase inhibitor iopanoic acid and thyroid peroxidase inhibitor methimazole. We exposed freshly fertilized zebrafish eggs to these compounds, measuring lethality, hatching rate, swim bladder size and transcriptomic responses. Both compounds significantly reduced swim bladder size, aligning with prior findings. Transcriptome analysis revealed specific molecular fingerprints consistent with the MoA under investigation. This analysis confirmed regulation directions seen in other studies involving thyroid disruptors and allowed us to identify genes like tg, scl2a11b, guca1d, cthrc1a, si:ch211-226h7.5, soul5, nnt2, cox6a2 and mep1a as biomarker genes for thyroid disrupting MoA in zebrafish embryos as per OECD test guideline 236. Future screening methods based on our findings will enable precise identification of thyroid-related activity in chemicals, promoting the development of environmentally safer substances. Additionally, these biomarkers could potentially be incorporated into legally mandated chronic toxicity tests in fish, potentially replacing amphibian tests for thyroid disruption screening in the future. © 2024 The Authors",NA,126
127,Lisa,NO,Takano K.; Carver S.; Vermaak Y.; Fischer K.; Harvey R.J.; Mounsey K.E.,Assessment of the in vitro acaricidal activity of Bravecto® (fluralaner) and a proposed orange oil-based formulation vehicle for the treatment of Sarcoptes scabiei,2024,Parasites and Vectors,17,NA,NA,10.1186/s13071-024-06275-9,"Background: Sarcoptic mange is a serious animal welfare concern in bare-nosed wombats (Vombatus ursinus). Fluralaner (Bravecto®) is a novel acaricide that has recently been utilised for treating mange in wombats. The topical ‘spot-on’ formulation of fluralaner can limit treatment delivery options in situ, but dilution to a volume for ‘pour-on’ delivery is one practicable solution. This study investigated the in vitro acaricidal activity of Bravecto, a proposed essential oil-based diluent (Orange Power®), and two of its active constituents, limonene and citral, against Sarcoptes scabiei. Methods: Sarcoptes scabiei were sourced from experimentally infested pigs. In vitro assays were performed to determine the lethal concentration (LC50) and survival time of the mites when exposed to varying concentrations of the test solutions. Results: All compounds were highly effective at killing mites in vitro. The LC50 values of Bravecto, Orange Power, limonene and citral at 1 h were 14.61 mg/ml, 4.50%, 26.53% and 0.76%, respectively. The median survival times of mites exposed to undiluted Bravecto, Orange Power and their combination were 15, 5 and 10 min, respectively. A pilot survival assay of mites collected from a mange-affected wombat showed survival times of < 10 min when exposed to Bravecto and Orange Power and 20 min when exposed to moxidectin. Conclusions: These results confirm the acaricidal properties of Bravecto, demonstrate acaricidal properties of Orange Power and support the potential suitability of Orange Power and its active constituents as a diluent for Bravecto. As well as killing mites via direct exposure, Orange Power could potentially enhance the topical delivery of Bravecto to wombats by increasing drug penetration in hyperkeratotic crusts. Further research evaluating the physiochemical properties and modes of action of Orange Power and its constituents as a formulation vehicle would be of value. Graphical Abstract: (Figure presented.) © The Author(s) 2024.",NA,127
128,Lisa,NO,Ćirković J.; Radojković A.M.; Jovanović J.; Perać S.; Branković Z.M.; Milenković I.; Milanović S.D.; Dobrosavljević J.N.; Tadić V.M.; Žugić A.R.; Branković G.,Encapsulated Thuja plicata essential oil into biopolymer matrix as a potential pesticide against Phytophthora root pathogens,2024,International Journal of Biological Macromolecules,278,NA,NA,10.1016/j.ijbiomac.2024.134684,"A new formulation that gradually released encapsulated Thuja plicata essential oil (TPEO) as an active component from a biopolymer matrix within a given period was obtained. Antimicrobial activity was determined in in-vitro tests where pure TPEO successfully inhibited the development of different Phytophthora species. The TPEO essential oil was encapsulated into the biopolymer matrix and an oil-in-water emulsion was formed. FTIR spectra analysis confirmed the formation of electrostatic interaction between these polymers, and hydrogen interactions between active components of TPEO and polymer chains. The stability of the emulsions was confirmed by zeta potential measurements, with a value of about 30 mV, even after 14 days of aging. UV‐Vis spectra analysis revealed that >60 % of TPEO remained in the emulsion after 14 days of exposure to ambient conditions, whereas pure TPEO evaporated faster, and around 20 % remained after 6 days. Encapsulated TPEO almost completely inhibited the growth of Phytophthora species during the ten-day day's exposition being statistically significantly improved compared to fungicide treatment. It was demonstrated that the emulsion exhibited a prolonged antimicrobial effect and successfully suppressed the growth of Phytophthora species, and can be considered as a means of protection in forests and crops. © 2024",NA,128
129,Lisa,maybe,Polli E.G.; Gannon T.W.; Lecompte M.; Rogers R.R.; Beran D.D.,"Response of soybean, cotton, and tobacco to volatility of 2,4-D and dicamba formulations in humidome",2024,Weed Technology,38,NA,NA,10.1017/wet.2023.86,"Dicamba and 2,4-D are postemergence herbicides widely used to control broadleaf weed species in crop and non-crop areas in the United States. Currently, multiple formulations of 2,4-D and dicamba are available on the market. Even though the active ingredient is the same, the chemical formulation may vary, which can influence the volatility potential of these herbicides. Therefore, the objective of this study was to evaluate the response of soybean, cotton, and tobacco plants exposed to vapors of 2,4-D and dicamba formulations alone or mixed in humidomes for 24 h. Humidome studies were conducted in an open pavilion at the Lake Wheeler Turfgrass Field Lab of the North Carolina State University in Raleigh, NC. Dicamba and mixture treatments injured and caused a reduction in the height of soybean. Injury varied from 55% to 70%, and average plant height was 8.8 cm shorter compared with untreated control plants. Treatments with 2,4-D caused the least injury to soybean (≤21%), and differences among formulations were identified (dimethylamine > choline > dimethylamine-monomethylamine). However, soybean height was not affected by 2,4-D treatments. No differences between treatments were observed when herbicides were applied to cotton. The greatest injury to tobacco (23.3%) was caused by dicamba dimethylamine. Overall, the effect of 2,4-D and dicamba vapor was species-specific and formulation-dependent. Additionally, environmental conditions in the humidomes may have played a major role on the outcome of this study.  © The Author(s), 2023. Published by Cambridge University Press on behalf of Weed Science Society of America.",NA,129
130,Lisa,YES,Majumder R.,Acute toxicity of chlorpyrifos to some non-target freshwater organisms: which one is more toxic—technical grade or commercial formulation?,2024,Ecotoxicology,33,1171,1179,10.1007/s10646-024-02806-3,"Chlorpyrifos is among the most widely sold organophosphates in the agriculture sector worldwide. Static bioassays were performed in the laboratory to compare the acute toxicity between the technical grade (94% a.i.) and commercial formulation (20% EC) of chlorpyrifos to four freshwater organisms: the crustacean zooplankton Cyclops viridis, the oligochaete worm Branchiura sowerbyi, the gastropod Pila globosa, and tadpole larvae of Duttaphrynus melanostictus. The recovery of actual chlorpyrifos concentrations in water after 2 h of exposure to the nominal concentrations ranged from 82.98% to 88.56%. The commercial formulation (F) of chlorpyrifos was found to be 1.94 to 2.76 times more toxic than the technical grade (T). Based on 96 h LC50 values of T and F chlorpyrifos, C. viridis was found to be most sensitive (0.56 and 0.25 μg/L) and P. globosa as most tolerant (1482 and 536 μg/L) to chlorpyrifos. Changes in LC50 values of both T and F chlorpyrifos were noted in respect of exposure hours for the three aquatic invertebrates and the tadpole larvae of the toad. In conclusion, the acute toxicity of chlorpyrifos to some non-target freshwater organisms differs between technical grade and commercial formulations. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",NA,130
131,Lisa,NO,Liu J.; Wang P.; Hao X.; Zhang X.,Fabrication of pesticide/LDH-LAP composite assisted by zwitterionic surfactant,2024,Colloids and Surfaces A: Physicochemical and Engineering Aspects,698,NA,NA,10.1016/j.colsurfa.2024.134585,"Using zinc-aluminum layered double hydroxides-laponite (LDH-LAP) complex as matrix, with the assistance of zwitterionic surfactants of hexadecyl dimethyl sulfobetaine (SB) and dodecyl dimethyl carboxyl betaine (DCB), the pesticides beta-cypermethrin (BCT) and imidacloprid (IMP) were inserted into the LDH-LAP to obtain BCT/SB-LDH-LAP, BCT/DCB-LDH-LAP, BCT/SB-DCB-LDH-LAP and IMP/DCB-LDH-LAP composites, respectively. Powder X-ray diffraction (XRD), fourier transform infrared spectroscopy (FT-IR), thermogravimetric/differential thermal analysis (TGA/DTA) and scanning electron microscope (SEM) were used to characterize the structural properties of composites. BCT/SB-LDH-LAP, BCT/DCB-LDH-LAP, BCT/SB-DCB-LDH-LAP and IMP/DCB-LDH-LAP had larger interlayer distances of 4.29, 4.33, 4.33 and 4.61 nm, which were bigger than those of SB-LDH-LAP (3.87 nm), DCB-LDH-LAP (3.83 nm) and LDH-LAP (1.65 nm). The FT-IR and TGA/DTA results further confirmed the existence of SB, DCB, BCT and IMP into LDH-LAP. The pesticide releases were investigated and analyzed in pH 5.0 and 6.8 buffer solutions. The release behaviors can be fitted by pseudo second-order and parabolic diffusion models. The composites based on LDH-LAP could be suggested to potential application for controlled-release of the pesticide. © 2024",NA,131
132,Lisa,NO,Kavallieratos N.G.; Boukouvala M.C.; Eleftheriadou N.; Xefteri D.N.; Gidari D.L.S.; Kyrpislidi V.P.C.,The sublethal impacts of five insecticidal formulations on Oryzaephilus surinamensis behavioral traits,2024,Pest Management Science,80,5334,5341,10.1002/ps.8262,"BACKGROUND: Mortality caused by various pyrethroids, and neonicotinoids has been studied for stored-product insects in the past, yet limited information exists on the sublethal effects they can induce to Oryzaephilus surinamensis. In the current study, the sublethal effects of deltamethrin, λ-cyhalothrin, α-cypermethrin, etofenprox, and the mixture of acetamiprid with d-tetramethrin and piperonyl butoxide on the mobility of O. surinamensis in the presence or the absence of a food source was investigated. RESULTS: Lethal concentrations (LCs) were lower for deltamethrin, α-cypermethrin, and λ-cyhalothrin (LC10 = 0.000233, 0.000211, and 0.000271 mg active ingredient (a.i.) cm−2, LC30 = 0.000413, 0.000398, and 0.000447 mg a.i. cm−2, respectively), followed by etofenprox, and the mixture of acetamiprid with d-tetramethrin and piperonyl butoxide (LC10 = 0.00228 and 0.003267 mg a.i. cm−2, LC30 = 0.00437 and 0.01188 mg a.i. cm−2, respectively). Deltamethrin and λ-cyhalothrin negatively impacted adult walking behavior, increasing stop durations compared to controls. Adults exposed to LC10 and LC30 of λ-cyhalothrin, and LC30 of deltamethrin exhibited prolonged periods on their backs compared to the remaining treatments and the controls. The α-cypermethrin LC30-exposed adults exhibited significantly shorter walking and stopping durations than controls but demonstrated prolonged climbing on the arena walls compared to adults exposed to the remaining a.i. and the control. A similar trend was observed for etofenprox. CONCLUSIONS: Under sublethal concentrations, λ-cyhalothrin and deltamethrin increased stop intervals and reduced the duration of climbing attempts of O. surinamensis versus α-cypermethrin. These findings advance comprehension of the underexplored sublethal impacts of the tested a.i. on O. surinamensis adults, holding potential for leveraging insecticide-induced behavioral effects to enhance warehouse pest management. © 2024 The Author(s). Pest Management Science published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry. © 2024 The Author(s). Pest Management Science published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry.",NA,132
133,Lisa,NO,Kotwiski F.O.; São Paulo Í.; Carneiro P.I.S.; Barbosa R.D.M.; Viseras C.; Rangel A.L.; Villarreal C.F.; Cabral-Albuquerque E.C.D.M.; Lucchese A.M.,Development of a nanoemulsion containing Lippia origanoides essential oil with antifungal activity by low energy method: From extraction to formulation,2024,Journal of Drug Delivery Science and Technology,102,NA,NA,10.1016/j.jddst.2024.106392,"The essential oil of Lippia origanoides is of great pharmacological interest because of a wide variety of attributes, in particular its antifungal action. Due to its low solubility in aqueous media, high volatility, and a high propensity for physicochemical degradation, the search for nanostructured systems to promote the stability of this phytocomplex is necessary. Nanoemulsion is an alternative method to stabilize and preserve this type of active ingredient, especially when generated by a low energy method and using Syagrus coronata (licuri) oil as an active carrier and stabilizer of this nanostructure. The objective of the present investigation was to formulate a stable nanoemulsion with Lippia origanoides essential oil carried through licuri oil with antifungal action by the low energy method. For this, we began with the extraction of the essential oil and the phytochemical characterization obtaining the chemotype B of this Lippia (carvacrol: 49.12%). Then, using the pseudoternary phase diagram, the optimal ratio of the oil phase 6:4 (essential oil: Syagrus coronata oil) was established, adding 15% of surfactant (polysorbate 80) and 75% of the aqueous phase. Then, with the formulated nanoemulsion, the physical-chemical characterization and evaluation of preliminary and accelerated stability were carried out. In addition, cytotoxicity, Franz cell permeation and antifungal activity against dermatophytes were evaluated. A stable nanoemulsion was obtained by the low energy method with the characteristic appearance of a nanoemulsion and a characteristic odor of essential oil. The average size of the nanoparticles was around 167.5 nm, narrow PDI (<0.2 nm), zeta potential below −10.0 mV, acidic pH (5.1), average conductivity 134.4 μSm/cm, refractive index characteristic of a translucent system and low viscosity (<6.0 mPa.S). Regarding cytotoxicity, it proved to be safe at dosages below 90 μg/mL, efficient in terms of permeation (76.7% in 24h) and effective in terms of antifungal activity as it had a minimum inhibitory concentration between 234.4/156.3 μg/mL and 11.2/7.5 μg/mL against the tested dermatophytes. In view of the results, a nanoemulsion containing the essential oil of L. origanoides carried by the oil of Syagrus coronata was shown to be a potential product for the topical treatment of fungal infections like dermatophytosis. © 2024 Elsevier B.V.",NA,133
134,Lisa,NO,Cano M.C.; Beato M.; Usseglio V.L.; Merlo C.; Zunino M.P.,Bioactive paints with volatile organic alcohols for the control of Sitophilus zeamais,2024,Journal of Stored Products Research,109,NA,NA,10.1016/j.jspr.2024.102423,"Cereals represent a large percentage of food inputs in food production, with annual losses estimated to vary between 7 and 50% due to the actions of pests. Argentina is one of the main producers and exporters of corn globally. Post-harvest pests, such as the insect Sitophilus zeamais, can cause losses of more than 10%, representing a very important negative economic impact on the industry. For pest control many synthetic insecticides are used. Nevertheless, these insecticides show toxicity to mammals and environmental contamination and cause resistance. For this, there is a constant need to introduce new substances used in the protection of crops and the plant extracts and their volatile products are an interesting alternative. In this work we evaluate the effectiveness of natural VACs for the control of S. zeamais and the prolonged effect of the more toxic alcohol incorporated in a paint on its survival. 1-heptyn-3-ol was the most toxic alcohol tested (LC50 = 0.74 μL/L). In the presence of food, the fumigant toxicity of 1-heptyn-3-ol was lower (LC50 = 14.73 μL/L). Also, the non-phytotoxic effect of 1-heptyn-3-ol was determined. When the 1-heptyn-3-ol was included in the polyvinyl paint, the toxic effect was prolongated in the time, causing even 80% mortality at 14th day. Regarding the repellent effect of 1-heptyn-3-ol, it was observed that this alcohol included in the bioactive paint, in the presence of food, presented a repellency similar to that determined for the pure compound, in the absence of food, and greater than the repellency determined for the pure compound in the presence of food. In conclusion, compounds such as 1-hetpyn-3-ol is a potential candidate for insecticidal formulations that allow adequate management of S. zeamais in stored grain. This study presents a preliminary design of a biopaint with insecticidal and repellent activity against the pest insect S. zeamais. © 2024 Elsevier Ltd",NA,134
135,Lisa,NO,Okafor C.E.; Onyido I.,Controlled release formulations of organophosphorus pesticides based on ecofriendly novel and conventional matrices for agro-environmental sustainability,2024,Sustainable Chemistry for the Environment,7,NA,NA,10.1016/j.scenv.2024.100134,"Controlled release formulations (CRFs) of the organophosphorus pesticides diazinon and dichlorvos were prepared from a novel cow dung ash (CDA) matrix and the more conventional starch (STA) matrix. Fourier transform infrared (FTIR) spectroscopy, scanning electron microscopy (SEM) and X-ray diffraction (XRD) were used to characterize the CRFs. FTIR and XRD spectral data provide evidence for pesticide-matrix interactions fundamental to observed matrix surface binding and pesticide release behaviour in water and soil environments. Properties evaluation of the CRFs reveal similar magnitudes of loading capacity and encapsulation efficiency of CDA- and STA-based CRFs of both pesticides, while the order CDA > STA prevails in matrix porosity and swelling ability. Technical grade (TG) and the CRF-encapsulated pesticides exhibit “burst” release profiles in water; pesticide quantities released at similar lengths of time follow the order TG >> STA-CRF > CDA-CRF, thus revealing the capacity of the CRFs to constrain the active ingredients from free mobility, with CDA-CRF being the more slightly efficacious. The Korsmeyer-Peppas equation reasonably models pesticide release from both CRFs into water, giving n values consistent with both water diffusion into the matrix and matrix relaxation as kinetically important in both matrices. Soil column experiments demonstrate the potential of the CFRs to mitigate ground water pollution. Overall, the results show that CDA- and STA-based CRFs of both pesticides have roughly the same potency for pesticide controlled release and ground water pollution mitigation. Deployment of these CFRs can contribute to the drive for agro-environmental sustainability, while the use of CDA, a waste material, as a matrix in controlled pesticide delivery would resonate with sustainable bioresource utilization. © 2024 The Authors",NA,135
136,Lisa,NO,Bonds J.; Parsons G.; Walker K.J.; Murphy A.; Lees R.S.; Nimmo D.; Clayton J.; Malone D.,Comparative analysis of the Potter Tower and a new Track Sprayer for the application of residual sprays in the laboratory,2024,Parasites and Vectors,17,NA,NA,10.1186/s13071-024-06168-x,"Background: Efforts to evaluate the residual efficacy of new indoor residual spraying (IRS) formulations have identified limitations with the industry standard laboratory sprayer, the Potter Spray Tower (PT). Calibrating the PT can be time-consuming, and the dosing of surfaces may not be as accurate or uniform as previously assumed. Methods: To address these limitations, the Micron Horizontal Track Sprayer with Spray Cabinet (TS) was developed to provide higher efficiency, ease of operation and deposition uniformity equal to or better than the PT. A series of studies were performed using a fluorescent tracer and three IRS formulations (Actellic® 300CS, K-Othrine WG250 and Suspend PolyZone) sprayed onto surfaces using either the PT or the TS. Results: Deposition volumes could be accurately calibrated for both spray systems. However, the uniformity of spray deposits was higher for the TS compared to the PT. Less than 12% of the volume sprayed using the PT reaches the target surface, with the remaining 88% unaccounted for, presumably vented out of the fume hood or coating the internal surfaces of the tower. In contrast, the TS deposits most of the spray on the floor of the spray chamber, with the rest contained therein. The total sprayed surface area in one run of the TS is 1.2 m2, and the operational zone for spray target placement is 0.7 m2, meaning that 58% of the applied volume deposits onto the targets. The TS can treat multiple surfaces (18 standard 15 × 15 cm tiles) in a single application, whereas the PT treats one surface at a time and a maximum area of around 0.0225 m2. An assessment of the time taken to perform spraying, including the setup, calibration and cleaning, showed that the cost of application using the TS was around 25–35 × less per tile sprayed. Standard operating procedures (SOPs) for calibration and use of both the Potter Tower and Track Sprayer have been developed. Conclusions: Overall, the TS represents a significant improvement over the PT in terms of the efficiency and accuracy of IRS formulation applications onto test substrates and offers a useful additional tool for researchers and manufacturers wanting to screen new active ingredients or evaluate the efficacy of IRS or other sprayable formulations for insect control. Graphical Abstract: (Figure presented.) © The Author(s) 2024.",NA,136
