"STUDY_ID","REVIEWERS","INCLUDE","STUDY_ID.2","REVIEWERS.1","INCLUDE.1","AUTHORS","TITLE","YEAR","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT","...13","STUDY_ID.1"
"31","Lisa","YES","316","Lisa","maybe","Li C.; Mo Y.; Jiao L.; Liu Y.; Li X.","Synthesis and Characterization of Mesoporous Silica Nanoparticles Loaded with P-Cymene against Rice Bacterial Blight","2024","Nanomaterials","14",NA,NA,"10.3390/nano14030250","Mesoporous silica nanoparticles (MSNs) can be used as carrier materials for the controlled release of pesticides while reducing their negative environmental impact. In this study, we screened an active ingredient, p-cymene (PC), with an excellent inhibitory effect on rice bacterial blight. Subsequently, the PC was successfully loaded onto MSNs via physisorption (PC@MSNs). PC@MSNs, characterized by a regular spherical shape, smooth surface, and an MSN average size of 262.9 nm, achieved an 8.6% drug loading capacity. The release kinetics of the PC from the PC@MSNs demonstrated a sustained release (288 h) pattern influenced by drug diffusion. The efficacy of the PC@MSNs against Xanthomonas oryzae pv. Oryzae paralleled those of PC. Acute toxicity assays revealed that the PC@MSNs were less toxic to aquatic life (LC50 = 257.867 mg/L) and that the formulation showed no adverse effects on rice seedling growth. In summary, these results suggest that PC@MSNs can broaden PC’s scope of application in managing rice diseases. © 2024 by the authors.",NA,"316"
"32","Lisa","YES","331","Lisa","maybe","Mielnik L.; Bejger R.; Ukalska-Jaruga A.; Ćwieląg-Piasecka I.; Weber J.; Jerzykiewicz M.; Kocowicz A.; Jamroz E.; Dębicka M.; Bekier J.; Podlasiński M.; Debaene G.","Sorption of pendimethalin by humin fraction isolated from Mollic horizon of Chernozems","2024","Journal of Elementology","29","37","55","10.5601/jelem.2023.28.4.3211","The aim of the work was to investigate the interactions between selected plant protection products and the humin fraction (HM), which is the most recalcitrant component of soil organic matter. The soil material (n = 5) used for the study was collected from the mollic horizon of two Chernozems differed in physicochemical properties. HM was obtained in the solid state after extracting humic acid (HA) and fulvic acid (FA) in NaOH and digesting the mineral fraction in an HF-HCl mixture. For investigation the pure active substance of pendimethalin (PE) and its two commercial products (Penfox 330 EC and Stomp Aqua 455 SC) were used, which were dissolved in hexane and added to the HM. The batch sorption experiment was carried out in accordance with OECD Guidelines for the Testing of Chemicals No.106. Spectroscopic methods (UV-Vis-nearIR and fluorescence) were used to assess the molecular characteristics of HM exposed to pesticides. The study showed significant differences in the molecular structures of the tested HM as a result of interactions with the pesticides used. The PE has a different effect than commercial products. The obtained results prove that the composition of commercial products significantly modifies the strength and ability of organic matter to bind pesticides. This is probably related to the presence of adjuvants that are more competitive in forming bonds with the active sorption sites of HM, and thus strengthen or weaken the process of forming pesticide-HM complexes. © 2024, Polish Society Magnesium Research. All rights reserved.",NA,"331"
"33","Lisa","YES","343","Lisa","maybe","Ren X.-X.; Chen L.; Yu-Chi; Zhao-Li; Su X.-Y.; Shun-He; Ye Z.-H.","Development and application of a novel suspension concentrate for seed coating of rice for controlling bakanae disease and seedling rot disease","2024","Frontiers in Bioengineering and Biotechnology","12",NA,NA,"10.3389/fbioe.2024.1418313","The main rice planting areas in the middle and lower reaches of the Yangtze River are primarily affected by two types of rice seedling diseases: bakanae disease and seedling rot disease. These diseases lead to considerable losses. Seed coating technology effectively protects rice from these diseases and mitigates environmental pollution. We determined the antifungal activity of six fungicides, including phenamacril, azoxystrobin, fludioxonil, metconazole, thifluzamide and prothioconazole against Fusarium moniliforme Sheldon and Curvularia lunata in this study. In addition, the impact of fungicides and surfactants on rice seed germination were determined. Furthermore, phenamacril and fludioxonil were selected as the active components of suspension concentrate for seed coating. The antifungal activity of phenamacril against F. moniliforme Sheldon was 0.139 mg/L and fludioxonil against C. lunata was 0.110 mg/L. PEG-2000 was selected as the surfactant due to its promoting effect on rice seedling. Based on the above findings, 6% phenamacril fludioxonil FS was developed via the wet sand grinding method. The toxicity of 6% phenamacril fludioxonil FS to zebrafish was verified, and field experiments were conducted in five different regions of the Yangtze River Basin. The results indicated minimal toxicity of 6% phenamacril fludioxonil FS to zebrafish. Relative to the control agent consisting of 6.25% phenamacril metalaxyl-M FS, 6% phenamacril fludioxonil FS showed better control effect and exhibited superior efficacy in promoting growth and increasing yield in all five regions. Specifically, the control effect of 6% phenamacril fludioxonil FS on bakanae exceeded 84.83% with the highest yield increasing value recorded at 30.48%. Currently, the market offers a limited selection of suspension concentrate for seed coating of rice. The findings of this study may offer a viable alternative formulation and directions for further research concerning the application of suspension concentrate for seed coating of rice. Copyright © 2024 Ren, Chen, Yu-Chi, Zhao-Li, Su, Shun-He and Ye.",NA,"343"
"34","Lisa","NO","345","Lisa","maybe","Veshchemova T.E.; Masaltsev G.V.; Rakitskii V.N.; Chkhvirkiya E.G.; Kuzmin S.V.; Tsatsakis A.M.","Comparative assessment of the nature of the combined action of insecticides: Different methodical approaches; [Сравнительная оценка характера комбинированного действия инсектицидов: разные методические подходы]","2024","Gigiena i Sanitariya","103","1025","1030","10.47470/0016-9900-2024-103-9-1025-1030","Introduction. Pesticide mixtures containing insecticide methomyl are commonly used in agriculture. However, the interaction of their active ingredients in a mixture has been insufficiently studied. The purpose of the study was to evaluate the nature of the combined action of a mixture of insecticides methomyl (carbamate) and bifenthrin (pyrethroid) using various methods: a classical model (orthogonal planning of the experiment using nonlinear variables); a generalized linear regression model for the binomial distribution (probit regression); and an isobologram. The study was conducted at the Federal Scientific Center of Hygiene named after F.F. Erisman of the Federal Service for Supervision in Protection of the Rights of Consumer and Man Wellbeing, according to the protocol approved by the local bioethical commission. Materials and methods. Ninety male outbred rats were administered 9 combined doses of the insecticides (combinations of LD16, LD33 and LD50 for the individual compounds, as devised from a preliminary study). Results. Impaired coordination, tremor of the limbs and head, turning into convulsions, rapid (shallow) breathing were observed in all groups. The data on mortality as used to construct 2 mathematical models, as well as to construct an isobologram. Limitations. The study was limited to studying the indicators of acute oral toxicity, without taking into account the possible repeated exposure. Conclusion. The models showed that the additive effect for the combination of methomyl and bifenthrin was only observed for combinations when the individual dose of bifenthrin was equal to or greater than 45 mg/kg b.w. (LD33) and the dose of methomyl was less than 30 mg/kg b.w., as all animals receiving a dose of 30 mg/kg b.w. of methomyl (LD50) in the mixture died. Therefore, the dose of methomyl dictated the toxic effect of the mixture, which should be accounted for in hygienic regulation of methomyl-containing formulations. © 2024 Federal Scientific Center of Hygiene named after FF Erisman. All rights reserved.",NA,"345"
"35","Lisa","NO","348","Lisa","maybe","Adetunji C.O.; Oloke J.K.","Handbook of Agricultural Biotechnology: Volume III Nanofungicides","2024","Handbook of Agricultural Biotechnology: Volume III Nanofungicides",NA,"1","217","10.1002/9781119836544","Handbook of AGRICULTURAL BIOTECHNOLOGY This book provides state-of-the-art information about recent advancements in the application of nanobiofungicides for effective management of post-harvest diseases and agricultural fungal diseases, including blights, mildews, molds, and rusts. The book details the formulation and standardization of nanobiofungicides, as well as their application in the management of biotic and abiotic stress. It provides relevant information on the isolation, characterization, purification, and structural characterization of active constituents, using spectroscopic techniques and explains the quarantine and regulatory issues that are associated with nanobiofungicides (derived from plants and other biogenic sources), as well as various regulatory bodies that manage the control of pesticides on agricultural products. Readers will learn about the application of nanobiofungicides when applied as a biocontrol agent against soil-borne and root-borne plant pathogens; the management of mycotoxin; the non-target effect of plant-based nanobiofungicides when applied in the greenhouse and field (such as rate of CO2 evolution, organic carbon content, enzymatic activity, acidic and alkaline phosphatase, dehydrogenases, urease, and protease); and the effect on soil microorganisms using different assay techniques. Furthermore, the book provides information on several plant materials that could serve as nanobiofungicdes, and explains the procedure involved in the characterization of plant-based nanobiofungicides (using TEM, SEM, XRD, EDX, UV, zeta potential, dynamic light-scattering). Finally, it offers a specific illustration on the application of microencapsulation and nanoformulation technology in the synthesis of plant-based nanobiofungicides. Audience The book is a useful resource for a diverse audience, including industrialists, food industry professionals, agriculturists, agricultural microbiologists, plant pathologists, botanists, microbiologists, biotechnologists, nanotechnologists, microbial biotechnologists, farmers, policymakers, and extension workers. © 2024 Scrivener Publishing LLC.",NA,"348"
"36","Lisa","YES","359","Lisa","maybe","Jampílek J.; Kráľová K.","Nanotoxicity of agrochemicals to aquatic environment","2024","Nanotoxicology for Agricultural and Environmental Applications",NA,"195","231","10.1016/B978-0-443-15570-3.00012-0","As a result of the runoff losses of agrochemicals that have been used in excessive amounts over the last few decades from agricultural soils, the levels of these harmful chemicals have also increased in the aquatic ecosystem, where adverse impact on nontarget organisms has been observed. The advantage of using nanoagrochemicals compared to conventional ones is that to achieve the same biological effect, a quantitatively smaller amount of active ingredient can be used, and when using encapsulation of the active agent or its adsorption on a suitable nanocarrier, its controlled prolonged release can be achieved, which at the same time reduces the adverse impact on the environment. Nanoagrochemicals are also generally less toxic than conventional agrochemicals, however, some of them can be more toxic to aquatic flora and fauna even at sublethal concentrations. This chapter provides a comprehensive overview of the toxic effects of nanoscale formulations of organic pesticides, carbon nanomaterials (graphene [GR], GR oxide [GO], reduced GO, and carbon nanotubes), nanoscale macronutrients, and Cu, Zn, and Fe-based micronutrients, as well as silver and silica nanoparticles on algae and cyanobacteria, macrophytes, and aquatic animals (mainly crustaceans, snails, bivalves, amphibians or fishes). It also explores the relevant mechanisms of action. © 2024 Elsevier Inc. All rights reserved.",NA,"359"
"37","Lisa","YES","388","Lisa","maybe","Simonsen D.; Livania V.; Cwiertny D.M.; Samuelson R.J.; Sivey J.D.; Lehmler H.-J.","A systematic review of herbicide safener toxicity","2024","Critical Reviews in Toxicology","54","805","855","10.1080/10408444.2024.2391431","Herbicide safeners are agrochemicals added to herbicide formulations to protect crops from herbicide damage without reducing the effectiveness of the herbicide against weeds. While safeners are typically structurally similar to their co-formulated herbicides, they are classified as ""inert"" in the United States, meaning they are not held to the same regulatory standards as the herbicides. This review systematically examines the toxicity of safeners, which is important given their large-scale global use and potential for exposure to wildlife, livestock, and humans. A systematic review of peer-reviewed literature identified only seven studies examining safener toxicity. Regulatory toxicity data, compiled from the European Chemicals Agency (ECHA) database, included data for 9 of the 18 commercial safeners. Most safeners have low acute ecotoxicity and mammalian toxicity; however, chronic effects and the underlying mechanism are less clear. Benoxacor showed enantioselective metabolism and depletion by drug-metabolizing enzymes. In conclusion, despite the widespread use of safeners, significant knowledge gaps exist regarding their toxicity. More research is needed to fully characterize the potential risks of safeners to human health and the environment. Regulatory agencies should consider reclassifying safeners as active ingredients to ensure adequate toxicity testing and risk assessment. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",NA,"388"
"38","Lisa","NO","391","Lisa","maybe","Shevchenko O.P.; Bardov P.V.; Borysenko A.A.; Antonenko A.M.; Omelchuk S.T.; Kovalchuk O.I.; Dema O.V.","DEVELOPMENT OF THE DERMAL EFFECT OF PESTICIDES ON PROFESSIONAL CONTINGENTS USING INNOVATIVE 3RIVE 3D TECHNOLOGY","2024","Clinical and Preventive Medicine","2024","82","88","10.31612/2616-4868.3.2024.10","The skin is the most vulnerable organ when spraying pesticides on fields. Farmers are also exposed to pesticides during mixing, loading of pesticides, and when cleaning equipment and disposing of empty containers. The aim. To study and analyze the features of the risk of pesticides dermal exposure to professional contingents during treatments using the innovative 3RIVE 3D pesticide application technology. Materials and methods. The 3RIVE 3D innovative technological system of introducing was used to applicate Brigade 3Rive 3D, SC formulation. Field experiments on the study of working conditions when using the pesticide were conducted in various soil and climatic regions of Eastern Europe. Statistical processing of the results was carried out using a package of licensed statistical programs IBM SPSS StatisticsBase v.22 and MS Excel. Research results and discussion. During the conducted research, no bifenthrin contamination was found on the open skin of the operator and the tractor driver, who were processing corn crops with the Brigade 3Rive 3D, SC formulation. However, the operator’s gloves were found to contain 0.025 mg of bifenthrin. Calculation of the unitless CASd value on the possibility of skin acute effects when applying the formulation showed that bifenthrin and the Brigade 3Rive 3D, SC formulation based on it are characterized by sufficient selectivity of action on the target object (CASd – 645 and 162, respectively, i.e. > 100) and a low level of danger acute dermal toxic effects for workers, which is due to low values of effective consumption rates. The real dermal risk of bifenthrin exposure when using the Brigade 3Rive3D, SC formulation was significantly lower compared to the risk of workers involved in «traditional» air treatment and treatment with unmanned aerial vehicles (UAVs) (p=0.009-0.048 according to Wilcoxon’s W-criterion); in comparison with rod and fan processing – it is non-significantly lower (р=0.262-1.000). There was a similar picture in comparison with the dermal aggravated risk – significantly lower in comparison with the risk of workers involved in «traditional» air treatment and processing with the help of UAVs (p=0.009 according to Wilcoxon’s W-criterion); in comparison with rod and fan treatment – non-significantly lower (р=0.262-1.000). Conclusions. It was established that the studied active substance bifenthrin and the Brigade 3Rive 3D, SC formulation based on it are characterized by sufficient selectivity of dermal action on the target object and a low probability of acute dermal effects. A higher probability of acute inhalation poisoning than dermal exposure was revealed. © 2024, State Institution of Science ""Research and Practical Center of Preventive and Clinical Medicine"" State Administration Department. All rights reserved.",NA,"391"
"39","Lisa","YES","419","Lisa","maybe","Li X.; Zhou Z.; Huang Y.; Tang G.; Liu Y.; Chen X.; Yan G.; Wang H.; Zhang X.; Wang J.; Cao Y.","A high adhesion co-assembly based on myclobutanil and tannic acid for sustainable plant disease management","2023","Pest Management Science","79","3796","3807","10.1002/ps.7564","Background: Pesticides are irreplaceable inputs for protecting crops from pests and improving crop yield and quality. Self-assembly nanotechnology is a promising strategy by which to develop novel nano-formulations for pesticides. Nano-formulations improve the effective utilization of pesticides and reduce risks to the environment because of their eco-friendly preparation, high drug loading, and desirable physicochemical properties. Here, to enhance the utilization efficiency of myclobutanil (MYC) and develop a novel nano-formulation, carrier-free co-assembled nanoparticles (MT NPs) based on MYC and tannic acid (TA) were prepared by noncovalent molecular interactions using a green preparation process without any additives. Results: The results showed that the prepared spherical nanoparticles had good stability in neutral and acidic aqueous solutions, low surface tension (40.53 mN m−1), high rainfastness, and good maximum retention values on plant leaves. Release of active ingredients from MT NPs could be regulated by altering the molar ratio of subassemblies in the co-assembly and the pH of the environment. Antifungal experiments demonstrated that MT NPs had better activities against Alternaria alternata and Fusarium graminearum [half-maximal effective concentration (EC50) = 6.40 and 77.08 mg/L] compared with free MYC (EC50 = 11.46 and 124.82 mg/L), TA (EC50 = 251.19 and 503.81 mg/L), and an MYC + TA mixture (EC50 = 9.62 and 136.21 mg/L). These results suggested that MYC and TA incorporated in the co-assembled nanoparticles had a synergistic antifungal activity. The results of a genotoxicity assessment indicated that MT NPs could reduce the genotoxicity of MYC to plant cells. Conclusion: Co-assembled MT NPs with synergistic antifungal activity have outstanding potential for the management of plant diseases. © 2023 Society of Chemical Industry. © 2023 Society of Chemical Industry.",NA,"419"
"40","Lisa","YES","438","Lisa","maybe","Klátyik S.; Simon G.; Oláh M.; Mesnage R.; Antoniou M.N.; Zaller J.G.; Székács A.","Terrestrial ecotoxicity of glyphosate, its formulations, and co-formulants: evidence from 2010–2023","2023","Environmental Sciences Europe","35",NA,NA,"10.1186/s12302-023-00758-9","Glyphosate (GLY), the most widely used herbicide in the world, is frequently detected in various environmental matrices, including soil, the foundation of agriculture. In practice, more than 2000 GLY-based herbicide (GBH) products are used, consisting of one or more active ingredients (AIs) and so-called “inert” co-formulants that increase the efficacy of the AIs. However, the focus of ecotoxicological assessments is mainly on AIs, while organisms are exposed to complex pesticide formulations under real-world conditions. Overall, the effects on non-target organisms indicate a broad range of biochemical and physiological modes of action, which contrasts with the general assumption that herbicides are specific and act only on target plants. Both GLY alone and GBHs have unintended side-effects on many terrestrial organisms, including non-target plants, microorganisms, insects, spiders, or earthworms, as well as vertebrates such as amphibians, reptiles, or mammals. One of the triggering mechanisms for these effects is oxidative stress with consequences on biochemical parameters and DNA damage. In addition, disruptions of various physiological, behavioral and ecological processes have been reported. Most studies have examined the short-term effects of a single application of GLY/GBH to a single species. However, the agricultural practice of applying GBHs two to three times during a cultivation season over an extended period of time, the interactions with other pesticides and agrochemicals applied to the same field, and effects on ecological interactions within the field and landscape are rarely considered. In the vast majority of cases, the toxicity of GBHs exceeds the toxicity of GLY, demonstrating that supposedly inert co-formulants are either toxic in their own right or interact and add to the toxicity of AIs. The chemical diversity of different GBHs and the non-disclosure of the co-formulants make it difficult to attribute effects to specific chemical substances within a GBH. Moreover, impurities in GBHs (e.g., heavy metals such as arsenic, chromium, cobalt) pose additional environment and food safety risks. These impacts are even more critical because GBHs are so widely distributed worldwide and interact with other pollutants and environmental stressors. Based on the available literature on terrestrial ecotoxicity, and given the drastic decline in biodiversity, we conclude that the continued high use of GBHs, resulting in increased exposure and risk, cannot be considered ecologically sustainable. © 2023, The Author(s).",NA,"438"
"41","Lisa","YES","440","Lisa","maybe","Feng J.; Sun L.; Zhai T.; Liang Q.; Jiang T.; Chen Z.","Preparation of cinnamaldehyde nanoemulsions: Formula optimization, antifungal activity, leaf adhesion, and safety assessment","2023","Industrial Crops and Products","200",NA,NA,"10.1016/j.indcrop.2023.116825","Plant essential oils have become an increasingly popular topic in agriculture due to their outstanding fungicidal activity, good biocompatibility and abundance of sources. Cinnamaldehyde is found in cinnamon essential oil and has good antifungal activity, but cinnamaldehyde also has negative characteristics such as high volatility, poor water solubility and easy oxidative degradation, which seriously hinder the potential of its antimicrobial properties and its application in agriculture. In this study, the effects of the surfactant ratio, concentration and emulsification method on the stability of cinnamaldehyde nanoemulsions were systematically investigated by observing the sample appearance, mean droplet size and differential scanning calorimetry (DSC) analysis. The results showed that the optimal formula of cinnamaldehyde nanoemulsion was a surfactant (R5:848) ratio of 1:1 and a concentration of 7%, and the emulsification method was E1: adding dropwise aqueous phase (deionized water) to the oil phase (cinnamaldehyde + surfactant). Cinnamaldehyde nanoemulsions showed good antifungal activity against rice sheath blight (Rhizoctonia solani), wheat sheath blight (Rhizoctonia cerealis) and wheat take-all (Gaeumannomyces graminis). The nanoemulsions also had excellent wetting properties on rice and wheat leaves, higher biosafety for nontarget environmental organisms such as zebrafish and earthworms, low cytotoxicity to human BASE-2B cells, and no inhibition of germination and growth of wheat and rice. The results of this research provide important ideas for the design of efficient, safe and environmentally friendly plant-derived fungicides. © 2023 Elsevier B.V.",NA,"440"
"42","Lisa","YES","477","Lisa","maybe","Martins R.X.; Carvalho M.; Maia M.E.; Flor B.; Souza T.; Rocha T.L.; Félix L.M.; Farias D.","2,4-D Herbicide-Induced Hepatotoxicity: Unveiling Disrupted Liver Functions and Associated Biomarkers","2024","Toxics","12",NA,NA,"10.3390/toxics12010035","2,4-dichlorophenoxyacetic acid (2,4-D) is a widely used herbicide worldwide and is frequently found in water samples. This knowledge has prompted studies on its effects on non-target organisms, revealing significant alterations to liver structure and function. In this review, we evaluated the literature on the hepatotoxicity of 2,4-D, focusing on morphological damages, toxicity biomarkers and affected liver functions. Searches were conducted on PubMed, Web of Science and Scopus and 83 articles were selected after curation. Among these studies, 72% used in vivo models and 30% used in vitro models. Additionally, 48% used the active ingredient, and 35% used commercial formulations in exposure experiments. The most affected biomarkers were related to a decrease in antioxidant capacity through alterations in the activities of catalase, superoxide dismutase and the levels of malondialdehyde. Changes in energy metabolism, lipids, liver function, and xenobiotic metabolism were also identified. Furthermore, studies about the effects of 2,4-D in mixtures with other pesticides were found, as well as hepatoprotection trials. The reviewed data indicate the essential role of reduction in antioxidant capacity and oxidative stress in 2,4-D-induced hepatotoxicity. However, the mechanism of action of the herbicide is still not fully understood and further research in this area is necessary. © 2024 by the authors.",NA,"477"
"43","Lisa","NO","483","Lisa","maybe","Ashraf F.A.; Kandil M.A.; Shalaby M.A.M.","Laboratory Study on Some Potential Histological Changes Induced by The Toxicity of a Mixed Insecticide (spinetoram + methoxyfenozide) on The Spiny Bollworm, Earias insulana","2023","Arab Journal of Plant Protection","41","437","443","10.22268/AJPP-41.4.437443","The present laboratory study was conducted using the larvae of spiny bollworm, Earias insulana (Boisd.) (Lepidoptera: Nolidae) to observe the correlation between the toxicity effect and the potential histopathological changes induced by feeding with LC50 of the pesticideUphold (36% SC), a commercial insecticide mixture formulation of two active ingredients [spinetoram 6% + methoxyfenozide 30% (w/v)]. The microscopic observations showed morphological variations in the midgut and fat body that indicated a defect in the performance of their functions. The treated larvae showed modifications in the midgut tissues vs the control sections, whereas the epithelial cells seamed without any distinct stratification and had malformed morphology along the midgut. The peritrophic membrane lining loss was evident. The abdominal fat body of the treated larvae appeared in densely spread lobes, accumulating and occupying an enormous portion of the abdominal cavity. Its cellular components were characterized by their large size compared to the untreated ones. The results obtained indicated that the tested mixed insecticide gained its properties from its active ingredients. The findings herein indicated that chronic exposure to the applied insecticide could be considered stressful conditions affecting different aspects of fat body functions needed for late vital activities. That effect could be viewed as a possible disruptive impact on the detoxification mechanism and biosynthetic-fat body functions required during the advanced stages ofthe development and maturation of the treated larvae. © 2023 Arab Society for Plant Protection. All rights reserved.",NA,"483"
"44","Lisa","NO","493","Lisa","maybe","Ramadhan Makame K.; Sherif M.; Östlundh L.; Sándor J.; Ádám B.; Nagy K.","Are encapsulated pesticides less harmful to human health than their conventional alternatives? Protocol for a systematic review of in vitro and in vivo animal model studies","2023","Environment International","174",NA,NA,"10.1016/j.envint.2023.107924","Background: The gradual increase in the global population has led to the rising demand for agricultural products worldwide. This required the introduction of environment- and public health-friendly advanced technologies for plant protection to guard yields from pest destruction in a sustainable way. Encapsulation technology is a promising procedure to increase the effectiveness of pesticide active ingredients while reducing human exposure and environmental impact. Despite the presumed favorable properties of encapsulated pesticide formulations on human health, it is necessary to systematically assess whether they are less harmful to human health than conventional pesticide products. Objectives: We aim to systematically review the literature to answer the question of whether micro- or nano-encapsulated pesticide formulations exert different degrees of toxicity than their conventional (not-encapsulated) counterparts in in vivo animal and in vitro (human, animal, and bacterial cell) non-target models. The answer is important to estimate the possible differences in the toxicological hazards of the two different types of pesticide formulations. Because our extracted data will come from different models, we also aim to perform subgroup analyses to investigate how toxicity varies across different models. A pooled toxicity effect estimate will also be performed by meta-analysis when appropriate. Methods: The systematic review will follow the guidelines developed by the National Toxicology Program's Office of Health Assessment and Translation (NTP/OHAT). The protocol adheres to the Preferred Reporting Items for Systematic Reviews and meta-analyses Protocol (PRISMA-P) statement. PubMed (NLM), Scopus (Elsevier), Web of Science Core Collection (Clarivate), Embase (Elsevier), and Agricola (EBSCOhost) electronic databases will be comprehensively searched in September 2022 to identify eligible studies using multiple search terms of “pesticide”, “encapsulation” and “toxicity” along with their synonyms and other words that are semantically related. The reference lists of all eligible articles and retrieved reviews will be manually screened to identify additional relevant papers. Eligibility criteria: We will include peer-reviewed experimental (non-target in vivo animal model and in vitro human, animal, and bacterial cell cultures) studies published as full-text articles in English language that simultaneously investigate the effect of any micro- or nano-encapsulated pesticide formulation, applied in all ranges of concentrations, duration, and routes of exposure, and its corresponding active ingredient(s) or its conventional non-encapsulated product formulation(s) used in the same ranges of concentrations, duration, and routes of exposure on the same pathophysiological outcome. We will exclude studies that examine pesticidal activity on target organisms, cultures of cells isolated from target organisms exposed in vivo or in vitro, and those using biological materials isolated from target organisms/cells. Study appraisal and synthesis: Studies identified by the search will be screened and managed according to the review inclusion and exclusion criteria in the Covidence systematic review tool by two reviewers, who will also blindly extract the data and assess the risk of bias of included studies. The OHAT risk of bias tool will be applied to evaluate the quality and risk of bias in the included studies. Study findings will be synthesized narratively by important features of the study populations, design, exposure, and endpoints. If findings make it possible, a meta-analysis will be performed on identified toxicity outcomes. To rate the certainty in the body of evidence, we will use the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach. © 2023 The Authors",NA,"493"
"45","Lisa","YES","494","Lisa","maybe","Báez M.E.; Sarkar B.; Peña A.; Vidal J.; Espinoza J.; Fuentes E.","Effect of surfactants on the sorption-desorption, degradation, and transport of chlorothalonil and hydroxy-chlorothalonil in agricultural soils","2023","Environmental Pollution","327",NA,NA,"10.1016/j.envpol.2023.121545","The fungicide chlorothalonil (CTL) and its metabolite hydroxy chlorothalonil (OH-CTL) constitute a risk of soil and water contamination, highlighting the need to find suitable soil remediation methods for these compounds. Surfactants can promote the bioavailability of organic compounds for enhanced microbial degradation, but the performance depends on soil and surfactant properties, sorption-desorption equilibria of contaminants and surfactants, and possible adverse effects of surfactants on microorganisms. This study investigated the influence of five surfactants [e.g., Triton X-100 (TX-100), sodium dodecyl sulphate (SDS), hexadecyltrimethylammonium bromide (HDTMA), Aerosol 22 and Tween 80] on the sorption-desorption, degradation, and mobility of CTL and OH-CTL in two volcanic and one non-volcanic soil. Sorption and desorption of fungicides depended on the sorption of surfactants on soils, surfactants' capacity to neutralize the net negative charge of soils, surfactants’ critical micellar concentration, and pH of soils. HDTMA was strongly adsorbed on soils, which shifted the fungicide sorption equilibria by increasing the distribution coefficient (Kd) values. Contrarily, SDS and TX-100 lowered CTL and OH-CTL sorption on soils by decreasing the Kd values, which resulted in an efficient extraction of the fungicide compounds from soil. SDS increased the degradation of CTL, especially in the non-volcanic soil (DT50 values were 14 and 7 days in natural and amended soils, with final residues <7% of the initial dose), whereas TX-100 enabled an early start and sustenance of OH-CTL degradation in all soils. CTL and OH-CTL stimulated soil microbial activities without noticeable deleterious effects of the surfactants. SDS and TX-100 also reduced the vertical transport of OH-CTL in soils. Results of this study could be extended to soils in other regions of the world because the tested soils represent widely different physical, chemical, and biological properties. © 2023 Elsevier Ltd",NA,"494"
"46","Lisa","YES","519","Lisa","maybe","Figueiredo A.; Anholeto L.A.; Cola D.F.; Fantatto R.R.; Gainza Y.A.; dos Santos I.B.; Viçozzi G.P.; Ávila D.S.; Fraceto L.F.; Chagas A.C.D.S.","Acaricides containing zein nanoparticles: A tool for a lower impact control of the cattle tick Rhipicephalus microplus","2023","Veterinary Parasitology","318",NA,NA,"10.1016/j.vetpar.2023.109918","Nanoformulations containing zein nanoparticles (ZN) can promote the stability and protection of molecules with acaricidal activity. The present study sought to develop nanoformulations with ZN associated with cypermethrin (CYPE) + chlorpyrifos (CHLO) + a plant compound (citral, menthol or limonene), characterize them, and verify their efficacy against Rhipicephalus microplus ticks. Additionally, we aimed to assess its safety in nontarget nematodes found in soil at a site subjected to contamination by acaricides. The nanoformulations were characterized by dynamic light scattering and nanoparticle tracking analysis. Nanoformulations 1 (ZN+CYPE+CHLO+citral), 2 (ZN+CYPE+CHLO+menthol), and 3 (ZN+CYPE+CHLO+limonene) were measured for diameter, polydispersion, zeta potential, concentration, and encapsulation efficiency. Nanoformulations 1, 2, and 3 were evaluated in a range from 0.004 to 0.466 mg/mL on R. microplus larvae and caused mortality > 80% at concentrations above 0.029 mg/mL. The commercial acaricide Colosso® (CYPE 15 g + CHLO 25 g + citronellal 1 g) was evaluated also from 0.004 to 0.512 mg/mL and resulted in 71.9% larval mortality at 0.064 mg/mL. Formulations 1, 2, and 3 at 0.466 mg/mL showed acaricidal efficacy of 50.2%, 40.5%, and 60.1% on engorged females, respectively, while Colosso® at 0.512 mg/mL obtained only 39.4%. The nanoformulations exhibited long residual period of activity and lower toxicity to nontarget nematodes. ZN was able to protect the active compounds against degradation during the storage period. Thus, ZN can be an alternative for the development of new acaricidal formulations using lower concentrations of active compounds. © 2023 Elsevier B.V.",NA,"519"
