AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10
Gupta A.; Sahu P.K.; Tiwari R.K.,Nanotechnology in Insect Pest Management,2022,Molecular Approaches for Sustainable Insect Pest Management,NA,377,394,10.1007/978-981-16-3591-5_12,"Nanotechnology has a wide range of applications in the stream of agriculture, medicine, pharmaceuticals, etc. In recent decades, it has become one of the most important technological interventions, especially in agriculture. The present-day agriculture is facing several bottlenecks in maintaining productivity in shrinking resources. On the other hand, crop losses from insect pests are increasing. Different chemical-based pesticides used in crop protection are directly or indirectly affecting living beings and the environment. Different ways were worked out to solve this problem, and nanotechnology is one of the most effective methods in the management of insect pests in agriculture. This technology helps in increment in crop yield along with plant protection against a variety of biotic and abiotic stresses. Different nanoparticles (NPs), such as Ag NPs, Au NPs, Mg(OH)2 NPs, magnetite NPs, and essential oil NPs, are being used for insect pest control. These nanoparticles are formulated in lipid, polymer, clay, metal, and other nanoformulations for better delivery of active ingredients. Key benefits of nanopesticides are low dose, high active ingredient loading, slow and controlled release, biodegradable, reduced losses, protection against photodegradation, etc. There is a long way to go in nanopesticide research in pest management, and different ways are looked upon for reducing off-target effects and other demerits of nanopesticides. Therefore, to sustainably protect plants from insect pests, the use of bioconjugated nanomaterial-based insecticides and pesticides could be a viable option that would be desirable in precision farming. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2021",NA
Don Wauchope R.,"Pesticide Dissipation and Fate in Agricultural Settings: A Review of Research, 2000–2020",2022,Modeling Processes and their Interactions in Cropping Systems: Challenges for the 21st Century,NA,203,250,10.1002/9780891183860.ch7,"Progress from 2000 to the present in our understanding of the fate of pesticides after application in agricultural settings is reviewed in the context of predicted environmental concentrations (PEC) simulation modeling. Formulation secrecy remains an impediment to the study of nearly all processes. Spray drift from aerial and ground equipment has been characterized and is predictable by probabilistic empirical rules. Volatilization of pesticide active ingredients from application deposits on plants and soil have been physically modeled and are part of the mass balance of a few PEC models. Measurement and modeling of plant uptake, translocation, and degradation of pesticides has considerably advanced recently. Soil sorption understanding has benefited from some revealing isotope-exchange studies, and the coupling of sorption and biotic degradation in soils has become a standard part of advanced PEC modeling. Spatial variability of sorption and degradation from point to field scale is much better understood and has been incorporated into modeling to a limited extent. Understanding pesticide leaching via preferential flow has been aided by modeling studies. Effects and limitations of conservation tillage practices on pesticide runoff have been quantified by rainfall simulation studies. Several specific research needs remain. © 2022 American Society of Agronomy, Inc./Crop Science Society of America, Inc./Soil Science Society of America, Inc.",NA
Maslienko L.; Yakuba G.,Testing of laboratory samples of microbiological preparations based on promising producer strains for the control of apple scab,2021,BIO Web of Conferences,34,NA,NA,10.1051/bioconf/20213404007,"To prevent phytosanitary destabilization in apple agrocenoses, it is necessary to include ecologically safe microbiological preparations in the protection systems. In the Krasnodar region in 2016 and 2019 in the field, laboratory samples of microbiological preparations were tested in the formulation ""wettable powder"" from the collection of the laboratory of the biological method of the FGBNU VNIIMK against Venturia inaequalis (Cooke) G. Winter. Of the 9 laboratory samples tested in 2016, the highest efficiency, approaching the effectiveness of a chemical fungicide, was shown by samples based on fungal producer strains: RK-1, XK-1 and T-2 - 76.9-92.5%. In 2019, all variants (in the amount of 4) using laboratory samples of microbiological preparations were more effective in comparison with the active substance of chemical origin. The best scab control was provided by a laboratory sample of a three-component mixed preparation based on two fungal and one bacterial producer strain RK-1 + XK-1 + B-12 - 83.0-84.9%. The isolated samples are promising for research on the creation of microbiological preparations against apple scab. © The Authors, published by EDP Sciences.",NA
Alsendi A.; Havasi M.R.; Golmohammadi G.R.; Farahani S.; Kheradmand K.,"Efficacy of microcapsule essential oil of peppermint (Mentha piperita L.) on biological parameters of two-spotted spider mite, Tetranychus urticae Koch (Acari: Tetranychidae)",2021,Plant Protection (Iran),44,1,21,10.22055/ppr.2021.16776,"Background and Objectives Tetranychus urticae, as the two-spotted spider mite, is considered as one of the most important and destructive herbivorous mites in farms and greenhouses, which is very important to control due to its wide host range. The damage caused by agricultural pests combined with the harmful effects of synthetic chemicals used in their control can be mitigated or eliminated by using botanicals, which are derived from renewable resources including a mixture of various bioactive ingredients. Therefore, finding a suitable alternative way for controlling this pest is necessary by considering the resistance to acaricides, as well as undesirable effects of chemical compounds. The present work aims to evaluate microcapsule essential oil of Mentha piperita and its lethal and sublethal toxicity to T. urticae. Materials and Methods Laboratory bioassays were used for evaluating the sublethal effects of peppermint essential oil microcapsules on biological and population parameters of T. urticae. The life table parameters of T. urticae were conducted on leaf discs under laboratory conditions at 25 ± 2°C, 60 ± 5% relative humidity, and a photoperiod of 16:8 (L: D) hours. Then, the duration of each stage, developmental time, and survival were observed and recorded daily. In addition, the raw data were analyzed based on age stage two-sex life table theory with MS-Chart. Results Based on the results, microcapsules of Menthe piperita caused a significant reduction in fecundity and longevity. Those treated with LC20 and LC30 had a significant reduction at net reproductive rate, compared to those treated with LC10 and untreated ones. The intrinsic and finite rate of increase reduced significantly in higher concentration compared to the control. In addition, the mean generation time decreased significantly at the upper dose, compared with LC10. Discussion Botanic acaricides can be used for controlling Tetranychus urticae, and the microencapsulated formulation of these products makes them more stable. Familiarity with the chemical nature of the bio-active pesticide/acaricidal compound can be considered in future research which can play a role in developing an effective and environmentally friendly treatment against spider mites, leading to a decrease in reliance on synthetic pesticides/acaricides. The results of this study can be used in designing the mentioned pest management programs by considering the detrimental effects of M. piperita essential oil microcapsule on some biological parameters of T. urticae. © 2021 Shahid Chamran University of Ahvaz, Ahvaz, Iran.",NA
Githae E.W.; Kuria E.K.,Biological control of desert locust (Schistocerca gregaria Forskål),2021,"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources",16,NA,NA,10.1079/PAVSNNR202116013,"Desert locust (Schistocerca gregaria Forskål) is one of the most serious agricultural pests in the world due to its voracity, speed of reproduction, and range of flight.We discuss the current state of knowledge on its biological control using microorganisms and botanical extracts. Metarhizium flavoviride was among the first fungus to be recognized as a bio-control agent against desert locust in the laboratory and field conditions. Nevertheless, its oil formulation adversely affected nontarget organisms, hence led to further research on other microorganisms. Metarhizium anisopliae var. acridum (syn. Metarhizium acridum) is an environmentally safer bio-pesticide that has no measurable impact on non-target organisms. However, there are various shortcomings associated with its use in desert locust control as highlighted in this review. Bacterial pathogens studied were from species of Bacillus, Pseudomonas, and Serratia. Botanical extracts of 27 plant species were tested against the locust but showed varied results. Azadirachta indica and Melia volkensii were the most studied plant species, both belonging to family Meliaceae, which is known to have biologically active limonoids. Out of the 20 plant families identified, Apiaceae was the most represented with a frequency of 21%. However, only crude botanical extracts were used and therefore, the active ingredients against desert locust were not identified. Through a comprehensive research, an integrated pest management strategy that incorporates these bio-controls would be a realistic option to control desert locust infestations. © CAB International 2021.",NA
Abd-Elnabi A.D.; Badawy M.E.I.; Saad A.-F.S.A.; Mohammed S.A.,"Efficacy of Some Pyrethroid Nanoemulsions against cotton Leafworm Spodoptera littoralis (Boisd.): Toxicity, Biochemical and Molecular Docking Studies; [فعالية بعض مبيدات البيروثريد النانويه ضد دودة ورق القطنسبودوبترا ليتوراليس]",2021,Egyptian Journal of Chemistry,64,1047,1055,10.21608/EJCHEM.2020.45275.2946,"Although pesticides are favourable for pest controlling because more than 30–40% of the food production is lost due to pests, the extensive use of pesticides has harmful effects on the environment and health. Nanotechnology techniques are recently used in developing agrochemical formulations. Nanoemulsions as new approaches have attracted great attention in delivering many poorly soluble in water active compounds. In this study, the most widely used pyrethroid insecticides (cypermethrin, deltamethrin, and lambda-cyhalothrin) were formulated as nanoemulsions by high-energy ultrasonication. The droplet sizes of prepared nanoemulsions have been investigated by Dynamic Light Scattering (DLS) and Transmission Electron Microscope (TEM), characterization result reveals the size of particles in the range 24.42-84.99 nm. Formulated nanoemulsions in comparison with the active ingredient (a.i) and emulsifier concentrate (EC) were evaluated against 4th instar larvae of S. littoralis. The in vivo activity levels of targeted enzymes, acetylcholinesterase (AChE), and adenosine triphosphate (ATPase) were studied in two bioassay methods (leaf dipping and topical application). Our finding showed that cypermethrin nanoemulsion has the highest activity with LC50 = 19.92 mg/l and LD50= 2.11 ng/larva. Furthermore, the developed nano-formulation showed adequate toxicity levels on AChE and ATPase compared to the active ingredient and EC formulations. The protein-ligand docking was also studied, and the docking poses showed that the insecticides had an excellent binding affinity to the active site of the target enzymes. On this basis, these results suggest that oil in water (O/W) nanoemulsions would be beneficial and can be applied for delivery insecticide formulations. © 2021 National Information and Documentation Center (NIDOC)",NA
Mostert V.,Regulation of Agrochemicals,2021,"Regulatory Toxicology: Volumes 1-2, Second Edition",2,1263,1274,10.1007/978-3-030-57499-4_130,"Plant protection products (PPPs) have to be authorized prior to their placing on the market. PPPs may only contain active substances (or safeners and synergists) that have been previously approved. The approval process for active substances involves the evaluation of an extensive toxicological data set and results in the setting of reference doses and hazard-based classification for human health effects. Exclusion criteria preclude the approval of active substances that are carcinogenic, mutagenic, and toxic to reproduction, or that have endocrine-disrupting properties. PPPs can be only authorized if they are efficacious and safe for human health and the environment. The human health risk assessment for PPPs is based on reference doses that represent safe exposure levels for active substances for operators and consumers. The reference doses are derived from no-effect levels observed in a battery of toxicological tests ranging from acute to chronic studies. © Springer Nature Switzerland AG 2021.",NA
Jeschke P.,Current Trends in the Design of Fluorine-Containing Agrochemicals,2021,"Organofluorine Chemistry: Synthesis, Modeling, and Applications",NA,363,395,10.1002/9783527825158.ch11,"In the search for modern agrochemicals in terms of efficacy, environmental safety, user friendliness, and economic viability, the substitution of molecules with fluorine and fluorinated motifs is an important tool. Besides the impact on biological activity in combination with further structural fragments, depending on the mode of action, the introduction of fluorine atoms or fluorine-containing substituents into an active ingredient can influence some specific properties such as degradation in soil, metabolism in plants and target pests, and a favorable compatibility profile to non-target arthropods or beneficial insects. In the past decade, there has been a remarkable rise in the number of commercial products containing fluorine atoms and/or fluorine-containing substituents. At present, these include trifluoro- and difluoromethyl, or trifluoro- and difluoromethoxy groups at aryl or heterocyclic aryl moieties and fragments such as 2, 2-difluoroethyl, difluoromethylsulfonyl, heptafluoro-iso-propyl, or 1-methoxy-hexafluoro-iso-propyl. This review gives an overview of the latest generation of fluorine-containing agrochemicals launched over the past 10 years and describes current trends in the design of fluorinated development candidates. © 2021 WILEY-VCH GmbH, Boschstr. 12, 69469 Weinheim, Germany.",NA
Jeyaprakasam A.; Muniyandi B.; James A.J.P.; Karmegam N.; Ponnuchamy K.,Assessment of earthworm diversity and pesticide toxicity in Eudrilus Eugeniae,2021,Environmental Chemistry and Ecotoxicology,3,23,30,10.1016/j.enceco.2020.11.001,"Pesticides have become an inseparable part of modern agricultural production and technology. Malathion pesticide more than 139,000 MT production capacity annually, with more than 219 technical grade and manufacturing units, and over 4000 formulation units in India. The earthworm survey was carried out in all the five sites at regular monthly intervals. In this present work, a total of six earthworms from five different species were collected from different vegetation such as garden, pond, paddy, edible tubers, and sugarcane field. The organophosphate pesticide malathion is selected as a target compound for toxicity study. The earthworm species Eudrilus eugeniae was used as a model organism. Contact toxicity was studied by filter paper method and to observe the mortality rate of different concentrations of pesticide for 24 and 48 h. The soil toxicity study was done by using artificial soil for 14 days. Surviving worms also had reduced body weight, and in some cases, morphological changes. Enzymatic activities of SOD, CAT, and protease were evaluated in the vermicast of pesticide-treated earthworm. This study refers to the earthworm population between pesticide-contaminated and unpolluted soil. This work will provide information to estimate the toxic level of Malathion against the earthworm. © 2020 The Authors",NA
Agbohessi P.; Imorou Toko I.,Toxic effects of glyphosate-based herbicides on fish and other aquatic animals: bibliographic approach; [Effets toxiques des herbicides à base du glyphosate sur les poissons et autres animaux aquatiques: approche bibliographique],2021,International Journal of Biological and Chemical Sciences,15,2685,2700,10.4314/ijbcs.v15i6.33,"Glyphosate is a total foliar systemic herbicide, whose active ingredient is rarely used alone but more often mixed with formulants. In order to shed light on its toxicological effects on aquatic ecosystems, documentary synthesis has enabled us to establish its toxicity on fish, aquatic invertebrates and amphibians. Thus, LC50-96 h (Median Lethal Concentrations over 96 h) on fish vary from 0.03 mg / L (Ictalurus punctatus) to 975 mg / L (Phalloceros caudimaculatus). Recurrent chronic effects in fish include impaired memory, reduced mobility, damage to haematological parameters and several histopathological lesions on the gills, digestive tract, liver and kidney. In invertebrates, LC50s vary from 3-100 mg ai / L (Daphnia magna) to 147 mg ai / L (Ceriodaphnia dubia) with, among other chronic effects, disturbances of reproduction and development, disturbances of cardiac functions and parameters of oxidative stress. LC50s vary in amphibians from 78 mg a.i / L (Crinia insignifera) to 138.9 mg a.i / L (Rana clamitans). In conclusion, the toxic effects are induced by high concentrations of the pollutant, consequently, glyphosate is considered by the majority of authors to be of low toxicity to aquatic fauna. © 2021 International Formulae Group. All rights reserved.",NA
Lipkina L.I.; Ilnitskaya A.V.; Artemova O.V.; Tarasova L.S.; Mikheeva E.N.; Masaltsev G.V.,Necessary Safety Measures in the Use of Pesticides in Agriculture,2021,Public Health and Life Environment,29,21,25,10.35627/2219-5238/2021-29-8-21-25,"Summary Introduction. Pesticides as biologically active compounds posing potential hazard to worker’s health may cause both acute and chronic occupational poisonings (diseases). Apart from the occupational setting, many people get exposed to pesticides during their use in personal subsidiary plots. Various pesticide application techniques, such as ground-based boom spraying of field crops, air blast spraying of gardens, aerial spraying of fields and forests, treatment of greenhouses, seed dressing, fumigation of grain and warehouses, preparation and application of baits, require a differentiated approach to precautionary measures. Safety use practices for pesticides developed by F.F. Erisman Federal Scientific Center of Hygiene in the past shall be revised to incorporate changes in formulations, techniques, and regulations. Objective. To substantiate hazard-specific safety requirements for various pesticide application techniques and equipment in the agricultural industry. Materials and methods. We analyzed regulatory documents and guidelines, results of our own long-term studies, and publicly available information on the safe use of pesticides in agriculture. Оригинальная стаResults. Based on our findings, we suggest measures for the safe use of pesticides complying with appropriate regulations for the processed crops and application rules and taking into account conditions of the equipment used. We also provide recommendations for prevention of acute pesticide poisoning for agricultural workers, farmers and users from the standpoint of occupational health. Conclusion. It is important to develop a profound document summarizing occupational safety and health requirements for all pesticide use practices. © 2021, Federal Center for Hygiene and Epidemiology. All rights reserved.",NA
