TITLE,INCLUDE_GUY,STUDY_ID,REVIEWERS,INCLUDE_LISA,AUTHORS,JOURNAL,ABSTRACT,YEAR,BLIND_ID,COMPARING
"Preparation, characterization and antifungal activity of pyraclostrobin solid nanodispersion by self-emulsifying technique",NO,29,Lisa,NO,Wang C.; Guo L.; Yao J.; Wang A.; Gao F.; Zhao X.; Zeng Z.; Wang Y.; Sun C.; Cui H.; Cui B.,Pest Management Science,"BACKGROUND: Pathogenic fungi are the causal agents of 70–80% of plant diseases. Therefore, it is imperative to explore new and high effective fungicides. Constructing nanoscale fungicides using nanomaterial and nanotechnology has attracted wide attention in recent years. RESULTS: In this research, a pyraclostrobin solid nanodispersion (PSND) was prepared using the self-emulsifying method. The solid nanodispersion had a mean particle size of 20 nm and a zeta potential of -29.3 mV. The solubility and dissolution rate of the PSND increased owing to the decrease in particle size and the actions of the surfactants. The contact angle and retention volumes of the PSND on cucumber and cabbage leaf surfaces were greater than those of the commercial water dispersible granule. In addition, the median lethal concentration against Fusarium oxysporum was 0.7 43 µg mL−1. The toxicity of the nanoparticles was 4.5 times that of the water dispersible granule (WDG). The high fungicidal activity of PSND promoted the production of excess reactive oxygen species (ROS). The activity levels of the antioxidant enzymes containing superoxide dismutase (SOD) and catalase (CAT) decreased in F. oxysporum. CONCLUSION: The research introduced a new method for preparing insoluble pyraclostrobin solid nanoformulation for fungicides to enhance the fungicidal activity and reduce environmental pollution. © 2019 Society of Chemical Industry. © 2019 Society of Chemical Industry",2019,1353,TRUE
Surfactant mediated enhanced biodegradation of hexachlorocyclohexane (HCH) isomers by Sphingomonas sp. NM05,NO,30,Lisa,NO,Manickam N.; Bajaj A.; Saini H.S.; Shanker R.,Biodegradation,"Environmental biodegradation of several chlorinated pesticides is limited by their low solubility and sorption to soil surfaces. To mitigate this problem we quantified the effect of three biosurfactant viz., rhamnolipid, sophorolipid and trehalose-containing lipid on the dissolution, bioavailability, and biodegradation of HCH-isomers in liquid culture and in contaminated soil. The effect of biosurfactants was evaluated through the critical micelle concentration (CMC) value as determined for each isomer. The surfactant increased the solubilization of HCH isomers by 3-9folds with rhamnolipid and sophorolipid being more effective and showing maximum solubilization of HCH isomers at 40 μg/mL, compared to trehalose-containing lipid showing peak solubilization at 60 μg/mL. The degradation of HCH isomers by Sphingomonas sp. NM05 in surfactant-amended liquid mineral salts medium showed 30% enhancement in 2 days as compared to degradation in 10 days in the absence of surfactant. HCH-spiked soil slurry incubated with surfactant also showed around 30-50% enhanced degradation of HCH which was comparable to the corresponding batch culture experiments. Among the three surfactants, sophorolipid offered highest solubilization and enhanced degradation of HCH isomers both in liquid medium and soil culture. The results of this study suggest the effectiveness of surfactants in improving HCH degradation by increased bioaccessibility. © 2012 Springer Science+Business Media B.V.",2012,1396,TRUE
"Multiple applications of a novel cationic gemini surfactant: Anti-microbial, anti-biofilm, biocide, salinity corrosion inhibitor, and biofilm dispersion (Part II)",NO,31,Lisa,NO,Labena A.; Hegazy M.A.; Sami R.M.; Hozzein W.N.,Molecules,"The Egyptian petroleum industries are incurring severe problems with corrosion, particularly corrosion that is induced by sulfidogenic microbial activities in harsh salinity environments despite extensively using biocides and metal corrosion inhibitors. Therefore, in this study, a synthesized cationic gemini surfactant (SCGS) was tested as a broad-spectrum antimicrobial, anti-bacterial, anti-candida, anti-fungal, anti-biofilm (anti-adhesive), and bio-dispersion agent. The SCGS was evaluated as a biocide against environmental sulfidogenic-bacteria and as a corrosion inhibitor for a high salinity cultivated medium. The SCGS displayed wide spectrum antimicrobial activity with minimum bactericidal/fungicidal inhibitory concentrations. The SCGS demonstrated anti-bacterial, anti-biofilm, and bio-dispersion activity. The SCGS exhibited bactericidal activity against environmental sulfidogenic bacteria and the highest corrosion inhibition efficiency of 93.8% at 5 mM. Additionally, the SCGS demonstrated bio-dispersion activity against the environmental sulfidogenic bacteria at 5.49% salinity. In conclusion, this study provides a novel synthesized cationic surfactant with many applications in the oil and gas industry: as broad-spectrum antimicrobial and anti-biofilm agents, corrosion inhibition for high salinity, biocides for environmentally sulfidogenic bacteria, and as bio-dispersion agents. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).",2020,1540,TRUE
Assessment of glycine derivative N-benzylidine-2((2-oxo-2-(10H-phenothiazine-10yl)ethyl)amino) acetohydrazide as inhibitor for mild steel corrosion in 1 M HCl solution: electrochemical and theoretical approach,NO,32,Lisa,NO,Zehra S.; Mobin M.; Aslam J.; Parveen M.,Journal of Adhesion Science and Technology,"Corrosion is a severe challenge which restricts the use of mild steel (MS) in various application where it comes in contact with aggressive chemicals and conditions. In this regard, different inhibitors were chosen, but environment unfriendliness of such inhibitors is a primary cause of concern. In this study, we present the systematic investigation of an environmentally benign compound, a glycine derivative N-benzylidine-2((2-oxo-2-(10H-phenothiazine-10yl)ethyl)amino) acetohydrazide (BPAA), as potential corrosion inhibitor at different temperature (30, 40, 50, and 60 °C). The investigation is accomplished by using the techniques including electrochemical polarization, electrochemical impedance spectroscopy (EIS), gravimetric, UV-visible spectrophotometry, FT-IR spectroscopy. The morphological characterization of the samples has been done by using high resolution SEM. The evaluated compound works as effective inhibitor for acid corrosion at substantially lower concentration and its adsorption on the MS surface was found to followed the Langmuir adsorption isotherm. Calculated thermodynamic parameters for adsorption unveiled a strong interaction amongst the inhibitor-MS surface. The electrochemical results revealed that the inhibitor act as mixed-type. The corrosion inhibition efficiency (IE) of the inhibitor was synergistically enhanced in the presence of surfactant additives sodium dodecyl sulfate and cetyl pyridinium chloride at quite lower concentration and showed that the addition of surfactant is an alternate strategy to enhance the IE and reduce the cost. The order of IE acquired from experimental results is successfully verified by theoretical calculations. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",2018,1693,TRUE
Factors influencing the spreading areas of pesticide droplets on the surface of maize leaves; [农药液滴在玉米叶片表面铺展面积的影响因素],NO,33,Lisa,NO,Gao R.; Huang L.; Wen S.; Yin X.; Zhang J.,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,"Pesticide wastes have caused serious pollution to the air, water, and soil in recent years. It is a high demand to clarify the spreading behavior of pesticide droplets on the plant leaves, particularly for the better utility efficiency of pesticides. Among them, the maximum spreading area of pesticide droplets on the plant leaves can dominate the action range, evaporation time, and foliar absorption of active ingredients in the pesticides. This study aims to explore the influence mechanism of droplet size, surfactant concentration, and leaf inclination on the maximum spreading area of droplets on the corn leaves. The leaf inclination angles were set as 0°, 15°, 30°, 45°, 60°, and 75°. The droplet sizes were 548, 675, 756, 877, and 973 μm. A droplet generator was used to produce the droplets of different sizes, further to reach the plant leaves at the free velocity. The solutions were utilized the 0, 0.1%, 0.01%, and 0.005% of OP-10 surfactant. A full factorial experiment was designed with a total of 120 tests. The results show that there were significant effects of droplet size, surfactant concentration, and leaf inclination on the maximum spreading area (P<0.001). The influencing factors were ranked in the order of the surfactant concentration > droplet size > leaf angle. The partial-eta squares were 0.857, 0.473, and 0.073, respectively. A linear relationship was observed between the droplet size and the spreading area. The spreading area also increased with the increase of the droplet size, leaf angle, and solution surfactant concentration. Once the droplet size increased from 548 to 973 μm, the spreading area increased by 71.2% on average. When the leaf inclination angle was 75°, the average spreading area was 1.512 4 mm2. The spreading area increased by 18.0%, and 11.9%, compared with the 0°and 45°. The spreading area of 0.1% OP-10 on the maize leaves increased by an average of 572.7%, compared with the deionized water. Therefore, the droplet size increased the maximum spreading area of the droplets on the corn leaf surface with the same increased efficiency under different leaf inclination angles. Furthermore, the relationship between the droplet size and the maximum spreading area was y=0.001 7x+0.022 3, where the goodness of fit R2 was 0.969. It infers that the maximum spreading area of the droplet increased by 0.17 mm2 on average, particularly for every 100 μm increase in the droplet size. The highest value of 4.13mm2 was achieved in the maximum spreading area of 973 μm droplets at 0.1% concentration, when the leaf inclination angle was 75°. By contrast, the average level of the spread area was significantly higher at the 0.1% concentration, compared to the rest groups. The Pearson correlation analysis was carried out between the surface tension, contact angle, adhesion work, and spreading area of the solution. It was found that there was a significant positive correlation between the adhesion work and the spreading area (r=0.995, P=0.009). The adhesion work was well represented by the spreading area trend of the droplets on the leaf. Correspondingly, the surface tension of the liquid medicine was lower than the critical surface tension of the leaves in actual agricultural production. Furthermore, a greater surfactant composition was required for better wetting after atomization in the liquid medicine, compared with the critical micelle concentration. The 0.01%-0.1% OP-10 solution can be expected as a reference surfactant for higher spreading efficiency and better performance at a high level. The findings can provide a strong reference to understanding the spreading mechanism of pesticide droplets on the plant leaves. The particle size of pesticide droplets and the concentration of surfactants can also be adjusted for better spreading performance at the different leaf inclination angles. © 2022 Chinese Society of Agricultural Engineering. All rights reserved.",2022,1903,TRUE
Study of the properties of in vitro dactylorhiza maculata (L.) soó (family orchidaceae) extracts,NO,34,Lisa,NO,Sukhikh S.; Noskova S.; Ivanova S.; Skrypnik L.; Pungin A.; Ulrikh E.; Chupakhin E.; Babich O.,Plants,"The medicinal plant Dactylorhiza maculata (L.) Soó (family Orchidaceae) is used to treat gastritis, colic, gastrointestinal tract, and bladder diseases. This study aimed to investigate the properties and characteristics of the in vitro Dactylorhiza maculata extract. The recommended parameters for producing Dactylorhiza maculata extract were determined: temperature 60 °C, process duration 60 min, hydro module 1:10. It is recommended to carry out the extraction using an aqueous ethyl alcohol solution with a mass fraction of the parent substance of 70%. It was found that such biologically active substances as rutin, quercetin, 3,3’,4’,5,5’,7‐hexahydroxyflavonone, 3,3’,4’,5,5’,7‐hexahydroxyflavonone‐3‐O‐glycoside, gallic acid, and ferulic acid were dominant in Dactylorhiza maculata. A high phosphorus content was noted (2410.8 mg/kg dry matter). The studied Dactylorhiza maculata samples contained a large number of organic acids and water‐soluble vitamins. The tested extracts were safe in terms of the content of heavy metals, pesticides, aflatoxin B1, and radionuclides, as well as pathogenic and opportunistic microorganisms; the content was significantly lower than the threshold limit values. The studied complex of biologically active substances from Dactylorhiza maculata extract samples had antimicrobial properties. It was found that the antioxidant activity of the samples was 217.89 ± 10.89 mg AA/g (AA—ascorbic acid). The high content of bioactive substances and the antimicrobial and antioxidant properties of Dactylorhiza maculata extract samples determine the application potential of this plant as a substitute for growth stimulants and feed antibiotics in the production of feed additives, aiming to increase the physiological and immune status of livestock and poultry. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,2015,TRUE
"Residue analysis and dietary risk assessment of thiamethoxam, flonicamid and their metabolites in cucumber under field conditions in China",NO,35,Lisa,NO,Xu M.; Hu J.,Environmental Science and Pollution Research,"Thiamethoxam and flonicamid are two representative insecticides of neonicotinoids which are used to treat cucumber aphids, causing food safety and human health problems. A 60% thiamethoxam-flonicamid commercial mixture water dispersible granule (WDG) is being prepared for registering in China, so it is essential to investigate the residue levels of these neonicotinoids and their metabolites in cucumber and evaluate the dietary risks of these insecticides. We developed a modified quick, easy, cheap, effective, rugged and safe (QuEChERS) method combined with high-performance liquid chromatography coupled with tandem mass spectrometry (HPLC–MS/MS) for the simultaneous determination of thiamethoxam and its metabolite clothianidin, flonicamid and its metabolites 4-trifluoromethylnicotinic acid (TFNA), 4-trifluoromethilnicotinamide (TFNA-AM), 4-(trifluoromethyl) nicotinol glycine (TFNG) in cucumber. Method validation indicated good selectivity, linearity (r ≥ 0.9996), accuracy (recoveries of 80–101%), precision (relative standard deviations (RSD) ≤ 9.1%), sensitivity (limits of detection (LOD), 0.28–1.44 × 10−3 mg/L; limits of quantification (LOQ), 0.01 mg/kg) and minor matrix effect (ME) (≤|± 5%|). In the terminal residue trials under good agricultural practice (GAP) conditions, the residue levels of six analytes in cucumber samples were ˂0.01–0.215 mg/kg after application trice with an interval of 7 days based on pre-harvest interval (PHI) of 3 days under the high recommended dosage of 54 g active ingredient/ha (g a.i./ha). Relevant toxicological, residual chemistry parameters and dietary consumption of the residents were applied to assess the potential risk of dietary exposure. The chronic and acute dietary exposure assessment risk quotient (RQ) values were less than 1. The above results indicated that the potential dietary intake risk of this formulation was negligible to consumers. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2023,2072,TRUE
PP 1/306 (1) General principles for the development of co-formulated mixtures of plant protection products,NO,36,Lisa,NO,NA,EPPO Bulletin,"Specific scope: For the purpose of this Standard, a co-formulated mixture is defined as a plant protection product which contains more than one active substance (including mixtures of different product types, e.g. fungicides plus insecticides or fungicides plus plant growth regulators). In certain cases, manufacturers may provide the individual active substances in separate containers in a common product package; these are usually referred to as ‘twin packs’ or ‘combi-packs’. Such products are outside the scope of this Standard (although some of the same considerations apply for practical farm use). This Standard provides guidance for the justification for using mixtures from the point of view of efficacy, their potential advantages and disadvantages, plus an examination of the appropriateness of such mixtures in terms of managing resistance. Based on these issues, a series of principles have been drawn up to form the regulatory framework for the decision-making process when considering the approval of such mixtures. These principles should also act as a guide for trial design and the type of data required. Appendices provide additional information for specific product types and situations. The Standard PP 1/277 Insecticide co-formulated mixtures will be withdrawn and replaced by this new Standard. Specific approval and amendment: First approved in 2018-09. © 2018 OEPP/EPPO",2019,2097,TRUE
Head lice is still actual; [Veš dětská je stále aktuální],NO,37,Lisa,NO,Rupeš V.; Vlčková J.,Prakticky Lekar,"Over the past years, head louse (Pediculus capitis) has been found with increasing frequency in all developed countries. The Czech Republic is not an exception. The cause is resistance to insecticides used for the control of head lice. In the Czech Republic, resistance of lice to permethrin was detected by in vitro tests in 1992 and resistance to malathion was reported in 2004. The two active ingredients have been used worldwide for the control of head lice. The resistance of lice was the cause of failure of the then available Czech delousing products (Orthosan BF 45, Diffusil H and Diffusil H 92 M). Diffusil H Forte is currently authorized for use in the control of head lice in the Czech Republic. The active ingredient of this formulation is carbaryl that proved fully effective. Another authorized product is Parasidose Shampooing containing dphenothrin as the active ingredient, expected to be effective against some populations of lice. The most recent data on the taxonomy and biology of the head louse are presented and new possibilities and alternative strategies for the control of these parasitic insects are discussed.",2007,2157,TRUE
Study of possible teratogenic effects of the fungicide maneb on chick embryos,NO,38,Lisa,NO,Munk R.; Schulz V.,Ecotoxicology and Environmental Safety,"The teratogenicity of the fungicide maneb (80% active ingredient and 20% inert ingredients) in chick embryos was evaluated. Eggs, before incubation, were dipped in 0.2% or 1.2% aqueous dispersions of maneb for 30 seconds. An untreated group, a water group and a formulation ingredient group, at the concentration present in the 1.2% maneb group, ensured control in the study. Eggs were incubated for 18 days then transfered to hatching racks and allowed to hatch normally. Viable chicks and chicks ""dead in shell"" were assessed for external deformaties. There was no evidence that maneb or its formulation ingredients were teratogenic or embryotoxic to developing chick embryos. © 1989.",1989,2274,TRUE
"The use of conventional bioassays, microbiotests, and some ″rapid″ methods in the selection of an optimal test battery for the assessment of pesticides toxicity",NO,39,Lisa,NO,Fochtman P.; Raszka A.; Nierzedska E.,Environmental Toxicology,"Due to the increasing use of pesticides, as well as the introduction of new formulations of biologically active substances, there are significant effects of these preparations on the aquatic environment. The aim of this study was to select effective biotests for a test battery to assess the potential effects of pesticides on aquatic life. Thirteen widely used and registered pesticides in Poland, with potassium dichromate as a reference chemical, as well as seven different test species (ranging from protozoan to fish) were chosen for the study. Principal component analysis (PCA) and cluster analysis (CA) were used as helpful statistical methods for the selection of the test battery. PCA clearly isolated two components that explained almost 82% of total variance. The first consists of all crustacean and fish tests while the second of all tests with algae and the protozoan Tetrahymena thermophila. In other words, PCA separated unicellular and multicellular organisms in regard to their sensitivity to pesticides. CA has confirmed the above results and has provided more detailed insight into the ″connections″ within the separated group of biotests. Regression analysis, PCA, and CA allowed for the selection of the following test battery: Algaltoxkit F(TM) (Raphidocelis subcapitata), Protoxkit F(TM) (T. thermophila), Daphnia magna (Fluotox), and an acute test with Oncorhynchus mykiss or, alternatively, Thamnotoxkit F(TM) (Thamnocephalus platyurus). This test battery is comprised of organisms that belong to four different phylogenic groups as well as three trophic levels of the aquatic ecosystem. Acute, sublethal, and chronic effects are taken into consideration. (C) 2000 by John Wiley and Sons, Inc.",2000,2336,TRUE
"A semifield evaluation of vectobac® DT (ABG-6499), a new formulation of Bacillus thuringiensis israelensis for control of Aedes albopictus",NO,40,Lisa,NO,Toma L.; Severini F.; Bella A.; Romi R.,Journal of the American Mosquito Control Association,"We evaluated the effectiveness and duration of effectiveness of a new formulation of Bacillus thuringiensis var. israelensis (Bti) for control of larval Aedes albopictus. The product tested was Vectobac* DT (ABG-6499), a Bti tablet formulation containing 3.4% of active ingredient (3,400 ITU/mg) supplied by SCAE Valent BioSciences Italy S.r.l. The study was conducted at the Botanical Garden of the University of Rome ""La Sapienza"" between June and September 2002, the most favorable season for the development of Ae. albopictus in Italy. Black 20-liter plastic buckets containing water and an organic substrate were used as experimental breeding sites. The number of larvae in these buckets was estimated weekly, and positive buckets were treated with the recommended dose of the larvicide. The results showed that Vectobac DT induced 100% larval mortality after 24 h in all experimental breeding sites during the entire study period. Nonetheless, in most cases, the larvicidal activity only lasted about 48 h; thus, effective mosquito control would require that treatment be performed every 8-10 days in this habitat. Copyright © 2003 by the American Mosquito Control Association, Inc.",2003,2344,TRUE
Phenotypic and molecular insights into heat tolerance of formulated cells as active ingredients of fungal insecticides,NO,41,Lisa,NO,Tong S.-M.; Feng M.-G.,Applied Microbiology and Biotechnology,"Abstract: Formulated conidia of insect-pathogenic fungi, such as Beauveria and Metarhizium, serve as the active ingredients of fungal insecticides but are highly sensitive to persistent high temperatures (32–35 °C) that can be beyond their upper thermal limits especially in tropical areas and during summer months. Fungal heat tolerance and inter- or intra-specific variability are critical factors and limitations to field applications of fungal pesticides during seasons favoring outbreaks of pest populations. The past decades have witnessed tremendous advances in improving fungal pesticides through selection of heat-tolerant strains from natural isolates, improvements and innovations in terms of solid-state fermentation technologies for the production of more heat-tolerant conidia, and the use of genetic engineering of candidate strains for enhancing heat tolerance. More recently, with the entry into a post-genomic era, a large number of signaling and effector genes have been characterized as important sustainers of heat tolerance in both Beauveria and Metarhizium, which represent the main species used as fungal pesticides worldwide. This review focuses on recent advances and provides an overview into the broad molecular basis of fungal heat tolerance and its multiple regulatory pathways. Emphases are placed on approaches for screening of heat-tolerant strains, methods for optimizing conidial quality linked to virulence and heat tolerance particularly involving cell wall architecture and optimized trehalose/mannitol contents, and how molecular determinants can be exploited for genetic improvement of heat tolerance and pest-control potential. Examples of fungal pesticides with different host spectra and their appropriateness for use in apiculture are given. Key points: • Heat tolerance is critical for field stability and efficacy of fungal insecticides. • Inter- and intra-specific variability exists in insect-pathogenic fungi. • Optimized production technology and biotechnology can improve heat tolerance. • Fungal heat tolerance is orchestrated by multiple molecular pathways. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",2020,2346,TRUE
Preparation of acetochlor microcapsules by interfacial polymerization and the environmental behavior and control efficacy,NO,42,Lisa,NO,Lan Y.; Hu Y.; Wang Y.; Guo Y.; Zhao H.; He L.; Qian K.,Scientia Agricultura Sinica,"【Objective】 The objective of this study is to prepare acetochlor microcapsules by interfacial polymerization and highlight interrelation among these formulations, biological effect and environmental effect. 【Method】 The acetochlor microcapsules were prepared by interfacial polymerization method with styrene, butyl methacrylate, and diacetone acrylamide in the O/W emulsion. The performances of acetochlor microcapsules such as morphological structure, size distribution and chemical group were characterized by FESEM, DLS, IR and so on. Meanwhile, through study on the release performance of acetochlor microcapsules, the acetochlor residues in soil and the control efficacy on weeds, connection among the release mechanism, environmental behavior and control efficacy were investigated. 【Result】The prepared acetochlor microcapsules are spherical, the average particle size is 1.552 μm, the loading efficiency is 60%, and the content of acetochlor in formulation is 20%. Under laboratory conditions, when pH values kept at pH 7.0, the cumulative release rates of acetochlor were about 50% to 70% on the 5th day, 60% to 90% on the 10th day, and 80% to nearly 100% on the 30th day from 20℃ to 45℃. In the pH range of 5.0 to 9.0, the cumulative release rates of acetochlor were from 60% to 70% on the 5th day, from below 70% to nearly 80% on the 10th day, about 80% on the 30th day, and nearly 100% on the 40th day. The release of acetochlor microcapsules (MC) was accelerated with the increase of temperature and pH. The grassy weeds and total weeds control efficacy were 80.2%-95.4%, and 67.8%-82.1% on the 20th day, 82.2%-92.4%, and 70.2%-80.9% on the 40th day, and 87.0%-97.2%, and 62.6%-91.3% on the 60th day; fresh weight control efficacy were 90.1%-98.0% and 70.3%-88.7% on the 60th day. For the conventional acetochlor concentrated emulsion, the grassy weeds and total weeds control efficacy were 80.4%-90.2%, and 54.8%-76.1% on the 20th day, 83.0%-91.2%, and 61.4%-79.8% on the 40th day, and 81.1%-88.3%, and 71.2%-84.0% on the 60th day, respectively, and fresh weight control efficacy were 80.3%-83.4% and 65.9%-74.0% on the 60th day. Under field conditions, the amount of acetochlor in the soil gradually reduced over time, and the active ingredient amount of acetochlor microcapsules was higher than that of acetochlor emulsifiable concentrate (EC), which extended the control time and ensured acetochlor microcapsules a better control efficacy.【Conclusion】This delivery carrier may be extended to other lipophilic pesticide in the future. At the same time, more pesticide active ingredient for microcapsules than that of EC can improve the weeds control efficacy, and reduce the number of spraying and amount of pesticide for EC, and relieve the pressure on the environment. © 2017 Editorial Department of Scientia Agricultura Sinica. All rights reserved.",2017,2369,TRUE
Are topical insect repellents effective against malaria in endemic populations? A systematic review and meta-Analysis,NO,43,Lisa,NO,Wilson A.L.; Chen-Hussey V.; Logan J.G.; Lindsay S.W.,Malaria Journal,"Background: Recommended vector control tools against malaria, such as long-lasting insecticidal nets (LLINs) and indoor residual spraying (IRS), mainly target mosquitoes that rest and feed on human hosts indoors. However, in some malaria-endemic areas, such as Southeast Asia and South America, malaria vectors primarily bite outdoors meaning that LLINs and IRS may be less effective. In these situations the use of topical insect repellents may reduce outdoor biting and morbidity from malaria. A systematic review and meta-Analysis was conducted to assess the efficacy of topical insect repellents against malaria. Methods: Studies were identified using database searches (MEDLINE, EMBASE, Web of Science and clinical trials registers), as well as reference list searches and contact with researchers. Randomized and non-randomized controlled trials were included that assessed the effect of topical repellents (all active ingredients and concentrations) on Plasmodium falciparum or Plasmodium vivax malaria or infection in malaria-endemic populations. Meta-Analysis of clinical data was conducted in order to generate summary risk ratios. Results: Ten trials met the inclusion criteria. Studies varied in terms of repellent active ingredient and formulation, co-interventions, study population, compliance, and follow-up period. Topical repellents showed an 18% protective efficacy against P. falciparum malaria, although this was not significant (95% CI:-8%, 38%). Similarly, the average protective efficacy of topical repellents against P. vivax malaria did not reach significance (protective efficacy: 20%, 95% CI:-37%, 53%). Exclusion of non-randomized trials from the meta-Analysis did not alter the findings. Conclusions: Although topical repellents can provide individual protection against mosquitoes, the results of this meta-Analysis indicate that topical repellents are unlikely to provide effective protection against malaria. However, there was substantial heterogeneity between studies included and the relatively small number of studies meant that this heterogeneity could not be fully explored in the analysis. Further well-designed trials of topical repellents at appropriate doses and alternative modes of repellent delivery, such as spatial repellents and long-lasting insecticide-Treated clothing, are required.",2014,2450,TRUE
Recent advances in biodegradable matrices for active ingredient release in crop protection: Towards attaining sustainability in agriculture,NO,44,Lisa,NO,Pirzada T.; de Farias B.V.; Mathew R.; Guenther R.H.; Byrd M.V.; Sit T.L.; Pal L.; Opperman C.H.; Khan S.A.,Current Opinion in Colloid and Interface Science,"Climate changes, emerging species of plant pests, and deficits of clean water and arable land have made availability of food to the ever-increasing global population a challenge. Excessive use of synthetic pesticides to meet ever-increasing production needs has resulted in development of resistance in pest populations, as well as significant ecotoxicity, which has directly and indirectly impacted all life-forms on earth. To meet the goal of providing safe, sufficient, and high-quality food globally with minimal environmental impact, one strategy is to focus on targeted delivery of pesticides using eco-friendly and biodegradable carriers that are derived from naturally available materials. Herein, we discuss some of the recent approaches to use biodegradable matrices in crop protection, while exploring their design and efficiency. We summarize by discussing associated challenges with the existing approaches and future trends that can lead the world to more sustainable agricultural practices. © 2020 The Authors",2020,2454,TRUE
Areawide field study on effect of three chitin synthesis inhibitor baits on populations of Coptotermes formosanus and Reticulitermes flavipes (Isoptera: Rhinotermitidae),NO,45,Lisa,NO,Osbrink W.L.A.; Cornelius M.L.; Lax A.R.,Journal of Economic Entomology,"Periodic sampling of 43 independent monitors, initially active with Formosan subterranean termite, Coptotermes formosanus Shiraki, or the eastern subterranean termite, Reticulitermes flavipes (Kollar) (Isoptera: Rhinotermitidae), was conducted to evaluate the effects of cellulose baits containing one of three chitin synthesis inhibitors (CSIs) - diflubenzuron, hexaflumuron, or chlorfluazuron - on termite populations. Diflubenzuron at 0.1% active ingredient (AI, wt:wt) had no noticeable effect on termite populations. Chlorfluazuron (0.25% [AI]) significantly reduced termite populations in ≈3 yr. Chlorfluazuron used after >2-yr diflubenzuron treatment significantly reduced termite populations within months. This suggests diflubenzuron exposure increased the termite's sensitivity to chlorfluazuron accelerating population collapse. Hexaflumuron (0.5% [AI] ) also reduced termite populations in ≈2 yr. The process of removing most detectable termite populations from the ≈460,000-m 2 campus of the Southern Regional Research Center, New Orleans, LA, with CSIs baits required ≈3 yr. Adjustments in the specific bait formulations and application procedures might reduce time to suppression. Establishment of new independent termite populations provides a mechanism to minimize the effects of baits. Remedial control measures around and under structures should be considered when implementing an area wide management strategy. © 2011 Entomological Society of America.",2011,2552,TRUE
Nanofertilizer for Precision and Sustainable Agriculture: Current State and Future Perspectives,NO,46,Lisa,NO,Raliya R.; Saharan V.; Dimkpa C.; Biswas P.,Journal of Agricultural and Food Chemistry,"The increasing food demand as a result of the rising global population has prompted the large-scale use of fertilizers. As a result of resource constraints and low use efficiency of fertilizers, the cost to the farmer is increasing dramatically. Nanotechnology offers great potential to tailor fertilizer production with the desired chemical composition, improve the nutrient use efficiency that may reduce environmental impact, and boost the plant productivity. Furthermore, controlled release and targeted delivery of nanoscale active ingredients can realize the potential of sustainable and precision agriculture. A review of nanotechnology-based smart and precision agriculture is discussed in this paper. Scientific gaps to be overcome and fundamental questions to be answered for safe and effective development and deployment of nanotechnology are addressed. © Copyright 2017 American Chemical Society.",2018,2609,TRUE
"Assessment of different inert dust formulations for the control of Sitophilus oryzae, Tribolium confusum and Aphis fabae",NO,47,Lisa,NO,Faliagka S.; Agrafioti P.; Lampiri E.; Katsoulas N.; Athanassiou C.G.,Crop Protection,"The necessity to ensure the quality of food by simultaneously reducing the environmental footprint due to the extensive use of convectional insecticides has led to an increase in the efforts towards the development of non-chemical control strategies. Silicon dioxide is considered as a promising alternative active ingredient for the control of various arthropods in different crops and products. Silicon dioxide and the relative silicaceous materials (silica) are classified in the category of inert dusts, which act on arthropods through contact leading to desiccation. In our study, we tested three different silica-based dust formulations, Sylobloc® S200, Syloid® ED3 and Syloid® ED5 in order to evaluate their pest control efficacy. As target species, we used, in laboratory bioassays, a field/greenhouse pest the aphid Aphis fabae and the stored-product pests Tribolium confusum and Sitophilus oryzae. These species were exposed to the aforementioned dusts under three different doses (0, 12.5, 25.0 mg/petri) and different time intervals. Taking into account the exposure time of the above species to the inert dusts, S. oryzae adults and T. confusum larvae were more susceptible to ED5 at 25.0 and 12.5 mg, respectively, while A. fabae adults to S200 at the highest tested dose, since less time was needed in order to achieve the highest mortality. Sitophilus oryzae and T. confusum mortality was increased to 90% after the 7th day of post exposure period to all dust formulations, while the highest mortality levels of A. fabae were recorded after 1 day of post exposure to S200. The results of this study show that these silicon dust formulations are effective to greenhouse and storage insect control and can be further exploited through various uses, e.g. in insect-proof nets to minimize the pest invasions in greenhouses. © 2020 Elsevier Ltd",2020,2781,TRUE
