DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES,SOURCE,AI_N_INDIVIDUAL,FORM_N_INDIVIDUAL,AI_SE_INDIVIDUAL,FORM_SE_INDIVIDUAL,AI_BIGGEST_CI_ARM,FORM_BIGGEST_CI_ARM,REASON_EXCLUSION,LRR,LRR_VAR_INDIVIDUAL,TIME_SIMPLE
486,130,chlorpyrifos,1620.388,LC50,262.94,273.677,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,650.577,LC50,104.041,109.747,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,72,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,127.60103442533502,51.16919114531817,273.677,109.747,NA,-0.9125612442906748,0.012387262378641298,3
487,130,chlorpyrifos,1482.097,LC50,251.02,251.56,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Dursban ®,536.926,LC50,102.366,113.471,CI_95,3,5,"5 individuals/aquarium, 3 replicates",Probit,130_ai_i,130_form_i,130_3,1,Pila globosa,NA,"Pond in Kalyani, Nadia district, West Bengal, India",Gastropoda,Mollusca,Animalia,Aquatic,Medium sized,96,insecticide,NO,NO,NA,environmental,Acute,29.5,7.4,No feeding,NA,YES,APHA,237.33,NO,emulsifiable concentrate,YES,NA,2024,Extracted values from the suplementary material and not the figure,Lisa,15,15,117.28905322711545,52.90549435019088,251.56,113.471,NA,-1.0153529733997686,0.015971660775347535,4
569,243,propiconazole,151.8189,EC50,8.2144,8.2144,SE,3,1,3 independant replicates,Mentor,70.973,EC50,91.343,91.343,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_a,243_form_c,243_1,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,24,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,NO,wettable powder,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,8.2144,91.343,NA,NA,NA,-0.7603888401144074,1.6593236852885593,1
570,243,propiconazole,97.529,EC50,17.226,17.226,SE,3,1,3 independant replicates,Mentor,150,EC50,NA,NA,imputed,3,1,3 independant replicates,3 parameter logistic,243_ai_a,243_form_c,243_1,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,48,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,YES,wettable powder,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,17.226,12.476701812215076,NA,NA,NA,0.43048552442030574,0.03811475635746614,2
571,243,propiconazole,151.8189,EC50,8.2144,8.2144,SE,3,1,3 independant replicates,PropiStar,78.419,EC50,21.28,21.28,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_a,243_form_d,243_2,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,24,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,NO,emulsifiable concentrate,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,8.2144,21.28,NA,NA,NA,-0.6606221182063017,0.07656529424479909,1
572,243,propiconazole,97.529,EC50,17.226,17.226,SE,3,1,3 independant replicates,PropiStar,66.116,EC50,4.747,4.747,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_a,243_form_d,243_2,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,48,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,NO,emulsifiable concentrate,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,17.226,4.747,NA,NA,NA,-0.38873899462084316,0.036351134921540906,2
573,243,metconazole,88.382,EC50,51.983,51.983,SE,3,1,3 independant replicates,Quash,150,EC50,NA,NA,imputed,3,1,3 independant replicates,3 parameter logistic,243_ai_b,243_form_e,243_3,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,24,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,YES,water-dispersible granule,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,51.983,2.877062230597766,NA,NA,NA,0.5289669650955086,0.3463033065328928,1
574,243,metconazole,150,EC50,NA,NA,imputed,3,1,3 independant replicates,Quash,29.415,EC50,10.754,10.754,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_b,243_form_e,243_3,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,48,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,YES,water-dispersible granule,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,2752.473086779858,10.754,NA,NA,NA,-1.6291305457798364,336.8495755419483,2
575,243,metconazole,88.382,EC50,51.983,51.983,SE,3,1,3 independant replicates,Caramba,9.9521,EC50,23.741,23.741,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_b,243_form_f,243_4,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,24,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,NO,emulsifiable concentrate,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,51.983,23.741,NA,NA,NA,-2.1838847448228953,6.0366729246797615,1
576,243,metconazole,150,EC50,NA,NA,imputed,3,1,3 independant replicates,Caramba,20.366,EC50,10.801,10.801,SE,3,1,3 independant replicates,3 parameter logistic,243_ai_b,243_form_f,243_4,1,Bacillus subtilis,Hay bacillus,strain ASF032321,Bacilli,Bacillota,Bacillati,Terrestrial,NA,48,fungicide,NO,NO,NA,environmental,Acute,30,NA,NA,NA,NO,NA,NA,YES,emulsifiable concentrate,YES,NA,2024,"Computed from data extracted from figures, taking the growth with control as reference",Lisa,3,3,0.980162152997991,10.801,NA,NA,NA,-1.9967684503467822,0.28130819104559374,2
468,247,chlorpyrifos,108,LC50,14,14,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,55,LC50,14,16,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_a,247_form_a,247_1,1,Labeo rohita,Rohu,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,24,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,6.527455657416188,7.459949322761358,14,16,NA,-0.6747980418917487,0.022049894773799147,1
469,247,chlorpyrifos,89,LC50,14,15,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,47,LC50,15,17,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_a,247_form_a,247_1,1,Labeo rohita,Rohu,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,48,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,6.993702490088773,7.926196155433942,15,17,NA,-0.6384887680220813,0.03461524522265275,2
470,247,chlorpyrifos,75,LC50,14,16,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,36,LC50,11,14,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_a,247_form_a,247_1,1,Labeo rohita,Rohu,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,72,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,7.459949322761358,6.527455657416188,16,14,NA,-0.7339691750802004,0.0427697776185744,3
471,247,chlorpyrifos,68,LC50,8,14,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,36,LC50,12,14,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_a,247_form_a,247_1,1,Labeo rohita,Rohu,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,96,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,6.527455657416188,6.527455657416188,14,14,NA,-0.6359887667199967,0.042090757355685314,4
472,247,chlorpyrifos,155,LC50,19,21,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,82,LC50,14,14,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_e,247_form_e,247_2,1,Mystus vittatus,Striped dwarf catfish,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,24,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,9.791183486124282,6.527455657416188,21,14,NA,-0.6367058696549934,0.010326969535471847,1
473,247,chlorpyrifos,147,LC50,18,18,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,77,LC50,13,13,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_e,247_form_e,247_2,1,Mystus vittatus,Striped dwarf catfish,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,48,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,8.392442988106527,6.061208824743603,18,13,NA,-0.6466271649250525,0.009455799268022261,2
474,247,chlorpyrifos,128,LC50,20,23,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,68,LC50,15,16,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_e,247_form_e,247_2,1,Mystus vittatus,Striped dwarf catfish,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,72,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,10.723677151469452,7.459949322761358,23,16,NA,-0.6325225587435105,0.019054092328719224,3
475,247,chlorpyrifos,120,LC50,19,20,CI_95,3,5,"5 fish/aquarium, 3 replicates",Dursban ®,62,LC50,13,15,CI_95,3,5,"5 fish/aquarium, 3 replicates",Probit,247_ai_e,247_form_e,247_2,1,Mystus vittatus,Striped dwarf catfish,"Fish farm, Naihati, India",Actinopterygii,Chordata,Animalia,Aquatic,Fingerling,96,insecticide,NO,NO,NA,environmental,Acute,29,7.3,No feeding,NA,YES,APHA,137.24,NO,emulsifiable concentrate,YES,NA,2024,NA,Lisa,15,15,9.324936653451697,6.993702490088773,20,15,NA,-0.6603573577369544,0.01876271596155541,4
539,250,glyphosate,100,LC50,NA,NA,imputed,1,20,"20 embryos per concentration group, 1 in one well",Roundup Original ®,18.55,LC50,1.65,1.83,CI_95,1,20,"20 embryos per concentration group, 1 in one well",NA,250_ai_a,250_form_a,250_1,1,Danio rerio,Zebrafish,School of Pharmaceutical Sciences of Ribeirão Preto (University of São Paulo),Actinopterygii,Chordata,Animalia,Aquatic,Embryo,96,herbicide,NO,NO,NA,environmental,Acute,27.5,NA,No feeding,3-4 hpf,YES,OECD,NA,YES,soluble concentrate,YES,NA,2024,NA,Lisa,20,20,48.68776515146989,0.8743329997310205,NA,1.83,NA,-1.6847003969346472,0.23927144777817408,1
558,262,abamectin,58.6,LC50,4.7,4.7,CI_95,3,3,"3 fish/container, triplicates",Kraft 36 EC ®,49.3,LC50,2.7,2.8,CI_95,3,3,"3 fish/container, triplicates",Three parameter logistic,262_ai_a,262_form_a,262_1,1,Danio rerio,Zebrafish,"Local commercial hatchery in São Carlos (SP, Brazil).",Actinopterygii,Chordata,Animalia,Aquatic,Adult,48,insecticide,NO,NO,NA,environmental,Acute,24,7.6,No feeding,NA,YES,ABNT,44,NO,emulsifiable concentrate,YES,NA,2024,"Data is coming from two papers, this one and AD_1",Lisa,9,9,2.038157663400667,1.2142215867067803,4.7,2.8,NA,-0.17281061553432253,0.0018163068703386498,1
559,262,difenoconazole,1.41,LC50,0.01,0.02,CI_95,3,3,"3 fish/container, triplicates",Score 250 EC ®,1.66,LC50,0.02,0.02,CI_95,3,3,"3 fish/container, triplicates",Three parameter logistic,262_ai_b,262_form_b,262_2,1,Danio rerio,Zebrafish,"Local commercial hatchery in São Carlos (SP, Brazil).",Actinopterygii,Chordata,Animalia,Aquatic,Adult,48,fungicide,NO,NO,NA,environmental,Acute,24,7.6,No feeding,NA,YES,ABNT,44,NO,soluble concentrate,YES,NA,2024,"Data is coming from two papers, this one and AD_2",Lisa,9,9,0.008673011333619859,0.008673011333619859,0.02,0.02,NA,0.1632278979783749,6.513323396651313e-5,1
492,269,chlorpyrifos,1690,LC50,100,110,CI_95,1,40,40 individuals/bioessay,CLORP-F ®,1340,LC50,322,360,CI_95,1,20,20 individuals/bioessay,Probit,269_ai_a,269_form_a,269_1,1,Biomphalaria straminea,NA,Not indicated,Gastropoda,Mollusca,Animalia,Aquatic,Adult,48,insecticide,NO,NO,NA,environmental,Acute,22,7.66,No feeding,NA,NO,NA,NA,NO,emulsifiable concentrate,YES,NA,2024,"Didn't found information on the type of formulation, even after quick search on Internet",Lisa,40,20,54.38299984952759,171.9999343733155,110,360,NA,-0.23205891497216205,0.017511323928839015,1
547,271,glyphosate ipa salt,125.2,EC50,16.5,16.5,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic,5.1,EC50,1.3,1.3,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_a,271_form_b,271_1,1,Pseudokirchneriella subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI",Lisa,3,9,3.8348435340634075,0.5637457366852908,16.5,1.3,NA,-3.200671918935718,0.013156914410611705,1
548,271,glyphosate ipa salt,105.3,EC50,17.8,17.8,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic,14.5,EC50,1.36,1.36,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_a,271_form_b,271_2,2,Pseudokirchneriella subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI",Lisa,3,9,4.136982721595676,0.5897647706861505,17.8,1.36,NA,-1.982664769713401,0.0031978424590426687,1
