DATA_ID,estimate_fungicide,lower_fungicide,upper_fungicide,estimate_herbicide,lower_herbicide,upper_herbicide,estimate_insecticide,lower_insecticide,upper_insecticide
557,-0.0749,-1.0028,0.853,-0.9738,-1.2934,-0.6541,-0.1912,-0.5138,0.1313
450,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
451,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1254
452,-0.0761,-1.0024,0.8503,-0.9742,-1.2932,-0.6552,-0.1954,-0.5165,0.1256
453,-0.0749,-1.0007,0.8509,-0.9736,-1.2924,-0.6548,-0.1909,-0.5119,0.1301
454,-0.0759,-1.0035,0.8517,-0.9743,-1.2935,-0.6552,-0.1944,-0.516,0.1272
455,-0.0772,-1.0047,0.8502,-0.9748,-1.2943,-0.6553,-0.2004,-0.5222,0.1214
433,-0.0757,-1.0021,0.8507,-0.9786,-1.2994,-0.6578,-0.1975,-0.5198,0.1249
434,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
435,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
436,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
437,-0.0762,-1.0025,0.8501,-0.9741,-1.2931,-0.6551,-0.1955,-0.5165,0.1255
438,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
439,-0.0762,-1.0026,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
440,-0.0761,-1.0026,0.8504,-0.9744,-1.2935,-0.6553,-0.1956,-0.5166,0.1255
441,-0.0761,-1.0023,0.8501,-0.9738,-1.2927,-0.655,-0.1954,-0.5163,0.1255
442,-0.0762,-1.0026,0.8502,-0.9743,-1.2933,-0.6553,-0.1955,-0.5166,0.1255
443,-0.0762,-1.0026,0.8502,-0.9741,-1.293,-0.6551,-0.1955,-0.5164,0.1255
444,-0.0745,-1.0022,0.8532,-0.9754,-1.2947,-0.656,-0.1957,-0.5171,0.1257
445,-0.0744,-0.9996,0.8508,-0.9733,-1.2918,-0.6547,-0.1954,-0.516,0.1251
446,-0.0762,-1.0026,0.8502,-0.9743,-1.2933,-0.6552,-0.1955,-0.5166,0.1255
447,-0.0762,-1.0025,0.8501,-0.9741,-1.293,-0.6551,-0.1955,-0.5165,0.1255
448,-0.0761,-1.0032,0.851,-0.9748,-1.294,-0.6556,-0.1956,-0.5168,0.1257
449,-0.076,-1.0023,0.8502,-0.9741,-1.293,-0.6551,-0.1955,-0.5164,0.1255
463,-0.0728,-0.9985,0.8529,-0.9791,-1.2972,-0.661,-0.181,-0.5025,0.1405
464,-0.0712,-0.9954,0.8531,-0.9811,-1.2986,-0.6636,-0.1745,-0.4953,0.1464
465,-0.0743,-1.0024,0.8538,-0.9863,-1.3088,-0.6638,-0.19,-0.5127,0.1327
466,-0.0757,-1.0025,0.8511,-0.9769,-1.2964,-0.6573,-0.1943,-0.5156,0.127
415,-0.0761,-1.0025,0.8503,-0.9743,-1.2933,-0.6553,-0.1955,-0.5165,0.1255
417,-0.0761,-1.0025,0.8503,-0.9744,-1.2934,-0.6554,-0.1955,-0.5166,0.1255
416,-0.0761,-1.0025,0.8503,-0.9741,-1.2931,-0.6551,-0.1955,-0.5165,0.1255
418,-0.0761,-1.0024,0.8503,-0.9738,-1.2928,-0.6548,-0.1955,-0.5165,0.1255
328,-0.0761,-1.0025,0.8503,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
329,-0.076,-1.0025,0.8505,-0.9734,-1.2926,-0.6543,-0.1954,-0.5165,0.1256
283,-0.076,-1.0019,0.8498,-0.9692,-1.2879,-0.6506,-0.1946,-0.515,0.1259
284,-0.0761,-1.0022,0.8501,-0.9706,-1.2894,-0.6517,-0.1948,-0.5155,0.1259
285,-0.0761,-1.0023,0.8502,-0.971,-1.2899,-0.6521,-0.1949,-0.5156,0.1258
286,-0.0761,-1.0027,0.8505,-0.9727,-1.2919,-0.6535,-0.1952,-0.5162,0.1258
287,-0.0761,-1.0027,0.8505,-0.9727,-1.2919,-0.6535,-0.1952,-0.5162,0.1258
245,-0.0761,-1.0025,0.8504,-0.9744,-1.2935,-0.6553,-0.1955,-0.5166,0.1255
261,-0.0466,-0.9746,0.8813,-0.9749,-1.2939,-0.6559,-0.2016,-0.5229,0.1196
262,-0.0613,-1.0294,0.9068,-0.9744,-1.2938,-0.6551,-0.1958,-0.5172,0.1257
263,-0.0743,-1.0173,0.8686,-0.9744,-1.2939,-0.655,-0.1959,-0.5193,0.1275
264,-0.0659,-1.0215,0.8898,-0.9744,-1.2936,-0.6551,-0.1957,-0.517,0.1257
279,-0.0733,-1,0.8534,-0.973,-1.292,-0.6539,-0.1847,-0.5067,0.1373
280,-0.0773,-1.0053,0.8507,-0.9748,-1.2946,-0.655,-0.2007,-0.5234,0.1219
390,-0.0764,-1.0036,0.8508,-0.9745,-1.2935,-0.6555,-0.1963,-0.5174,0.1249
399,-0.0762,-1.0037,0.8513,-0.9745,-1.2936,-0.6554,-0.1956,-0.5168,0.1257
400,-0.0762,-1.0037,0.8514,-0.9745,-1.2936,-0.6553,-0.1953,-0.5166,0.1259
401,-0.0758,-1.0032,0.8516,-0.9742,-1.2935,-0.655,-0.1943,-0.5157,0.127
402,-0.076,-1.0035,0.8515,-0.9744,-1.2935,-0.6552,-0.1948,-0.5161,0.1264
391,-0.0766,-1.0034,0.8501,-0.9746,-1.2934,-0.6557,-0.1972,-0.5182,0.1238
392,-0.0756,-1.0029,0.8516,-0.9741,-1.2934,-0.6548,-0.1938,-0.5151,0.1275
393,-0.0763,-1.0038,0.8511,-0.9745,-1.2936,-0.6555,-0.1959,-0.5171,0.1253
394,-0.0761,-1.0037,0.8514,-0.9744,-1.2936,-0.6553,-0.1952,-0.5164,0.1261
395,-0.0764,-1.0037,0.8509,-0.9745,-1.2935,-0.6555,-0.1961,-0.5172,0.1251
396,-0.0764,-1.0037,0.8508,-0.9746,-1.2935,-0.6556,-0.1964,-0.5175,0.1248
397,-0.0759,-1.0035,0.8516,-0.9743,-1.2935,-0.6551,-0.1946,-0.5159,0.1267
398,-0.0766,-1.0035,0.8504,-0.9746,-1.2935,-0.6557,-0.1969,-0.5179,0.1242
210,-0.0763,-1.0027,0.85,-0.9742,-1.2932,-0.6553,-0.196,-0.517,0.125
211,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
212,-0.0762,-1.0025,0.8502,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
213,-0.0758,-1.0023,0.8507,-0.9741,-1.2931,-0.655,-0.1945,-0.5156,0.1266
50,-0.0762,-1.0033,0.8509,-0.9744,-1.2935,-0.6553,-0.1958,-0.517,0.1253
59,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
60,-0.0761,-1.0034,0.8512,-0.9744,-1.2934,-0.6553,-0.1951,-0.5162,0.1261
61,-0.0756,-1.0006,0.8494,-0.9737,-1.2925,-0.655,-0.1941,-0.5148,0.1266
62,-0.0763,-1.0031,0.8506,-0.9743,-1.2934,-0.6553,-0.1962,-0.5173,0.125
63,-0.0763,-1.0027,0.8501,-0.9743,-1.2933,-0.6552,-0.1966,-0.5176,0.1245
64,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
65,-0.0762,-1.0036,0.8511,-0.9745,-1.2936,-0.6554,-0.1957,-0.5169,0.1255
66,-0.0762,-1.0036,0.8511,-0.9744,-1.2936,-0.6553,-0.1957,-0.5169,0.1255
67,-0.0738,-0.9858,0.8382,-0.9703,-1.2877,-0.653,-0.1938,-0.5123,0.1246
68,-0.0762,-1.0037,0.8512,-0.9745,-1.2936,-0.6554,-0.1956,-0.5168,0.1256
51,-0.0753,-0.9983,0.8478,-0.9732,-1.2917,-0.6547,-0.1939,-0.5143,0.1264
69,-0.0763,-1.0024,0.8498,-0.9742,-1.2933,-0.6551,-0.1967,-0.5178,0.1243
70,-0.0763,-1.0017,0.8491,-0.974,-1.2931,-0.655,-0.1971,-0.518,0.1239
71,-0.0763,-1.0031,0.8505,-0.9744,-1.2935,-0.6553,-0.1963,-0.5175,0.1248
72,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
73,-0.0762,-1.0037,0.8513,-0.9745,-1.2936,-0.6554,-0.1954,-0.5166,0.1258
74,-0.0763,-1.0034,0.8508,-0.9744,-1.2935,-0.6553,-0.1961,-0.5172,0.1251
75,-0.0744,-0.9913,0.8424,-0.9716,-1.2895,-0.6537,-0.1937,-0.513,0.1255
76,-0.076,-1.0033,0.8512,-0.9744,-1.2934,-0.6553,-0.1949,-0.516,0.1262
77,-0.0763,-1.0019,0.8493,-0.9741,-1.2931,-0.6551,-0.197,-0.518,0.1239
78,-0.0762,-0.9997,0.8473,-0.9736,-1.2925,-0.6547,-0.1979,-0.5186,0.1228
52,-0.0762,-1.0035,0.8511,-0.9744,-1.2935,-0.6553,-0.1956,-0.5168,0.1256
79,-0.0763,-1.0019,0.8493,-0.9741,-1.2931,-0.6551,-0.197,-0.518,0.1239
80,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
81,-0.0762,-1.0037,0.8513,-0.9745,-1.2936,-0.6554,-0.1955,-0.5167,0.1257
82,-0.0762,-1.0037,0.8512,-0.9745,-1.2936,-0.6554,-0.1956,-0.5168,0.1256
83,-0.0741,-0.9886,0.8404,-0.971,-1.2886,-0.6534,-0.1938,-0.5126,0.1251
84,-0.0763,-1.0033,0.8508,-0.9744,-1.2935,-0.6553,-0.1961,-0.5173,0.1251
85,-0.0763,-1.0023,0.8497,-0.9742,-1.2932,-0.6551,-0.1968,-0.5178,0.1242
86,-0.0763,-1.0033,0.8507,-0.9744,-1.2935,-0.6553,-0.1962,-0.5173,0.125
87,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
88,-0.0762,-1.0036,0.8512,-0.9745,-1.2936,-0.6554,-0.1956,-0.5168,0.1256
53,-0.0763,-1.0021,0.8495,-0.9741,-1.2932,-0.6551,-0.1969,-0.5179,0.1241
89,-0.0762,-1.0036,0.8513,-0.9744,-1.2935,-0.6554,-0.1954,-0.5166,0.1258
90,-0.0737,-0.9853,0.8378,-0.9702,-1.2876,-0.6529,-0.1939,-0.5122,0.1245
91,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
92,-0.0763,-1.003,0.8505,-0.9743,-1.2934,-0.6553,-0.1963,-0.5174,0.1249
93,-0.0763,-1.0033,0.8507,-0.9744,-1.2935,-0.6553,-0.1961,-0.5173,0.125
94,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
54,-0.0761,-1.0026,0.8504,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1255
55,-0.0763,-1.0036,0.8511,-0.9744,-1.2936,-0.6553,-0.1958,-0.517,0.1254
56,-0.0759,-1.0026,0.8508,-0.9742,-1.2932,-0.6553,-0.1946,-0.5156,0.1264
57,-0.0761,-1.0032,0.851,-0.9744,-1.2934,-0.6553,-0.1953,-0.5164,0.1259
58,-0.0761,-1.0034,0.8512,-0.9744,-1.2934,-0.6553,-0.195,-0.5161,0.1262
376,-0.0761,-1.0029,0.8507,-0.9746,-1.2936,-0.6556,-0.1955,-0.5165,0.1256
385,-0.0758,-1.0017,0.85,-0.9706,-1.2899,-0.6513,-0.1954,-0.5166,0.1257
386,-0.076,-1.0031,0.851,-0.9723,-1.2916,-0.653,-0.1953,-0.5166,0.1259
387,-0.0762,-1.0033,0.8509,-0.9756,-1.2946,-0.6566,-0.1955,-0.5165,0.1256
388,-0.0761,-1.0034,0.8513,-0.9731,-1.2923,-0.6538,-0.1953,-0.5166,0.1259
389,-0.0761,-1.0036,0.8514,-0.9736,-1.2928,-0.6544,-0.1953,-0.5166,0.1259
377,-0.0762,-1.0037,0.8513,-0.9748,-1.2939,-0.6557,-0.1954,-0.5166,0.1258
378,-0.0762,-1.0036,0.8511,-0.9753,-1.2944,-0.6563,-0.1954,-0.5166,0.1257
379,-0.0761,-1.0037,0.8514,-0.9738,-1.293,-0.6546,-0.1953,-0.5166,0.1259
380,-0.0762,-1.0035,0.851,-0.9755,-1.2946,-0.6565,-0.1955,-0.5165,0.1256
381,-0.0762,-1.0034,0.851,-0.9756,-1.2946,-0.6566,-0.1955,-0.5165,0.1256
382,-0.0762,-1.0033,0.8509,-0.9757,-1.2947,-0.6568,-0.1955,-0.5165,0.1256
383,-0.0762,-1.0026,0.8502,-0.9766,-1.2954,-0.6577,-0.1956,-0.5165,0.1252
384,-0.0762,-1.0034,0.851,-0.9756,-1.2946,-0.6566,-0.1955,-0.5165,0.1256
424,-0.0759,-1.0027,0.8509,-0.9741,-1.2933,-0.655,-0.1948,-0.5163,0.1267
425,-0.0786,-1.0061,0.8488,-0.9754,-1.295,-0.6559,-0.2058,-0.529,0.1173
281,-0.0776,-1.0049,0.8496,-0.9751,-1.2941,-0.6561,-0.201,-0.523,0.121
282,-0.0777,-1.0049,0.8494,-0.9751,-1.2941,-0.6562,-0.2015,-0.5234,0.1205
426,-0.0764,-1.0037,0.851,-0.9745,-1.2936,-0.6555,-0.1962,-0.5175,0.125
427,-0.077,-1.0039,0.8499,-0.9748,-1.2936,-0.6559,-0.1984,-0.5194,0.1227
428,-0.0765,-1.0039,0.851,-0.9746,-1.2936,-0.6555,-0.1964,-0.5177,0.1249
429,-0.0761,-1.0037,0.8515,-0.9744,-1.2936,-0.6553,-0.1952,-0.5166,0.1262
430,-0.0768,-1.0039,0.8504,-0.9747,-1.2936,-0.6558,-0.1976,-0.5187,0.1236
431,-0.0756,-1.0032,0.852,-0.9741,-1.2935,-0.6548,-0.1935,-0.515,0.128
432,-0.0759,-1.0032,0.8514,-0.9742,-1.2934,-0.6551,-0.1946,-0.5159,0.1268
222,-0.0767,-1.005,0.8517,-0.9746,-1.2946,-0.6545,-0.1986,-0.5228,0.1256
288,-0.0733,-1.001,0.8543,-0.9729,-1.2929,-0.6528,-0.1861,-0.509,0.1368
289,-0.0799,-1.006,0.8462,-0.9758,-1.2951,-0.6565,-0.2113,-0.5334,0.1109
318,-0.076,-1.0022,0.8501,-0.9738,-1.2928,-0.6548,-0.1955,-0.5165,0.1255
319,-0.0727,-0.9914,0.8461,-0.9302,-1.2532,-0.6072,-0.1943,-0.517,0.1285
321,-0.0755,-0.9958,0.8448,-1.0091,-1.3328,-0.6855,-0.2047,-0.5281,0.1187
30,-0.0762,-1.0041,0.8518,-0.9744,-1.2939,-0.6549,-0.1958,-0.5182,0.1267
31,-0.0755,-1.0033,0.8523,-0.9741,-1.2935,-0.6546,-0.193,-0.5154,0.1294
162,-0.0742,-1.0023,0.8539,-0.9734,-1.2933,-0.6535,-0.1889,-0.513,0.1351
420,-0.0759,-1.0036,0.8517,-0.9743,-1.2936,-0.6551,-0.1946,-0.5162,0.1271
421,-0.0765,-1.0041,0.8511,-0.9746,-1.2938,-0.6554,-0.1969,-0.5185,0.1248
422,-0.0761,-1.0038,0.8515,-0.9744,-1.2937,-0.6552,-0.1953,-0.5169,0.1264
423,-0.0764,-1.0041,0.8512,-0.9746,-1.2938,-0.6553,-0.1964,-0.5181,0.1252
358,-0.0764,-1.0027,0.85,-0.9742,-1.2932,-0.6553,-0.196,-0.517,0.125
359,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
360,-0.0762,-1.0026,0.8501,-0.9742,-1.2932,-0.6552,-0.1956,-0.5166,0.1254
361,-0.076,-1.0025,0.8504,-0.9741,-1.2932,-0.6551,-0.195,-0.516,0.1261
209,-0.0707,-0.9964,0.8549,-0.9717,-1.2903,-0.6532,-0.1743,-0.4968,0.1482
202,-0.0761,-1.0025,0.8503,-0.9742,-1.2932,-0.6551,-0.1955,-0.5165,0.1255
203,-0.0761,-1.0025,0.8503,-0.9742,-1.2931,-0.6552,-0.1955,-0.5165,0.1255
204,-0.0761,-1.0024,0.8503,-0.9737,-1.2927,-0.6547,-0.1954,-0.5164,0.1255
205,-0.0761,-1.0025,0.8504,-0.9743,-1.2934,-0.6553,-0.1955,-0.5166,0.1255
206,-0.0761,-1.0024,0.8503,-0.9741,-1.2931,-0.6552,-0.1955,-0.5165,0.1255
207,-0.0761,-1.0025,0.8503,-0.9742,-1.2932,-0.6552,-0.1955,-0.5165,0.1255
208,-0.0761,-1.0024,0.8503,-0.9738,-1.2927,-0.6548,-0.1954,-0.5164,0.1255
458,-0.0753,-0.9994,0.8487,-0.9464,-1.2664,-0.6265,-0.1919,-0.5118,0.128
325,-0.0737,-0.9921,0.8448,-0.9355,-1.2559,-0.6151,-0.1931,-0.5138,0.1276
326,-0.0757,-1.0005,0.8492,-1.0005,-1.3243,-0.6767,-0.2024,-0.5264,0.1215
1,-0.0765,-1.0032,0.8502,-0.9808,-1.3001,-0.6615,-0.1957,-0.5163,0.1249
5,-0.0769,-1.0011,0.8474,-0.9897,-1.3076,-0.6717,-0.1963,-0.5156,0.1231
246,-0.0734,-0.9998,0.8531,-0.9951,-1.3166,-0.6735,-0.1851,-0.5068,0.1366
247,-0.0749,-1.0026,0.8528,-0.9758,-1.2953,-0.6563,-0.1908,-0.5136,0.132
248,-0.0745,-1.0022,0.8531,-0.9762,-1.2957,-0.6567,-0.1894,-0.5121,0.1334
9,-0.0761,-1.0024,0.8502,-0.9739,-1.2929,-0.6548,-0.1955,-0.5166,0.1255
10,-0.0762,-1.0026,0.8502,-0.9744,-1.2933,-0.6555,-0.1955,-0.5165,0.1255
11,-0.0761,-1.0025,0.8503,-0.9737,-1.2928,-0.6546,-0.1955,-0.5166,0.1256
12,-0.0762,-1.0026,0.8502,-0.9746,-1.2935,-0.6557,-0.1955,-0.5164,0.1255
13,-0.0761,-1.0026,0.8503,-0.9741,-1.2931,-0.6551,-0.1955,-0.5165,0.1255
14,-0.0761,-1.0021,0.8498,-0.9744,-1.2933,-0.6556,-0.1955,-0.5164,0.1253
15,-0.0761,-1.0023,0.8501,-0.9744,-1.2933,-0.6555,-0.1955,-0.5165,0.1254
16,-0.0761,-1.0025,0.8503,-0.9742,-1.2932,-0.6553,-0.1955,-0.5165,0.1255
17,-0.0761,-1.0021,0.8498,-0.9748,-1.2936,-0.656,-0.1955,-0.5163,0.1253
18,-0.0761,-1.0026,0.8504,-0.974,-1.2931,-0.655,-0.1955,-0.5166,0.1256
118,-0.0764,-1.0028,0.85,-0.9795,-1.2981,-0.6608,-0.1956,-0.5162,0.1249
119,-0.0762,-1.0037,0.8512,-0.9755,-1.2949,-0.6561,-0.1955,-0.5166,0.1257
120,-0.0763,-1.0035,0.8509,-0.9768,-1.296,-0.6577,-0.1955,-0.5165,0.1255
121,-0.0763,-1.0035,0.8509,-0.9771,-1.2962,-0.6579,-0.1955,-0.5164,0.1254
122,-0.0761,-1.0025,0.8504,-0.9741,-1.2931,-0.6551,-0.1955,-0.5165,0.1255
6,-0.0761,-1.0042,0.8519,-0.9775,-1.2993,-0.6557,-0.1962,-0.5181,0.1257
368,-0.076,-1.0029,0.8509,-0.9743,-1.2933,-0.6552,-0.1951,-0.5163,0.1261
369,-0.0759,-1.0034,0.8515,-0.9743,-1.2935,-0.6551,-0.1947,-0.5161,0.1267
371,-0.0758,-1.003,0.8514,-0.9742,-1.2934,-0.655,-0.1942,-0.5156,0.1271
372,-0.076,-1.0036,0.8516,-0.9743,-1.2936,-0.6551,-0.1947,-0.5162,0.1268
373,-0.0776,-1.0037,0.8484,-0.9749,-1.2937,-0.6561,-0.2014,-0.5224,0.1196
374,-0.0757,-1.0032,0.8518,-0.9742,-1.2934,-0.6549,-0.1938,-0.5153,0.1277
375,-0.0766,-1.0037,0.8505,-0.9746,-1.2936,-0.6555,-0.197,-0.5183,0.1242
277,-0.0733,-1.0009,0.8543,-0.973,-1.2926,-0.6534,-0.1851,-0.5088,0.1386
290,-0.0781,-1.0054,0.8492,-0.9698,-1.2894,-0.6503,-0.2031,-0.5256,0.1194
291,-0.0766,-1.0042,0.851,-0.9715,-1.292,-0.6511,-0.1972,-0.519,0.1246
292,-0.0758,-1.0034,0.8519,-0.9754,-1.295,-0.6558,-0.1938,-0.5164,0.1288
293,-0.075,-1.0023,0.8523,-0.9818,-1.3021,-0.6615,-0.1908,-0.5124,0.1308
294,-0.0753,-1.0029,0.8523,-0.9764,-1.296,-0.6567,-0.1921,-0.5147,0.1305
295,-0.0766,-1.0042,0.851,-0.9715,-1.292,-0.651,-0.1972,-0.519,0.1246
216,-0.0765,-1.0025,0.8495,-0.9803,-1.2986,-0.662,-0.1955,-0.5157,0.1247
217,-0.0765,-1.0023,0.8493,-0.9807,-1.2989,-0.6626,-0.1955,-0.5156,0.1246
218,-0.0765,-1.0025,0.8494,-0.9804,-1.2986,-0.6621,-0.1955,-0.5157,0.1247
219,-0.0758,-1.0039,0.8522,-0.9702,-1.2907,-0.6498,-0.1955,-0.5176,0.1265
220,-0.0771,-0.9965,0.8424,-1.0014,-1.3179,-0.685,-0.1977,-0.5155,0.1201
221,-0.0756,-1.0043,0.8531,-0.968,-1.2897,-0.6463,-0.1956,-0.5182,0.127
322,-0.0754,-0.999,0.8482,-0.9575,-1.2765,-0.6386,-0.1938,-0.5142,0.1266
323,-0.0761,-1.0032,0.851,-0.9844,-1.3051,-0.6637,-0.1976,-0.5196,0.1245
324,-0.0761,-1.0038,0.8516,-0.9742,-1.294,-0.6544,-0.1954,-0.5168,0.1259
276,-0.0761,-1.0028,0.8505,-0.9761,-1.2955,-0.6567,-0.1958,-0.5169,0.1254
348,-0.0803,-1.0039,0.8434,-0.9764,-1.2926,-0.6602,-0.2087,-0.5281,0.1108
349,-0.0806,-1.0038,0.8426,-0.9765,-1.2925,-0.6606,-0.21,-0.5292,0.1093
